bioguide_id,declarant_name,last,first,party,chamber,state,district
C000127,Maria Cantwell,Cantwell,Maria,Democrat,senate,WA,
K000367,Amy Klobuchar,Klobuchar,Amy,Democrat,senate,MN,
S000033,Bernard Sanders,Sanders,Bernard,Independent,senate,VT,
W000802,Sheldon Whitehouse,Whitehouse,Sheldon,Democrat,senate,RI,
B001261,John Barrasso,Barrasso,John,Republican,senate,WY,
W000437,Roger F. Wicker,Wicker,Roger,Republican,senate,MS,
G000555,Kirsten E. Gillibrand,Gillibrand,Kirsten,Democrat,senate,NY,
B001230,Tammy Baldwin,Baldwin,Tammy,Democrat,senate,WI,
B001243,Marsha Blackburn,Blackburn,Marsha,Republican,senate,TN,
H001046,Martin Heinrich,Heinrich,Martin,Democrat,senate,NM,
H001042,Mazie K. Hirono,Hirono,Mazie,Democrat,senate,HI,
M001169,Christopher Murphy,Murphy,Christopher,Democrat,senate,CT,
S001150,Adam B. Schiff,Schiff,Adam,Democrat,senate,CA,
W000817,Elizabeth Warren,Warren,Elizabeth,Democrat,senate,MA,
K000383,"Angus S. King, Jr.",King,Angus,Independent,senate,ME,
C001096,Kevin Cramer,Cramer,Kevin,Republican,senate,ND,
F000463,Deb Fischer,Fischer,Deb,Republican,senate,NE,
C001098,Ted Cruz,Cruz,Ted,Republican,senate,TX,
K000384,Tim Kaine,Kaine,Timothy,Democrat,senate,VA,
G000574,Ruben Gallego,Gallego,Ruben,Democrat,senate,AZ,
B001303,Lisa Blunt Rochester,Blunt Rochester,Lisa,Democrat,senate,DE,
B001299,Jim Banks,Banks,Jim,Republican,senate,IN,
R000608,Jacky Rosen,Rosen,Jacky,Democrat,senate,NV,
C001114,John R. Curtis,Curtis,John,Republican,senate,UT,
S001208,Elissa Slotkin,Slotkin,Elissa,Democrat,senate,MI,
K000394,Andy Kim,Kim,Andy,Democrat,senate,NJ,
S001217,Rick Scott,Scott,Rick,Republican,senate,FL,
H001089,Josh Hawley,Hawley,Joshua,Republican,senate,MO,
A000382,Angela D. Alsobrooks,Alsobrooks,Angela,Democrat,senate,MD,
S001232,Tim Sheehy,Sheehy,Tim,Republican,senate,MT,
M001242,Bernie Moreno,Moreno,Bernie,Republican,senate,OH,
M001243,David McCormick,McCormick,Dave,Republican,senate,PA,
J000312,James C. Justice,Justice,Jim,Republican,senate,WV,
B001267,Michael F. Bennet,Bennet,Michael,Democrat,senate,CO,
B001277,Richard Blumenthal,Blumenthal,Richard,Democrat,senate,CT,
B001236,John Boozman,Boozman,John,Republican,senate,AR,
C000880,Mike Crapo,Crapo,Michael,Republican,senate,ID,
G000386,Chuck Grassley,Grassley,Charles,Republican,senate,IA,
H001061,John Hoeven,Hoeven,John,Republican,senate,ND,
J000293,Ron Johnson,Johnson,Ron,Republican,senate,WI,
L000575,James Lankford,Lankford,James,Republican,senate,OK,
L000577,Mike Lee,Lee,Mike,Republican,senate,UT,
M000934,Jerry Moran,Moran,Jerry,Republican,senate,KS,
M001153,Lisa Murkowski,Murkowski,Lisa,Republican,senate,AK,
M001111,Patty Murray,Murray,Patty,Democrat,senate,WA,
P000603,Rand Paul,Paul,Rand,Republican,senate,KY,
S000148,Charles E. Schumer,Schumer,Charles,Democrat,senate,NY,
S001184,Tim Scott,Scott,Tim,Republican,senate,SC,
T000250,John Thune,Thune,John,Republican,senate,SD,
V000128,Chris Van Hollen,Van Hollen,Chris,Democrat,senate,MD,
W000800,Peter Welch,Welch,Peter,Democrat,senate,VT,
W000779,Ron Wyden,Wyden,Ron,Democrat,senate,OR,
Y000064,Todd Young,Young,Todd,Republican,senate,IN,
S001194,Brian Schatz,Schatz,Brian,Democrat,senate,HI,
D000622,Tammy Duckworth,Duckworth,Tammy,Democrat,senate,IL,
K000393,John Kennedy,Kennedy,John,Republican,senate,LA,
H001076,Margaret Wood Hassan,Hassan,Margaret,Democrat,senate,NH,
C001113,Catherine Cortez Masto,Cortez Masto,Catherine,Democrat,senate,NV,
B001305,Ted Budd,Budd,Ted,Republican,senate,NC,
K000377,Mark Kelly,Kelly,Mark,Democrat,senate,AZ,
P000145,Alex Padilla,Padilla,Alejandro,Democrat,senate,CA,
W000790,Raphael G. Warnock,Warnock,Raphael,Democrat,senate,GA,
B001319,Katie Boyd Britt,Britt,Katie,Republican,senate,AL,
S001227,Eric Schmitt,Schmitt,Eric,Republican,senate,MO,
F000479,John Fetterman,Fetterman,John,Democrat,senate,PA,
C001035,Susan M. Collins,Collins,Susan,Republican,senate,ME,
C001056,John Cornyn,Cornyn,John,Republican,senate,TX,
D000563,Richard J. Durbin,Durbin,Richard,Democrat,senate,IL,
G000359,Lindsey Graham,Graham,Lindsey,Republican,senate,SC,
M000355,Mitch McConnell,McConnell,Mitch,Republican,senate,KY,
M001176,Jeff Merkley,Merkley,Jeff,Democrat,senate,OR,
R000122,Jack Reed,Reed,John,Democrat,senate,RI,
R000584,James E. Risch,Risch,James,Republican,senate,ID,
S001181,Jeanne Shaheen,Shaheen,Jeanne,Democrat,senate,NH,
W000805,Mark R. Warner,Warner,Mark,Democrat,senate,VA,
C001088,Christopher A. Coons,Coons,Christopher,Democrat,senate,DE,
A000055,Robert B. Aderholt,Aderholt,Robert,Republican,house,AL,4.0
B001257,Gus M. Bilirakis,Bilirakis,Gus,Republican,house,FL,12.0
B000490,"Sanford D. Bishop, Jr.",Bishop,Sanford,Democrat,house,GA,2.0
B001260,Vern Buchanan,Buchanan,Vern,Republican,house,FL,16.0
C000059,Ken Calvert,Calvert,Ken,Republican,house,CA,41.0
C001047,Shelley Moore Capito,Capito,Shelley,Republican,senate,WV,
C001072,André Carson,Carson,André,Democrat,house,IN,7.0
C001051,John R. Carter,Carter,John,Republican,house,TX,31.0
C001075,Bill Cassidy,Cassidy,Bill,Republican,senate,LA,
C001066,Kathy Castor,Castor,Kathy,Democrat,house,FL,14.0
C001080,Judy Chu,Chu,Judy,Democrat,house,CA,28.0
