bioguide_id,declarant_name,last,first,party,chamber,state,district,committee_category
C001072,André Carson,Carson,André,Democrat,house,IN,7.0,Intelligence
C001061,Emanuel Cleaver,Cleaver,Emanuel,Democrat,house,MO,5.0,Financial Services
C001068,Steve Cohen,Cohen,Steve,Democrat,house,TN,9.0,Intelligence
C001069,Joe Courtney,Courtney,Joe,Democrat,house,CT,2.0,Armed Services
C001087,"Eric A. ""Rick"" Crawford",Crawford,Eric,Republican,house,AR,1.0,Intelligence
D000616,Scott DesJarlais,DesJarlais,Scott,Republican,house,TN,4.0,Armed Services
G000559,John Garamendi,Garamendi,John,Democrat,house,CA,8.0,Armed Services
G000546,Sam Graves,Graves,Sam,Republican,house,MO,6.0,Armed Services
G000553,Al Green,Green,Al,Democrat,house,TX,9.0,Financial Services
H001047,James A. Himes,Himes,James,Democrat,house,CT,4.0,Financial Services
H001058,Bill Huizenga,Huizenga,Bill,Republican,house,MI,4.0,Financial Services
K000375,William R. Keating,Keating,William,Democrat,house,MA,9.0,Armed Services
L000491,Frank D. Lucas,Lucas,Frank,Republican,house,OK,3.0,Financial Services
L000562,Stephen F. Lynch,Lynch,Stephen,Democrat,house,MA,8.0,Financial Services
M001137,Gregory W. Meeks,Meeks,Gregory,Democrat,house,NY,5.0,Financial Services
Q000023,Mike Quigley,Quigley,Mike,Democrat,house,IL,5.0,Intelligence
R000575,Mike Rogers,Rogers,Mike,Republican,house,AL,3.0,Armed Services
S001189,Austin Scott,Scott,Austin,Republican,house,GA,8.0,Armed Services
S000344,Brad Sherman,Sherman,Brad,Democrat,house,CA,32.0,Financial Services
S000510,Adam Smith,Smith,Adam,Democrat,house,WA,9.0,Armed Services
T000463,Michael R. Turner,Turner,Michael,Republican,house,OH,10.0,Armed Services
V000081,Nydia M. Velázquez,Velázquez,Nydia,Democrat,house,NY,7.0,Financial Services
W000187,Maxine Waters,Waters,Maxine,Democrat,house,CA,43.0,Financial Services
W000795,Joe Wilson,Wilson,Joe,Republican,house,SC,2.0,Armed Services
W000804,Robert J. Wittman,Wittman,Robert,Republican,house,VA,1.0,Armed Services
F000454,Bill Foster,Foster,Bill,Democrat,house,IL,11.0,Financial Services
B001287,Ami Bera,Bera,Ami,Democrat,house,CA,6.0,Intelligence
V000130,Juan Vargas,Vargas,Juan,Democrat,house,CA,52.0,Financial Services
B001282,Andy Barr,Barr,Garland,Republican,house,KY,6.0,Financial Services
W000812,Ann Wagner,Wagner,Ann,Republican,house,MO,2.0,Financial Services
B001281,Joyce Beatty,Beatty,Joyce,Democrat,house,OH,3.0,Financial Services
P000605,Scott Perry,Perry,Scott,Republican,house,PA,10.0,Intelligence
C001091,Joaquin Castro,Castro,Joaquin,Democrat,house,TX,20.0,Intelligence
W000816,Roger Williams,Williams,Roger,Republican,house,TX,25.0,Financial Services
N000188,Donald Norcross,Norcross,Donald,Democrat,house,NJ,1.0,Armed Services
H001072,J. French Hill,Hill,J.,Republican,house,AR,2.0,Financial Services
L000583,Barry Loudermilk,Loudermilk,Barry,Republican,house,GA,11.0,Financial Services
M001196,Seth Moulton,Moulton,Seth,Democrat,house,MA,6.0,Armed Services
E000294,Tom Emmer,Emmer,Tom,Republican,house,MN,6.0,Financial Services
S001196,Elise M. Stefanik,Stefanik,Elise,Republican,house,NY,21.0,Armed Services
P000610,Stacey E. Plaskett,Plaskett,Stacey,Democrat,house,VI,0.0,Intelligence
K000388,Trent Kelly,Kelly,Trent,Republican,house,MS,1.0,Armed Services
L000585,Darin LaHood,LaHood,Darin,Republican,house,IL,16.0,Intelligence
D000626,Warren Davidson,Davidson,Warren,Republican,house,OH,8.0,Financial Services
K000389,Ro Khanna,Khanna,Ro,Democrat,house,CA,17.0,Armed Services
C001112,Salud O. Carbajal,Carbajal,Salud,Democrat,house,CA,24.0,Armed Services
K000391,Raja Krishnamoorthi,Krishnamoorthi,Raja,Democrat,house,IL,8.0,Intelligence
H001077,Clay Higgins,Higgins,Clay,Republican,house,LA,3.0,Armed Services
B001301,Jack Bergman,Bergman,Jack,Republican,house,MI,1.0,Armed Services
B001298,Don Bacon,Bacon,Don,Republican,house,NE,2.0,Armed Services
G000583,Josh Gottheimer,Gottheimer,Josh,Democrat,house,NJ,5.0,Financial Services
F000466,Brian K. Fitzpatrick,Fitzpatrick,Brian,Republican,house,PA,1.0,Intelligence
G000581,Vicente Gonzalez,Gonzalez,Vicente,Democrat,house,TX,34.0,Financial Services
N000190,Ralph Norman,Norman,Ralph,Republican,house,SC,5.0,Financial Services
G000585,Jimmy Gomez,Gomez,Jimmy,Democrat,house,CA,34.0,Intelligence
C001121,Jason Crow,Crow,Jason,Democrat,house,CO,6.0,Armed Services
S001214,W. Gregory Steube,Steube,W.,Republican,house,FL,17.0,Intelligence
C001117,Sean Casten,Casten,Sean,Democrat,house,IL,6.0,Financial Services
P000617,Ayanna Pressley,Pressley,Ayanna,Democrat,house,MA,7.0,Financial Services
T000481,Rashida Tlaib,Tlaib,Rashida,Democrat,house,MI,12.0,Financial Services
H001085,Chrissy Houlahan,Houlahan,Chrissy,Democrat,house,PA,6.0,Armed Services
M001204,Daniel Meuser,Meuser,Daniel,Republican,house,PA,9.0,Financial Services
T000480,William R. Timmons IV,Timmons,William,Republican,house,SC,4.0,Financial Services
R000612,John W. Rose,Rose,John,Republican,house,TN,6.0,Financial Services
C001120,Dan Crenshaw,Crenshaw,Dan,Republican,house,TX,2.0,Intelligence
G000589,Lance Gooden,Gooden,Lance,Republican,house,TX,5.0,Armed Services
G000587,Sylvia R. Garcia,Garcia,Sylvia,Democrat,house,TX,29.0,Financial Services
C001118,Ben Cline,Cline,Ben,Republican,house,VA,6.0,Intelligence
S001213,Bryan Steil,Steil,Bryan,Republican,house,WI,1.0,Financial Services
G000592,Jared F. Golden,Golden,Jared,Democrat,house,ME,2.0,Armed Services
S000250,Pete Sessions,Sessions,Pete,Republican,house,TX,17.0,Financial Services
K000397,Young Kim,Kim,Young,Republican,house,CA,40.0,Financial Services
J000305,Sara Jacobs,Jacobs,Sara,Democrat,house,CA,51.0,Armed Services
D000032,Byron Donalds,Donalds,Byron,Republican,house,FL,19.0,Financial Services
G000593,Carlos A. Gimenez,Gimenez,Carlos,Republican,house,FL,28.0,Armed Services
S000168,Maria Elvira Salazar,Salazar,Maria,Republican,house,FL,27.0,Financial Services
W000788,Nikema Williams,Williams,Nikema,Democrat,house,GA,5.0,Financial Services
M001136,Lisa C. McClain,McClain,Lisa,Republican,house,MI,9.0,Financial Services
G000597,Andrew R. Garbarino,Garbarino,Andrew,Republican,house,NY,2.0,Financial Services
T000486,Ritchie Torres,Torres,Ritchie,Democrat,house,NY,15.0,Financial Services
M000194,Nancy Mace,Mace,Nancy,Republican,house,SC,1.0,Armed Services
F000246,Pat Fallon,Fallon,Patrick,Republican,house,TX,4.0,Armed Services
J000304,Ronny Jackson,Jackson,Ronny,Republican,house,TX,13.0,Armed Services
