declarant_name,nous,quiver,delta
Rob Bresnahan,235,262,-27
Josh Gottheimer,186,194,-8
Julie Johnson,99,99,0
Gilbert Cisneros,82,79,3
Jefferson Shreve,67,66,1
Marjorie Taylor Greene,65,81,-16
Tim Moore,46,31,15
April McClain Delaney,37,0,37
James Comer,26,31,-5
Byron Donalds,21,21,0
William R. Keating,18,11,7
Virginia Foxx,17,17,0
Thomas H. Kean,15,0,15
Jared Moskowitz,13,18,-5
Scott Scott Franklin,13,11,2
Greg Landsman,12,12,0
Emily Randall,11,11,0
Mark Dr Green,10,6,4
Kevin Hern,10,8,2
Scott H. Peters,10,0,10
Nancy Pelosi,9,9,0
Richard W. Allen,9,5,4
Rick Larsen,8,8,0
Kathy Manning,8,0,8
Kelly Louise Morrison,7,0,7
Lloyd Doggett,6,6,0
Michael A. Collins,6,0,6
Max Miller,6,4,2
Mike Kelly,5,0,5
Jonathan Jackson,4,4,0
Susie Lee,4,4,0
Suzan K. DelBene,4,0,4
Donald Sternoff Beyer,4,0,4
Guy Mr Reschenthaler,3,3,0
Gerald E. Connolly,3,3,0
Brad Knott,3,3,0
Steve Cohen,2,2,0
Debbie Dingell,2,1,1
Laurel Lee,2,2,0
Roger Williams,1,0,1
David P. Joyce,1,0,1
Jake Auchincloss,1,1,0
Daniel Goldman,1,1,0
James French Hill,1,1,0
Cleo Fields,1,1,0
Michael Waltz,1,0,1
Rudy C. Yakym,1,0,1
Robert E. Latta,1,1,0
August Lee Pfluger,1,0,1
Victoria Spartz,1,1,0
Bradley S. Schneider,1,0,1
"Neal Patrick MD, Facs Dunn",1,0,1
Earl Leroy Carter,1,0,1
Mikie Sherrill,1,1,0
Debbie Wasserman Schultz,1,1,0
Eleanor Holmes Norton,1,0,1
Thomas H. Kean Jr,0,15,-15
Tony Wied,0,4,-4
Michael T. McCaul,0,56,-56
August Lee Pfluger Ii,0,1,-1
Ro Khanna,0,756,-756
"Charles J. ""Chuck"" Fleischmann",0,13,-13
April Mcclain Delaney,0,37,-37
Rudy C. Yakym Iii,0,1,-1
