BioGuideID,Name,ticker,traded,Transaction
B001292,Donald Sternoff Beyer Jr,MSFT,2020-10-22,Sale
G000583,Josh Gottheimer,VZ,2020-07-23,Purchase
L000590,Susie Lee,TMUS,2020-06-26,Purchase
F000462,Lois Frankel,PBF,2020-06-09,Purchase
L000590,Susie Lee,BERY,2020-06-05,Sale
C001123,Gilbert Cisneros,CBOE,2020-04-29,Purchase
B001284,Susan W. Brooks,GE,2020-04-06,Purchase
C001123,Gilbert Cisneros,DISCA,2020-03-18,Purchase
C001123,Gilbert Cisneros,CNP,2020-03-18,Sale
C001123,Gilbert Cisneros,BKNG,2020-03-12,Purchase
S001207,Mikie Sherrill,MSFT,2020-02-20,Sale
S001207,Mikie Sherrill,SEIC,2019-12-12,Sale
S001206,Donna Shalala,USPH,2019-06-24,Sale
S001206,Donna Shalala,IFNNY,2019-06-24,Sale
S001206,Donna Shalala,BERY,2019-04-30,Purchase
