bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
H001086,Diana Harshbarger,6,1147,95,1052,ocr>=quiver
K000389,Rohit Khanna,6,581,745,-164,ocr_souscompte
M001157,Michael T. McCaul,8,418,1337,-919,ocr_souscompte
S001180,Kurt Schrader,9,153,55,98,ocr>=quiver
F000459,"Charles J. ""Chuck"" Fleischmann",6,41,12,29,ocr>=quiver
L000564,Doug Lamborn,4,24,10,14,ocr>=quiver
F000472,Scott Franklin,5,21,8,13,ocr>=quiver
K000376,Mike Kelly,6,11,0,11,quiver_sans_donnee
M001163,Doris O. Matsui,1,11,1,10,ocr>=quiver
W000812,Ann Wagner,5,10,0,10,quiver_sans_donnee
M001198,Roger W. Marshall,1,8,0,8,quiver_sans_donnee
U000031,Fred Upton,4,5,0,5,quiver_sans_donnee
K000392,David Kustoff,3,4,0,4,quiver_sans_donnee
C000266,Steve Chabot,1,2,0,2,quiver_sans_donnee
L000576,Billy Long,1,2,0,2,quiver_sans_donnee
B001257,Gus M. Bilirakis,1,1,0,1,quiver_sans_donnee
