bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance
C001059,James M. Costa,house,Democrat,CA16,HSAG15; HSAG29; HSFA14; House Committee on Agriculture; House Committee on Foreign Affairs,False,2022-02-06,2022-03-30,,West American Bank (WABC) Stock,,Sale,"$15,001 - $50,000",32500.0,False,SELF,8218624,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218624.pdf,dee76faf9ba5864549a99739f0a9005e07597c5d01411ec5a8de885cf3cbbea1,none,house-pdf-ocr
C001053,Tom Cole,house,Republican,OK04,House Committee on Appropriations,False,2022-05-25,2022-06-07,,Alliant Energy Corp,Stock,Sale,"$15,001 - $50,000",32500.0,False,SELF,8218938,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218938.pdf,12e6747b2cdca3b262c9156d4a7273f5e885b6af6aebbaed627ea010c6ae46a7,none,house-pdf-ocr
C001053,Tom Cole,house,Republican,OK04,House Committee on Appropriations,False,2022-04-01,2022-04-26,,Embecta Common Stock,Stock,Exchange,"$1,001 - $15,000",8000.0,False,SELF,8218659,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218659.pdf,b611ec2ad38f42a4a7c824a4823e8698fba75e432ae176c0387798fc3551ea93,none,house-pdf-ocr
D000629,Sharice Davids,house,Democrat,KS03,HSAG14; HSAG16; HSPW05; HSPW12; House Committee on Agriculture; House Committee on Transportation and Infrastructure,False,2022-06-24,2022-06-30,,Sunpower Corp Com,Stock,Sale,"$15,001 - $50,000",32500.0,False,SELF,8219054,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219054.pdf,bdc9f91ee6758f2e7e98dfbcfa4cb8b7d30ab49417de6eb824ff6e54038ead45,none,house-pdf-ocr
D000629,Sharice Davids,house,Democrat,KS03,HSAG14; HSAG16; HSPW05; HSPW12; House Committee on Agriculture; House Committee on Transportation and Infrastructure,False,2022-09-21,2022-06-30,,Organovo Holdings,Stock,Sale,,,False,SELF,8219054,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219054.pdf,657cc79e6e77e0286bf1b4569871b2745deac4c27a898c89d337bb0a55a08e5e,none,house-pdf-ocr
D000629,Sharice Davids,house,Democrat,KS03,HSAG14; HSAG16; HSPW05; HSPW12; House Committee on Agriculture; House Committee on Transportation and Infrastructure,False,2022-09-21,2022-06-30,,Sunpower Corp Com,Stock,Sale,,,False,SELF,8219054,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219054.pdf,1768980e6ec7c03b023ffb3fbd3718d3b0ed10d2f309a266c9da3e3839f880e7,none,house-pdf-ocr
D000629,Sharice Davids,house,Democrat,KS03,HSAG14; HSAG16; HSPW05; HSPW12; House Committee on Agriculture; House Committee on Transportation and Infrastructure,False,2022-09-21,2022-06-30,,Fuel Cell Energy Inc,Stock,Sale,,,False,SELF,8219054,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219054.pdf,668b1b79f66ed27434e44997380bee7b44999f32714de832d2e02c157ac8937b,none,house-pdf-ocr
D000629,Sharice Davids,house,Democrat,KS03,HSAG14; HSAG16; HSPW05; HSPW12; House Committee on Agriculture; House Committee on Transportation and Infrastructure,False,2022-06-21,2022-06-30,,International Game Tech,,Sale,,,False,SELF,8219054,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219054.pdf,7e07401b2b2779c63a1456ede5f2735727a3b1ab4c1043fb4c26a66c9d63705e,none,house-pdf-ocr
D000629,Sharice Davids,house,Democrat,KS03,HSAG14; HSAG16; HSPW05; HSPW12; House Committee on Agriculture; House Committee on Transportation and Infrastructure,False,2022-09-21,2022-06-30,,Nexen Solar Technologies,,Sale,,,False,SELF,8219054,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8219054.pdf,c9ed2055020e29860e203e2020aac46f1ee20c66f9acccf93b5d4905dc56a389,none,house-pdf-ocr
F000459,"Charles J. ""Chuck"" Fleischmann",house,Republican,TN03,"HSAP02; HSAP07; HSAP10; HSSY20; House Committee on Appropriations; House Committee on Science, Space, and Technology",False,2012-08-14,2022-05-16,PDBC,INVESCO ACTIVELY MANAGED EX (PDBC),,Sale,"$15,001 - $50,000",32500.0,False,Joint Tenancy,8218753,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/8218753.pdf,764bdc8fbc525e8f10b605fc2acc503026bab7161c70098aeb3808f26e92e45d,explicit,house-pdf-ocr
