bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
G000599,Daniel Goldman,1290,1184,106,False,nous_plus
G000583,Josh Gottheimer,587,584,3,False,nous_plus
F000462,Lois Frankel,226,226,0,False,concordant
A000372,Richard W. Allen,189,144,45,False,nous_plus
S001211,Greg Stanton,188,187,1,False,nous_plus
H001082,Kevin Hern,168,143,25,False,nous_plus
C001114,John Curtis,120,0,120,False,quiver_sans_donnee
L000397,Zoe Lofgren,101,98,3,False,nous_plus
F000450,Virginia Foxx,99,71,28,False,nous_plus
M001135,Kathy Manning,71,59,12,False,nous_plus
S000250,Pete Sessions,70,46,24,False,nous_plus
G000591,Michael Patrick Guest,64,52,12,False,nous_plus
D000617,Suzan K. DelBene,63,2,61,False,nous_plus
F000472,C. Scott Franklin,62,53,9,False,nous_plus
W000804,Robert J. Wittman,60,39,21,False,nous_plus
N000189,Dan Newhouse,60,57,3,False,nous_plus
B001248,Michael C. Burgess,53,53,0,False,concordant
L000560,Rick Larsen,43,37,6,False,nous_plus
J000020,Christopher L. Jacobs,42,41,1,False,nous_plus
J000309,Jonathan Jackson,41,39,2,False,nous_plus
B000574,Earl Blumenauer,39,18,21,False,nous_plus
M001217,Jared Moskowitz,33,33,0,False,concordant
P000608,Scott H. Peters,33,0,33,False,quiver_sans_donnee
K000398,Thomas H. Kean,28,26,2,False,nous_plus
G000590,Mark Dr Green,27,25,2,False,nous_plus
T000488,Shri Thanedar,26,26,0,False,concordant
S000168,Maria Elvira Salazar,26,17,9,False,nous_plus
D000399,Lloyd Doggett,24,24,0,False,concordant
S001148,Michael K. Simpson,22,22,0,False,concordant
K000375,William R. Keating,22,15,7,False,nous_plus
P000197,Nancy Pelosi,20,17,3,False,nous_plus
D000628,"Neal Patrick MD, Facs Dunn",16,0,16,False,quiver_sans_donnee
H001072,James French Hill,14,13,1,False,nous_plus
B001311,Dan Daniel Bishop,13,0,13,False,quiver_sans_donnee
M001205,Carol Devine Miller,12,12,0,False,concordant
C001078,Gerald E. Connolly,12,12,0,False,concordant
Y000067,Rudy Yakym,11,11,0,False,concordant
M001222,Max Miller,10,13,-3,True,quiver_plus_papier
L000590,Susie Lee,10,11,-1,False,quiver_plus_a_revoir
M001196,Seth Moulton,10,5,5,False,nous_plus
D000624,Debbie Dingell,9,7,2,False,nous_plus
C001068,Steve Cohen,8,3,5,False,nous_plus
B001292,Donald Sternoff Beyer,7,0,7,False,quiver_sans_donnee
M001204,Daniel Meuser,7,7,0,False,concordant
G000061,Michael Garcia,7,4,3,False,nous_plus
T000483,David Trone,7,0,7,False,quiver_sans_donnee
C001101,Katherine M. Clark,6,3,3,False,nous_plus
K000376,Mike Kelly,6,0,6,True,quiver_sans_donnee
E000296,Dwight Evans,6,6,0,False,concordant
M001220,Morgan McGarvey,6,6,0,False,concordant
L000566,Robert E. Latta,5,5,0,False,concordant
C001103,Earl Leroy Carter,5,0,5,False,quiver_sans_donnee
L000562,Stephen F. Lynch,4,0,4,False,quiver_sans_donnee
R000305,Deborah Ross,4,4,0,False,concordant
C001129,Michael A. Collins,4,0,4,False,quiver_sans_donnee
N000147,Eleanor Holmes Norton,4,0,4,False,quiver_sans_donnee
S001172,Adrian Smith,4,0,4,False,quiver_sans_donnee
B001291,Brian Babin,4,4,0,False,concordant
S000929,Victoria Spartz,4,5,-1,False,quiver_plus_a_revoir
S001190,Bradley S. Schneider,3,0,3,False,quiver_sans_donnee
S001214,Greg Steube,3,3,0,False,concordant
R000609,John Rutherford,3,0,3,False,quiver_sans_donnee
W000797,Debbie Wasserman Schultz,3,3,0,False,concordant
E000298,Ron Estes,3,0,3,False,quiver_sans_donnee
A000378,Cindy Axne,3,3,0,False,concordant
L000559,James R. Langevin,3,3,0,False,concordant
J000308,Jeff Jackson,2,0,2,False,quiver_sans_donnee
L000589,Debbie Lesko,2,0,2,False,quiver_sans_donnee
G000576,Glenn S. Grothman,2,0,2,False,quiver_sans_donnee
S001205,Mary Gay Scanlon,2,2,0,False,concordant
M001163,Doris O. Matsui,2,0,2,False,quiver_sans_donnee
M001159,Cathy McMorris Rodgers,2,0,2,False,quiver_sans_donnee
P000597,Chellie Pingree,1,0,1,False,quiver_sans_donnee
S001189,Austin Scott,1,1,0,False,concordant
B000668,Cliff Bentz,1,0,1,False,quiver_sans_donnee
F000469,Russ Fulcher,1,1,0,False,concordant
F000474,Mike Flood,1,0,1,False,quiver_sans_donnee
H001047,James A. Himes,1,0,1,False,quiver_sans_donnee
B000740,Stephanie Bice,1,1,0,False,concordant
S001209,Abigail Spanberger,1,1,0,False,concordant
S001207,Mikie Sherrill,1,1,0,False,concordant
M000871,Tracey Robert Mann,1,0,1,False,quiver_sans_donnee
C001120,Daniel Crenshaw,1,1,0,False,concordant
H001086,Diana Harshbarger,1,99,-98,True,quiver_plus_papier
M001227,Jennifer McClellan,1,1,0,False,concordant
K000009,Marcy Kaptur,1,1,0,False,concordant
B001299,James E Hon Banks,1,0,1,False,quiver_sans_donnee
M001212,Felix Barry Moore,1,0,1,False,quiver_sans_donnee
S001180,Kurt Schrader,0,3,-3,False,manquant_a_revoir
M001157,Michael T. McCaul,0,1620,-1620,True,manquant_papier
K000389,Ro Khanna,0,3584,-3584,True,manquant_papier
F000459,"Charles J. ""Chuck"" Fleischmann",0,19,-19,True,manquant_papier
B001316,Eric Burlison,0,1,-1,True,manquant_papier
L000564,Doug Lamborn,0,1,-1,True,manquant_papier
