doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20024277,Allen,Richard W.,P,GA12,1/11/2024,2024-01-11,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024277.pdf
20024458,Allen,Richard W.,P,GA12,2/16/2024,2024-02-16,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024458.pdf
20025031,Allen,Richard W.,P,GA12,5/14/2024,2024-05-14,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025031.pdf
20025287,Allen,Richard W.,P,GA12,6/21/2024,2024-06-21,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025287.pdf
20025411,Allen,Richard W.,P,GA12,7/10/2024,2024-07-10,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025411.pdf
20025601,Allen,Richard W.,P,GA12,8/8/2024,2024-08-08,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025601.pdf
20025875,Allen,Richard W.,P,GA12,9/20/2024,2024-09-20,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025875.pdf
20026031,Allen,Richard W.,P,GA12,10/18/2024,2024-10-18,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026031.pdf
20026191,Allen,Richard W.,P,GA12,11/14/2024,2024-11-14,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026191.pdf
20025708,Auchincloss,Jake,P,MA04,8/21/2024,2024-08-21,Jake Auchincloss,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025708.pdf
20026246,Auchincloss,Jake,P,MA04,11/21/2024,2024-11-21,Jake Auchincloss,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026246.pdf
20025626,Banks,James E Hon,P,IN03,8/12/2024,2024-08-12,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025626.pdf
20024750,Barragan,Nanette,P,CA44,3/27/2024,2024-03-27,Nanette Barragan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024750.pdf
20024923,Barragan,Nanette,P,CA44,4/25/2024,2024-04-25,Nanette Barragan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024923.pdf
20024492,Bentz,Cliff,P,OR02,2/13/2024,2024-02-13,Cliff Bentz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024492.pdf
20024769,Beyer,Donald Sternoff,P,VA08,3/31/2024,2024-03-31,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024769.pdf
20025133,Beyer,Donald Sternoff,P,VA08,6/6/2024,2024-06-06,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025133.pdf
20025776,Beyer,Donald Sternoff,P,VA08,9/4/2024,2024-09-04,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025776.pdf
20026134,Beyer,Donald Sternoff,P,VA08,11/3/2024,2024-11-03,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026134.pdf
20026353,Beyer,Donald Sternoff,P,VA08,12/7/2024,2024-12-07,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026353.pdf
20025620,Bice,Stephanie,P,OK05,8/10/2024,2024-08-10,Stephanie Bice,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025620.pdf
20024254,Blumenauer,Earl,P,OR03,1/4/2024,2024-01-04,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024254.pdf
20024580,Blumenauer,Earl,P,OR03,3/2/2024,2024-03-02,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024580.pdf
20024671,Blumenauer,Earl,P,OR03,3/12/2024,2024-03-12,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024671.pdf
20024797,Blumenauer,Earl,P,OR03,4/4/2024,2024-04-04,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024797.pdf
