doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20026537,Allen,Richard W.,P,GA12,1/16/2025,2025-01-16,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026537.pdf
20026727,Allen,Richard W.,P,GA12,2/20/2025,2025-02-20,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026727.pdf
20027927,Allen,Richard W.,P,GA12,3/12/2025,2025-03-12,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027927.pdf
20027810,Auchincloss,Jake,P,MA04,2/21/2025,2025-02-21,Jake Auchincloss,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027810.pdf
20026517,Beyer,Donald Sternoff,P,VA08,1/6/2025,2025-01-06,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026517.pdf
20027932,Beyer,Donald Sternoff,P,VA08,3/8/2025,2025-03-08,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027932.pdf
8220747,Bilirakis,Gus M.,P,FL12,2/6/2025,2025-02-06,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220747.pdf
20024346,Bresnahan,Rob,P,PA08,2/13/2025,2025-02-13,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20024346.pdf
20027923,Bresnahan,Rob,P,PA08,3/7/2025,2025-03-07,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027923.pdf
20027940,Bresnahan,Rob,P,PA08,3/10/2025,2025-03-10,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027940.pdf
20029034,Bresnahan,Rob,P,PA08,3/27/2025,2025-03-27,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029034.pdf
