doc_id,nous,semaine1,delta
20027935,1,1,0
20026794,1,0,1
20026736,1,0,1
20026754,1,0,1
20026770,1,0,1
20027810,1,0,1
20027820,1,0,1
20027855,1,0,1
20027867,1,0,1
20027895,1,0,1
20027896,1,0,1
20027900,1,0,1
20027911,1,0,1
20027912,1,0,1
20027913,1,0,1
20027916,1,0,1
20027927,1,0,1
20027932,1,0,1
20027937,1,0,1
20027950,1,0,1
20027951,1,0,1
20027961,1,0,1
20027962,1,0,1
20027999,1,0,1
20028016,1,0,1
20029028,1,0,1
20026706,1,0,1
20026666,1,0,1
20029035,1,0,1
20026650,1,0,1
20026551,2,1,1
20026602,1,0,1
20021220,1,0,1
20026538,1,0,1
20026489,1,0,1
20026647,2,1,1
20026556,3,1,2
20026802,3,1,2
20027807,2,0,2
20026774,2,0,2
20026550,2,0,2
20026639,2,0,2
20026548,2,0,2
20027838,2,0,2
20027876,2,0,2
20026513,2,0,2
20027907,2,0,2
20027834,2,0,2
20027845,3,0,3
20027846,3,0,3
20026535,5,2,3
20026684,3,0,3
20026724,3,0,3
20026696,3,0,3
20026750,3,0,3
20026792,3,0,3
20026547,3,0,3
20026545,4,0,4
20028007,4,0,4
20026517,4,0,4
20026537,4,0,4
20027805,4,0,4
20027933,7,2,5
20026727,5,0,5
20026701,5,0,5
20026695,5,0,5
20027931,5,0,5
20026591,7,1,6
20027903,8,0,8
20027940,8,0,8
20026587,8,0,8
20026597,9,1,8
20026638,8,0,8
20028002,12,4,8
20026577,8,0,8
20027885,10,1,9
20026590,9,0,9
20026756,11,2,9
20026712,13,4,9
20026791,11,1,10
20027837,11,1,10
20027995,12,0,12
20027923,12,0,12
20026516,15,1,14
20026731,17,3,14
20027944,22,0,22
20018054,28,4,24
20026796,24,0,24
20027891,28,1,27
20027975,37,3,34
20026762,51,10,41
20027936,48,6,42
20026533,55,6,49
20026658,55,6,49
20026726,54,4,50
20027901,59,7,52
20027879,66,6,60
20026732,80,11,69
20029034,113,8,105
20024346,129,8,121
