bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
C001123,Gilbert Cisneros,715,710,5,False,nous_plus
S001206,Donna Shalala,557,560,-3,False,quiver_plus_a_revoir
G000584,Greg Gianforte,492,0,492,False,quiver_sans_donnee
G000583,Josh Gottheimer,490,490,0,False,concordant
B001292,Donald Sternoff Beyer,471,352,119,False,nous_plus
P000616,Dean Phillips,422,380,42,False,nous_plus
L000579,Alan S. Lowenthal,392,374,18,False,nous_plus
L000590,Susie Lee,385,387,-2,False,quiver_plus_a_revoir
G000590,Mark Green,298,298,0,False,concordant
C001062,K. Michael Conaway,222,179,43,False,nous_plus
S001207,Mikie Sherrill,170,172,-2,False,quiver_plus_a_revoir
C001069,Joe Courtney,161,114,47,False,nous_plus
F000462,Lois Frankel,158,159,-1,False,quiver_plus_a_revoir
C001101,Katherine M. Clark,157,152,5,False,nous_plus
H001082,Kevin Hern,146,105,41,False,nous_plus
M001180,David B. McKinley,112,112,0,False,concordant
C001114,John Curtis,102,0,102,False,quiver_sans_donnee
L000559,James R. Langevin,95,89,6,False,nous_plus
B000574,Earl Blumenauer,84,57,27,False,nous_plus
L000397,Zoe Lofgren,73,71,2,False,nous_plus
Y000062,John A. Yarmuth,71,71,0,False,concordant
D000617,Suzan K. DelBene,59,9,50,False,nous_plus
F000450,Virginia Foxx,52,52,0,False,concordant
C001068,Steve Cohen,49,49,0,False,concordant
P000608,Scott H. Peters,46,6,40,False,nous_plus
E000296,Dwight Evans,43,43,0,False,concordant
M001205,Carol Devine Miller,39,38,1,False,nous_plus
G000579,Michael John Gallagher,37,37,0,False,concordant
L000557,John B. Larson,34,29,5,False,nous_plus
G000061,Michael Garcia,34,34,0,False,concordant
P000197,Nancy Pelosi,33,28,5,False,nous_plus
P000593,Ed Perlmutter,33,33,0,False,concordant
M001198,Roger W. Marshall,29,0,29,False,quiver_sans_donnee
J000295,David P. Joyce,29,24,5,False,nous_plus
W000800,Peter Welch,27,0,27,False,quiver_sans_donnee
C001066,Kathy Castor,25,25,0,False,concordant
B001274,Mo Brooks,25,23,2,False,nous_plus
R000609,John Rutherford,24,23,1,False,nous_plus
K000378,Adam Kinzinger,24,24,0,False,concordant
B001299,James E. Banks,24,0,24,False,quiver_sans_donnee
B001260,Vern Buchanan,23,0,23,False,quiver_sans_donnee
S001189,Austin Scott,22,23,-1,True,quiver_plus_papier
J000020,Christopher L. Jacobs,21,21,0,False,concordant
D000399,Lloyd Doggett,20,20,0,False,concordant
T000479,Nicholas Van Taylor,20,20,0,False,concordant
W000804,Robert J. Wittman,19,19,0,False,concordant
T000480,William R. Timmons,18,18,0,False,concordant
M001199,Brian Mast,18,19,-1,False,quiver_plus_a_revoir
D000598,Susan A. Davis,18,18,0,False,concordant
M001206,Joseph D. Morelle,17,17,0,False,concordant
G000563,Bob Gibbs,16,16,0,False,concordant
D000628,"Neal Patrick MD, FACS Dunn",14,0,14,False,quiver_sans_donnee
B001284,Susan W. Brooks,13,12,1,False,nous_plus
T000483,David Trone,13,4,9,False,nous_plus
R000597,Tom Rice,11,11,0,False,concordant
S001199,Lloyd K. Smucker,11,11,0,False,concordant
D000624,Debbie Dingell,10,10,0,False,concordant
S001216,Kim Schrier,10,10,0,False,concordant
P000523,David E. Price,10,8,2,False,nous_plus
M001204,Daniel Meuser,10,10,0,False,concordant
C001078,Gerald E. Connolly,8,8,0,False,concordant
S001148,Michael K. Simpson,7,7,0,False,concordant
S001190,Bradley S. Schneider,7,2,5,False,nous_plus
H001072,James French Hill,7,6,1,False,nous_plus
B001286,Cheri Bustos,7,7,0,False,concordant
A000372,Richard W. Allen,7,7,0,False,concordant
S000185,"Robert C. ""Bobby"" Scott",6,6,0,False,concordant
R000616,Harley E. Rouda,6,5,1,False,nous_plus
R000603,David Cheston Rouzer,6,6,0,False,concordant
C001103,Earl Leroy Carter,5,0,5,False,quiver_sans_donnee
P000034,Frank Pallone,5,5,0,False,concordant
C001108,James Comer,5,5,0,True,concordant
S001156,Linda T. Sanchez,4,0,4,False,quiver_sans_donnee
N000147,Eleanor Holmes Norton,3,0,3,False,quiver_sans_donnee
G000578,Matt Gaetz,3,2,1,False,nous_plus
A000367,Justin Amash,3,3,0,False,concordant
F000461,Bill Flores,3,1,2,False,nous_plus
V000108,Peter J. Visclosky,3,2,1,False,nous_plus
P000597,Chellie Pingree,3,0,3,False,quiver_sans_donnee
W000823,Michael Waltz,2,0,2,False,quiver_sans_donnee
G000588,Anthony E. Gonzalez,2,2,0,False,concordant
G000591,Michael Patrick Guest,2,2,0,False,concordant
M000087,Carolyn B. Maloney,2,0,2,False,quiver_sans_donnee
G000577,Garret Graves,2,2,0,False,concordant
P000096,Bill Pascrell,2,2,0,False,concordant
O000171,Tom O'Halleran,2,2,0,False,concordant
S001214,W. Greg Steube,2,2,0,False,concordant
C001124,TJ John (Tj) Cox,1,0,1,False,quiver_sans_donnee
S001209,Abigail Spanberger,1,0,1,False,quiver_sans_donnee
M001184,Thomas Massie,1,1,0,False,concordant
B001309,Tim Burchett,1,1,0,False,concordant
L000566,Robert E. Latta,1,1,0,False,concordant
K000391,S. Raja Krishnamoorthi,1,0,1,False,quiver_sans_donnee
J000294,Hakeem S. Jeffries,1,1,0,False,concordant
C001080,Judy Chu,1,1,0,False,concordant
M001188,Grace Meng,1,1,0,False,concordant
M001157,Michael T. McCaul,0,2251,-2251,True,manquant_papier
K000389,Ro Khanna,0,2442,-2442,True,manquant_papier
