bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,10,1540,3508,-1968,ocr_souscompte
H001086,Diana Harshbarger,7,726,814,-88,concordant
M001157,Michael T. McCaul,3,203,2003,-1800,ocr_souscompte
F000459,"Charles J. ""Chuck"" Fleischmann",5,50,24,26,ocr>=quiver
F000472,Scott Franklin,1,24,33,-9,ocr_souscompte
L000564,Doug Lamborn,2,21,7,14,ocr>=quiver
H001074,Trey Hollingsworth,4,11,5,6,ocr>=quiver
K000376,Mike Kelly,5,8,0,8,quiver_sans_donnee
D000629,Sharice Davids,1,6,0,6,quiver_sans_donnee
K000392,David Kustoff,2,4,2,2,ocr>=quiver
C001053,Tom Cole,2,2,0,2,quiver_sans_donnee
G000581,Vicente Gonzalez,1,2,0,2,quiver_sans_donnee
C001059,James M. Costa,1,1,0,1,quiver_sans_donnee
L000576,Billy Long,1,1,0,1,quiver_sans_donnee
