year,doc_id,declarant_name,state_district,disclosure_date,n_pages
2025q1,8220747,Gus M. Bilirakis,FL12,2025-02-06 00:00:00,2
2025q1,8220753,"Charles J. ""Chuck"" Fleischmann",TN03,2025-02-10 00:00:00,4
2025q1,8220796,Vicente Gonzalez,TX34,2025-03-13 00:00:00,1
2025q1,8220809,Vicente Gonzalez,TX34,2025-03-31 00:00:00,1
2025q1,8220750,Rohit Khanna,CA17,2025-02-06 00:00:00,34
2025q1,8220783,Rohit Khanna,CA17,2025-03-06 00:00:00,28
2025q1,8220754,Michael T. McCaul,TX10,2025-02-11 00:00:00,4
2025q1,8220755,Harold Dallas Rogers,KY05,2025-02-12 00:00:00,1
2025q1,8220782,Harold Dallas Rogers,KY05,2025-03-06 00:00:00,1
2025q1,8220731,Keith Alan Self,TX03,2025-01-23 00:00:00,2
2025q1,8220768,Brad Sherman,CA32,2025-02-20 00:00:00,2
2025q1,8220770,Brad Sherman,CA32,2025-02-25 00:00:00,1
2025q1,8220780,Brad Sherman,CA32,2025-03-03 00:00:00,2
2025q1,8220764,Adrian Smith,NE03,2025-02-13 00:00:00,2
2025q1,8220765,Ann Wagner,MO02,2025-02-14 00:00:00,2
2025q1,8220757,Tony Wied,WI08,2025-02-10 00:00:00,1
2025q1,8220799,Tony Wied,WI08,2025-03-14 00:00:00,2
2020,8217571,Gus M. Bilirakis,FL12,2020-08-20 00:00:00,1
2020,8217762,Gus M. Bilirakis,FL12,2020-12-09 00:00:00,1
2020,8217474,Wm. Lacy Clay,MO01,2020-08-10 00:00:00,1
2020,8216957,James Comer,KY01,2020-02-05 00:00:00,1
2020,8217113,James Comer,KY01,2020-03-25 00:00:00,2
2020,8216969,"Charles J. ""Chuck"" Fleischmann",TN03,2020-02-12 00:00:00,2
2020,8217280,"Charles J. ""Chuck"" Fleischmann",TN03,2020-05-28 00:00:00,6
2020,8217559,"Charles J. ""Chuck"" Fleischmann",TN03,2020-08-18 00:00:00,3
2020,8217737,"Charles J. ""Chuck"" Fleischmann",TN03,2020-11-24 00:00:00,3
2020,8217763,"Charles J. ""Chuck"" Fleischmann",TN03,2020-12-09 00:00:00,2
2020,8217738,James Hagedorn,MN01,2020-11-20 00:00:00,1
2020,8217083,George Holding,NC02,2020-03-12 00:00:00,2
2020,8217594,George Holding,NC02,2020-08-21 00:00:00,2
2020,8217671,George Holding,NC02,2020-10-02 00:00:00,2
2020,8217739,George Holding,NC02,2020-11-19 00:00:00,2
2020,8217232,Trey Hollingsworth,IN09,2020-05-18 00:00:00,2
2020,8217322,Trey Hollingsworth,IN09,2020-06-15 00:00:00,2
2020,8217352,Trey Hollingsworth,IN09,2020-07-01 00:00:00,2
2020,8217447,Trey Hollingsworth,IN09,2020-08-05 00:00:00,3
2020,8217634,Trey Hollingsworth,IN09,2020-09-09 00:00:00,3
2020,8217678,Trey Hollingsworth,IN09,2020-10-09 00:00:00,1
2020,8217764,Trey Hollingsworth,IN09,2020-12-09 00:00:00,1
2020,8217005,Mike Kelly,PA16,2020-02-25 00:00:00,1
2020,8217163,Mike Kelly,PA16,2020-04-20 00:00:00,1
2020,8217198,Mike Kelly,PA16,2020-05-05 00:00:00,1
2020,8217253,Mike Kelly,PA16,2020-05-20 00:00:00,1
2020,8217402,Mike Kelly,PA16,2020-07-22 00:00:00,1
2020,8216878,Joseph P. Kennedy,MA04,2020-01-08 00:00:00,2
2020,8217403,Joseph P. Kennedy,MA04,2020-07-21 00:00:00,2
2020,8217660,Joseph P. Kennedy,MA04,2020-09-18 00:00:00,2
2020,8216879,Rohit Khanna,CA17,2020-01-09 00:00:00,6
2020,8216965,Rohit Khanna,CA17,2020-02-10 00:00:00,11
2020,8217060,Rohit Khanna,CA17,2020-03-09 00:00:00,13
2020,8217164,Rohit Khanna,CA17,2020-04-20 00:00:00,18
2020,8217213,Rohit Khanna,CA17,2020-05-13 00:00:00,9
2020,8217329,Rohit Khanna,CA17,2020-06-17 00:00:00,12
2020,8217394,Rohit Khanna,CA17,2020-07-17 00:00:00,7
2020,8217557,Rohit Khanna,CA17,2020-08-17 00:00:00,8
2020,8217653,Rohit Khanna,CA17,2020-09-17 00:00:00,6
2020,8217686,Rohit Khanna,CA17,2020-10-21 00:00:00,11
2020,8217740,Rohit Khanna,CA17,2020-11-20 00:00:00,5
2020,8217777,Rohit Khanna,CA17,2020-12-16 00:00:00,8
2020,8217045,David Kustoff,TN08,2020-03-02 00:00:00,2
2020,8217640,Doug Lamborn,CO05,2020-09-14 00:00:00,3
2020,8217726,Doug Lamborn,CO05,2020-11-10 00:00:00,2
2020,8217760,Doug Lamborn,CO05,2020-12-08 00:00:00,3
2020,8217785,Doug Lamborn,CO05,2020-12-28 00:00:00,2
2020,8217165,Billy Long,MO07,2020-04-13 00:00:00,3
2020,8217353,Billy Long,MO07,2020-07-01 00:00:00,1
2020,8217343,Kenny Marchant,TX24,2020-06-26 00:00:00,2
2020,8217769,Kenny Marchant,TX24,2020-12-11 00:00:00,8
2020,8217786,Kenny Marchant,TX24,2020-12-29 00:00:00,20
2020,8216973,Michael T. McCaul,TX10,2020-02-19 00:00:00,8
2020,8217166,Michael T. McCaul,TX10,2020-04-20 00:00:00,7
2020,8217208,Michael T. McCaul,TX10,2020-05-06 00:00:00,7
2020,8217209,Michael T. McCaul,TX10,2020-05-06 00:00:00,21
2020,8217233,Michael T. McCaul,TX10,2020-05-18 00:00:00,8
2020,8217323,Michael T. McCaul,TX10,2020-06-15 00:00:00,4
2020,8217405,Michael T. McCaul,TX10,2020-07-22 00:00:00,5
2020,8217570,Michael T. McCaul,TX10,2020-08-20 00:00:00,4
2020,8217659,Michael T. McCaul,TX10,2020-09-22 00:00:00,6
2020,8217680,Michael T. McCaul,TX10,2020-10-16 00:00:00,4
2020,8217747,Michael T. McCaul,TX10,2020-11-30 00:00:00,7
2020,8216972,David P. Roe,TN01,2020-02-14 00:00:00,27
2020,8217084,David P. Roe,TN01,2020-03-12 00:00:00,19
2020,8217121,David P. Roe,TN01,2020-04-07 00:00:00,53
2020,8217226,David P. Roe,TN01,2020-05-15 00:00:00,30
2020,8217291,David P. Roe,TN01,2020-06-09 00:00:00,19
2020,8217378,David P. Roe,TN01,2020-07-14 00:00:00,13
2020,8217489,David P. Roe,TN01,2020-08-11 00:00:00,24
2020,8217646,David P. Roe,TN01,2020-09-15 00:00:00,13
2020,8217677,David P. Roe,TN01,2020-10-08 00:00:00,11
2020,8217728,David P. Roe,TN01,2020-11-16 00:00:00,16
2020,8217770,David P. Roe,TN01,2020-12-11 00:00:00,24
2020,8216974,Harold Dallas Rogers,KY05,2020-02-19 00:00:00,1
2020,8217103,Harold Dallas Rogers,KY05,2020-03-20 00:00:00,1
2020,8217212,Harold Dallas Rogers,KY05,2020-05-11 00:00:00,1
2020,8217324,Harold Dallas Rogers,KY05,2020-06-11 00:00:00,2
2020,8217326,Harold Dallas Rogers,KY05,2020-06-11 00:00:00,1
2020,8217365,Harold Dallas Rogers,KY05,2020-07-02 00:00:00,2
2020,8217631,Harold Dallas Rogers,KY05,2020-09-09 00:00:00,1
2020,8217632,Harold Dallas Rogers,KY05,2020-09-09 00:00:00,1
2020,8217682,Harold Dallas Rogers,KY05,2020-10-16 00:00:00,1
2020,8217743,Harold Dallas Rogers,KY05,2020-11-19 00:00:00,1
2020,8217772,Harold Dallas Rogers,KY05,2020-12-14 00:00:00,1
2020,8216915,Francis Rooney,FL19,2020-01-15 00:00:00,2
2020,8217006,Francis Rooney,FL19,2020-02-25 00:00:00,2
2020,8217114,Francis Rooney,FL19,2020-03-25 00:00:00,2
2020,8217188,Francis Rooney,FL19,2020-04-29 00:00:00,2
2020,8217281,Francis Rooney,FL19,2020-05-27 00:00:00,2
2020,8217345,Francis Rooney,FL19,2020-06-26 00:00:00,2
2020,8217419,Francis Rooney,FL19,2020-07-28 00:00:00,2
2020,8217604,Francis Rooney,FL19,2020-08-25 00:00:00,3
2020,8217674,Francis Rooney,FL19,2020-10-05 00:00:00,2
2020,8217692,Francis Rooney,FL19,2020-10-29 00:00:00,1
2020,8217744,Francis Rooney,FL19,2020-11-25 00:00:00,2
2020,8217791,Francis Rooney,FL19,2020-12-29 00:00:00,1
2020,8216880,Adam B. Schiff,CA28,2020-01-08 00:00:00,1
2020,8217364,Adam B. Schiff,CA28,2020-07-09 00:00:00,1
2020,8216960,Kurt Schrader,OR05,2020-02-06 00:00:00,2
2020,8217051,Kurt Schrader,OR05,2020-03-04 00:00:00,2
2020,8217141,Kurt Schrader,OR05,2020-04-09 00:00:00,5
2020,8217225,Kurt Schrader,OR05,2020-05-15 00:00:00,2
2020,8217339,Kurt Schrader,OR05,2020-06-24 00:00:00,2
2020,8217406,Kurt Schrader,OR05,2020-07-22 00:00:00,4
2020,8217654,Kurt Schrader,OR05,2020-09-17 00:00:00,1
2020,8217689,Kurt Schrader,OR05,2020-10-28 00:00:00,2
2020,8217745,Kurt Schrader,OR05,2020-11-20 00:00:00,2
2020,8217789,Kurt Schrader,OR05,2020-12-23 00:00:00,3
2020,9115545,Austin Scott,GA08,2020-02-26 00:00:00,1
2020,8216975,Fred Upton,MI06,2020-02-19 00:00:00,3
2020,8217123,Fred Upton,MI06,2020-04-06 00:00:00,5
2020,8217182,Fred Upton,MI06,2020-04-24 00:00:00,2
2020,8217211,Fred Upton,MI06,2020-05-12 00:00:00,3
2020,8217325,Fred Upton,MI06,2020-06-12 00:00:00,2
2020,8217346,Fred Upton,MI06,2020-06-24 00:00:00,2
2020,8217384,Fred Upton,MI06,2020-07-17 00:00:00,2
2020,8217423,Fred Upton,MI06,2020-07-28 00:00:00,2
2020,8217635,Fred Upton,MI06,2020-09-09 00:00:00,1
2020,8217681,Fred Upton,MI06,2020-10-16 00:00:00,1
2020,8216961,Ann Wagner,MO02,2020-02-04 00:00:00,2
2020,8217065,Ann Wagner,MO02,2020-03-06 00:00:00,3
2020,8217771,Ann Wagner,MO02,2020-12-14 00:00:00,1
2020,8217425,Ted S. Yoho,FL03,2020-07-29 00:00:00,2
2020,8217626,Ted S. Yoho,FL03,2020-09-08 00:00:00,5
2021,8218417,Gus M. Bilirakis,FL12,2021-10-29 00:00:00,1
2021,8218196,Steve Chabot,OH01,2021-07-28 00:00:00,2
2021,8217884,"Charles J. ""Chuck"" Fleischmann",TN03,2021-03-03 00:00:00,4
2021,8218027,"Charles J. ""Chuck"" Fleischmann",TN03,2021-05-12 00:00:00,2
2021,8218297,"Charles J. ""Chuck"" Fleischmann",TN03,2021-08-17 00:00:00,2
2021,8218379,"Charles J. ""Chuck"" Fleischmann",TN03,2021-10-01 00:00:00,2
2021,8218380,"Charles J. ""Chuck"" Fleischmann",TN03,2021-10-07 00:00:00,2
2021,8218397,"Charles J. ""Chuck"" Fleischmann",TN03,2021-10-13 00:00:00,2
2021,8218436,"Charles J. ""Chuck"" Fleischmann",TN03,2021-11-12 00:00:00,2
2021,8218505,"Charles J. ""Chuck"" Fleischmann",TN03,2021-12-16 00:00:00,2
2021,8218040,Scott Franklin,FL15,2021-05-20 00:00:00,2
2021,8218078,Scott Franklin,FL15,2021-06-08 00:00:00,2
2021,8218110,Scott Franklin,FL15,2021-06-15 00:00:00,2
2021,8218111,Scott Franklin,FL15,2021-06-15 00:00:00,2
2021,8218405,Scott Franklin,FL15,2021-10-20 00:00:00,2
2021,8218296,Diana Harshbarger,TN01,2021-08-16 00:00:00,48
2021,8218321,Diana Harshbarger,TN01,2021-08-27 00:00:00,59
2021,8218358,Diana Harshbarger,TN01,2021-09-22 00:00:00,11
