bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,12,7019,3508,3511,ocr>=quiver
M001157,Michael T. McCaul,12,2189,2003,186,ocr>=quiver
H001086,Diana Harshbarger,11,1330,814,516,ocr>=quiver
S001180,Kurt Schrader,14,163,62,101,ocr>=quiver
F000459,"Charles J. ""Chuck"" Fleischmann",6,64,24,40,ocr>=quiver
L000564,Doug Lamborn,6,49,7,42,ocr>=quiver
R000395,Harold Dallas Rogers,7,23,0,23,quiver_sans_donnee
F000472,Scott Franklin,1,22,33,-11,ocr_souscompte
S001201,Thomas Suozzi,3,20,143,-123,ocr_souscompte
H001074,Trey Hollingsworth,6,18,5,13,ocr>=quiver
W000812,Ann Wagner,5,6,0,6,quiver_sans_donnee
L000576,Billy Long,1,1,0,1,quiver_sans_donnee
