doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20022986,Allen,Richard W.,P,GA12,6/2/2023,2023-06-02,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022986.pdf
20023082,Allen,Richard W.,P,GA12,8/10/2023,2023-08-10,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
20023622,Allen,Richard W.,P,GA12,9/8/2023,2023-09-08,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023622.pdf
20023812,Allen,Richard W.,P,GA12,10/5/2023,2023-10-05,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023812.pdf
20024001,Allen,Richard W.,P,GA12,11/16/2023,2023-11-16,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024001.pdf
20024101,Allen,Richard W.,P,GA12,12/19/2023,2023-12-19,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024101.pdf
20022202,Axne,Cindy,P,IA03,1/2/2023,2023-01-02,Cindy Axne,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022202.pdf
20005641,Babin,Brian,P,TX36,6/9/2023,2023-06-09,Brian Babin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20005641.pdf
20023168,Banks,James E Hon,P,IN03,6/21/2023,2023-06-21,James E Hon Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023168.pdf
20022850,Bentz,Cliff,P,OR02,5/3/2023,2023-05-03,Cliff Bentz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022850.pdf
20022418,Beyer,Donald Sternoff,P,VA08,3/3/2023,2023-03-03,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022418.pdf
20022603,Beyer,Donald Sternoff,P,VA08,4/5/2023,2023-04-05,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022603.pdf
20022807,Beyer,Donald Sternoff,P,VA08,4/29/2023,2023-04-29,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022807.pdf
20023129,Beyer,Donald Sternoff,P,VA08,7/1/2023,2023-07-01,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023129.pdf
20023758,Beyer,Donald Sternoff,P,VA08,10/1/2023,2023-10-01,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023758.pdf
20023437,Bice,Stephanie,P,OK05,8/12/2023,2023-08-12,Stephanie Bice,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023437.pdf
20022126,Bishop,Dan Daniel,P,NC08,5/4/2023,2023-05-04,Dan Daniel Bishop,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022126.pdf
20022876,Bishop,Dan Daniel,P,NC08,5/7/2023,2023-05-07,Dan Daniel Bishop,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022876.pdf
20023712,Bishop,Dan Daniel,P,NC08,9/15/2023,2023-09-15,Dan Daniel Bishop,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023712.pdf
20023903,Bishop,Dan Daniel,P,NC08,10/27/2023,2023-10-27,Dan Daniel Bishop,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023903.pdf
20022225,Blumenauer,Earl,P,OR03,1/4/2023,2023-01-04,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022225.pdf
20022271,Blumenauer,Earl,P,OR03,1/12/2023,2023-01-12,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022271.pdf
20022521,Blumenauer,Earl,P,OR03,3/6/2023,2023-03-06,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022521.pdf
20022546,Blumenauer,Earl,P,OR03,3/9/2023,2023-03-09,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022546.pdf
20022667,Blumenauer,Earl,P,OR03,4/5/2023,2023-04-05,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022667.pdf
20023073,Blumenauer,Earl,P,OR03,6/8/2023,2023-06-08,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023073.pdf
20023218,Blumenauer,Earl,P,OR03,7/12/2023,2023-07-12,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023218.pdf
20023435,Blumenauer,Earl,P,OR03,8/4/2023,2023-08-04,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023435.pdf
20023615,Blumenauer,Earl,P,OR03,9/6/2023,2023-09-06,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023615.pdf
20023955,Blumenauer,Earl,P,OR03,11/7/2023,2023-11-07,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023955.pdf
20024076,Blumenauer,Earl,P,OR03,12/4/2023,2023-12-04,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024076.pdf
20022259,Burgess,Michael C.,P,TX26,1/25/2023,2023-01-25,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022259.pdf
20022391,Burgess,Michael C.,P,TX26,2/9/2023,2023-02-09,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022391.pdf
20022499,Burgess,Michael C.,P,TX26,3/3/2023,2023-03-03,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022499.pdf
20022541,Burgess,Michael C.,P,TX26,3/14/2023,2023-03-14,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022541.pdf
20022685,Burgess,Michael C.,P,TX26,4/14/2023,2023-04-14,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022685.pdf
20023153,Burgess,Michael C.,P,TX26,6/15/2023,2023-06-15,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023153.pdf
20023340,Burgess,Michael C.,P,TX26,7/18/2023,2023-07-18,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023340.pdf
20023382,Burgess,Michael C.,P,TX26,8/8/2023,2023-08-08,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023382.pdf
20023612,Burgess,Michael C.,P,TX26,9/5/2023,2023-09-05,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023612.pdf
20023623,Burgess,Michael C.,P,TX26,9/6/2023,2023-09-06,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023623.pdf
20023786,Burgess,Michael C.,P,TX26,10/3/2023,2023-10-03,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023786.pdf
20024169,Burgess,Michael C.,P,TX26,12/18/2023,2023-12-18,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024169.pdf
8219414,Burlison,Eric,P,MO07,3/1/2023,2023-03-01,Eric Burlison,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/8219414.pdf
20022894,Carter,Earl Leroy,P,GA01,5/9/2023,2023-05-09,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022894.pdf
