doc_id,nous,semaine1,delta
20034129,3,3,0
20033758,1,1,0
20034721,2,2,0
20033759,1,1,0
20034221,7,7,0
20034176,1,1,0
20034160,1,1,0
20034132,1,1,0
20034712,1,1,0
20034591,1,1,0
20034668,1,1,0
20034486,1,1,0
20034542,1,1,0
20034355,1,0,1
20033889,1,0,1
20034280,2,1,1
20034702,1,0,1
20034345,2,1,1
20034520,1,0,1
20034128,1,0,1
20034357,1,0,1
20033857,1,0,1
20034315,1,0,1
20034311,1,0,1
20034359,1,0,1
20034726,1,0,1
20034307,1,0,1
20033947,2,1,1
20034095,1,0,1
20034102,1,0,1
20034054,1,0,1
20034295,1,0,1
20034298,1,0,1
20034035,1,0,1
20034528,1,0,1
20034123,1,0,1
20034024,1,0,1
20034012,1,0,1
20034670,1,0,1
20034119,1,0,1
20033989,1,0,1
20034688,1,0,1
20034524,1,0,1
20033964,1,0,1
20034013,1,0,1
20034552,1,0,1
20034085,1,0,1
20033744,1,0,1
20034167,1,0,1
20034547,1,0,1
20034499,1,0,1
20033736,1,0,1
20033734,1,0,1
20034796,1,0,1
20034502,1,0,1
20032279,2,1,1
20034452,1,0,1
20033500,1,0,1
20034589,1,0,1
20034461,1,0,1
20034562,1,0,1
20034466,1,0,1
20034762,1,0,1
20033751,2,1,1
20033755,1,0,1
20034401,1,0,1
20033829,1,0,1
20034368,1,0,1
20034375,1,0,1
20034379,1,0,1
20034607,1,0,1
20034155,1,0,1
20033803,1,0,1
20034727,1,0,1
20020055,1,0,1
20034223,1,0,1
20034158,1,0,1
20033780,1,0,1
20033766,1,0,1
20033763,1,0,1
20034747,1,0,1
20034581,1,0,1
20034105,2,0,2
20034615,2,0,2
20034179,2,0,2
20034653,2,0,2
20034651,2,0,2
20034114,2,0,2
20034622,2,0,2
20034563,2,0,2
20034082,2,0,2
20034521,3,1,2
20034068,2,0,2
20034498,2,0,2
20033661,4,2,2
20033705,2,0,2
20033709,2,0,2
20034749,4,2,2
20033738,2,0,2
20034416,2,0,2
20034748,2,0,2
20034400,2,0,2
20034384,2,0,2
20033804,2,0,2
20033830,4,2,2
20033813,2,0,2
20033881,2,0,2
20034056,2,0,2
20034044,2,0,2
20034301,4,2,2
20034016,2,0,2
20034302,2,0,2
20033840,2,0,2
20033991,2,0,2
20034587,3,1,2
20034706,2,0,2
20033920,2,0,2
20033946,2,0,2
20034202,2,0,2
20034503,3,0,3
20034419,3,0,3
20034462,3,0,3
20034346,4,1,3
20034292,4,1,3
20034177,3,0,3
20033944,4,1,3
20034010,3,0,3
20034767,3,0,3
20033856,4,1,3
20033713,5,2,3
20034050,3,0,3
20033918,4,1,3
20033714,3,0,3
20033754,5,2,3
20033746,3,0,3
20034168,3,0,3
20033732,5,2,3
20034740,4,0,4
20033760,8,4,4
20033747,5,1,4
20033821,4,0,4
20033903,4,0,4
20033718,4,0,4
20034519,5,1,4
20033783,4,0,4
20034489,10,6,4
20034297,6,2,4
20034178,4,0,4
20034783,5,1,4
20034133,5,1,4
20034496,4,0,4
20033945,4,0,4
20034424,4,0,4
20033956,4,0,4
20034036,8,3,5
20033981,5,0,5
20034190,6,1,5
20034084,5,0,5
20034616,5,0,5
20034556,5,0,5
20034780,7,2,5
20033928,5,0,5
20034695,5,0,5
20034018,6,1,5
20033930,6,1,5
20034473,7,1,6
20034478,8,2,6
20034188,6,0,6
20033814,6,0,6
20033815,6,0,6
20033858,6,0,6
20034025,6,0,6
20034034,7,1,6
20034247,6,0,6
20034156,6,0,6
20033739,6,0,6
20034348,6,0,6
20019182,8,1,7
20034327,8,1,7
20034300,7,0,7
20034099,7,0,7
20034650,12,4,8
20034417,8,0,8
20033756,9,1,8
20034217,8,0,8
20033845,9,1,8
20034342,8,0,8
20034195,8,0,8
20034201,9,1,8
20034134,8,0,8
20033929,10,1,9
20034213,10,0,10
20034709,14,4,10
20034413,11,1,10
20034414,10,0,10
20034522,12,2,10
20034207,11,1,10
20034479,12,1,11
20034807,13,2,11
20034351,11,0,11
20034113,14,2,12
20033737,15,2,13
20033921,15,2,13
20034262,16,2,14
20034660,15,1,14
20034130,16,1,15
20033835,15,0,15
20033725,17,1,16
20034305,18,2,16
20033648,19,2,17
20033993,24,7,17
20033654,19,2,17
20034693,20,3,17
20033800,19,0,19
20034585,25,6,19
20034487,23,1,22
20034138,28,4,24
20034299,26,1,25
20033916,31,6,25
20033927,26,0,26
20034106,32,5,27
20034784,30,0,30
20034579,39,0,39
20034159,44,1,43
20034274,48,2,46
20034718,52,4,48
20033789,61,8,53
20034144,83,8,75
20034500,94,8,86
20034713,101,10,91
20033762,120,11,109
20034285,139,8,131
20033983,147,14,133
20030977,223,15,208
