year,doc_id,member,cluster,pages,qcov,entry_style,orientation,legibility
2020,8217747,Michael T. McCaul,A_tape_droit,7,24772,typed,upright,medium
2020,8216974,Harold Dallas Rogers,A_tape_droit,1,3,typed,upright,high
2020,8216879,Rohit Khanna,B_tape_tourne,6,29064,typed,rotated90,medium
2020,8216973,Michael T. McCaul,B_tape_tourne,8,24772,typed,mixed,high
2020,8216915,Francis Rooney,B_tape_tourne,2,625,typed,mixed,medium
2020,8216969,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne,2,124,typed,rotated90,high
2020,8217232,Trey Hollingsworth,B_tape_tourne,2,18,typed,rotated90,high
2020,8217103,Harold Dallas Rogers,B_tape_tourne,1,3,typed,rotated90,high
2020,9115545,Austin Scott,C_manuscrit,1,124,handwritten,rotated90,medium
2020,8216960,Kurt Schrader,C_manuscrit,2,120,handwritten,rotated90,medium
2021,8217934,Trey Hollingsworth,A_tape_droit,2,18,typed,upright,high
2021,8217844,Harold Dallas Rogers,A_tape_droit,1,3,typed,upright,high
2021,8217856,Rohit Khanna,B_tape_tourne,6,29064,typed,mixed,medium
2021,8217869,Michael T. McCaul,B_tape_tourne,5,24772,typed,mixed,medium
2021,8218296,Diana Harshbarger,B_tape_tourne,48,1016,typed,mixed,medium
2021,8218040,Scott Franklin,B_tape_tourne,1,248,typed,rotated90,high
2021,8217884,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne,4,124,typed,rotated90,high
2021,8217927,Kurt Schrader,B_tape_tourne,3,120,typed,rotated90,high
2021,8218358,Diana Harshbarger,C_manuscrit,11,1016,mixed,mixed,medium
2021,8217870,Kurt Schrader,C_manuscrit,3,120,handwritten,rotated90,medium
2022,8219219,Thomas Suozzi,A_tape_droit,1,639,typed,upright,high
2022,8218641,Scott Franklin,A_tape_droit,5,248,typed,upright,high
2022,8218518,Rohit Khanna,B_tape_tourne,10,29064,typed,rotated90,medium
2022,8218545,Michael T. McCaul,B_tape_tourne,16,24772,typed,rotated90,medium
2022,8218540,Diana Harshbarger,B_tape_tourne,7,1016,typed,mixed,high
2022,8219286,Thomas Suozzi,B_tape_tourne,2,639,typed,rotated90,high
2022,8218535,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne,2,124,typed,mixed,high
2022,8218557,Kurt Schrader,B_tape_tourne,4,120,typed,mixed,high
2022,8218558,Kurt Schrader,C_manuscrit,1,120,mixed,rotated90,medium
2022,8218548,Doug Lamborn,C_manuscrit,2,20,handwritten,mixed,medium
2023,8219919,"Charles J. ""Chuck"" Fleischmann",A_tape_droit,1,124,typed,upright,high
2023,8219362,Harold Dallas Rogers,A_tape_droit,1,3,typed,upright,high
2023,8219353,Rohit Khanna,B_tape_tourne,17,29064,typed,mixed,medium
2023,8219384,Michael T. McCaul,B_tape_tourne,5,24772,typed,mixed,high
2023,8219742,Laurel Mrs Lee,B_tape_tourne,2,1294,typed,rotated90,medium
2023,8219412,Diana Harshbarger,B_tape_tourne,7,1016,typed,rotated90,high
2023,8219356,Max Miller,B_tape_tourne,2,170,typed,rotated90,high
2023,8219359,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne,3,124,typed,mixed,high
2023,8219485,Doug Lamborn,C_manuscrit,1,20,handwritten,upright,medium
2023,8219383,Mike Kelly,C_manuscrit,2,15,handwritten,rotated90,medium
2024,8220320,Michael T. McCaul,A_tape_droit,8,24772,typed,upright,high
2024,8220317,"Charles J. ""Chuck"" Fleischmann",A_tape_droit,2,124,typed,upright,high
2024,8220127,Rohit Khanna,B_tape_tourne,22,29064,typed,mixed,medium
2024,8220162,Michael T. McCaul,B_tape_tourne,7,24772,typed,mixed,medium
2024,8220682,Byron Donalds,B_tape_tourne,25,292,typed,mixed,high
2024,8220147,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne,3,124,typed,mixed,medium
2024,8220203,Harold Dallas Rogers,B_tape_tourne,1,3,typed,rotated90,medium
2024,8220118,Anna Paulina Luna,B_tape_tourne,1,0,typed,rotated90,medium
2024,8220177,Doug Lamborn,C_manuscrit,1,20,handwritten,rotated90,low
2024,8220155,Harold Dallas Rogers,C_manuscrit,1,3,handwritten,upright,high
