bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,year,cluster,ticker_source
M001157,Michael T. McCaul,house,,TX10,,,2012-08-14,2020-11-30,,SEE SCHEDULES ATTACHED,,Sale,"$15,001 - $50,000",32500.0,False,Joint Tenancy,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,5d90e3c9e89b22ad214afe8cb50780b9b9f5799c76ca610ae6d662ab557ef160,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-20,2020-11-30,,LLM FAMILY INVESTMENTS LP (1.9440% INTEREST),Stock,Purchase,"$1,001 - $15,000",8000.0,False,SELF,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,f40d7432886685e46084c92712a0b1112e4a63038477f6be99a6f45d65edd626,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-27,2020-11-30,,KING CNTY WASH SWR REV,,Purchase,"$250,001 - $500,000",375000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,23ed970a3060c3852b02f7ba020eb5cba89f522b58f2f31a8ea6e48dcd2ca7f5,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-27,2020-11-30,,FULTON CNTY GA WTR & SEW REV,,Purchase,"$100,001 - $250,000",175000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,777b8a54d074f9ab1a9bd854d02267ed817f7064eca89d8139beb708daeb9087,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-29,2020-11-30,,WILMINGTON DEL,,Purchase,"$100,001 - $250,000",175000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,93036dc67db29d897c95470100fd69e8cfa037bef7027abb7200d615b3cbc7b2,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-38,2020-11-30,GOOGL,ALPHABET INC,Stock,Purchase,"$100,001 - $250,000",175000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,be7e44e76ed0333f62afea1b2108f6d9a55d2a1753ce6e527d048fcdc08f4a90,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-22,2020-11-30,,BAY AREA TOLL AUTH CALIF TOLL,,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,dfd7a5669f560d3ff8a92e55a686329ecc1db7f3719a8aa820e42dbffe7f5fd8,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-30,2020-11-30,COF,CAPITAL ONE,,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,4586bf0be3b8ddc7720b06e88fa1d6fd4bc88a0371c59f603c9bee018534f562,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-13,2020-11-30,SIRI,SIRIUS XM HLDGS INC,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,6b89d3be4b1cd33209bb27242c3a155a01a0e62bc1d1595fee6884e169c8e654,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-13,2020-11-30,SIRI,SIRIUS XM HLDGS INC,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,f52635ecc7b010e3430722b06b586ad2c45288fcfda117cd85370bd25889b08f,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-30,2020-11-30,,NORTH EAST INDPT SCH DIST TEX,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,af95429e288dc5a6e20a70a1f406a6947ce8f6a93ad0a487eceb501ebc3ef5bf,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-27,2020-11-30,FB,FACEBOOK INC,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,25788493179287b44ebfa6fbf8f1546b8ba496b87b9987b51d7cbcb97ccbe335,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-26,2020-11-30,MU,MICRON TECHNOLOGY INC,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,a20b5e99e84efb0ffee049b5bb125c01116f26cf9bf009d53d8e1a0988fda573,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-01,2020-11-30,,HENNEPIN CNTY MINN,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,b94e8d990d2f1895559ca913e53ceaa3ed296979deb15f59c5d0facb5b479e87,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-13,2020-11-30,NVT,nVent Electric,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,3b7971d3dcb1d809d9ba7f7d641c4d24cf08762a8f77d100acdc2e59e45868dc,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-08,2020-11-30,FLS,Flowserve Corp,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,aa9046a7f19fbe320f1ee3b43a6be68a8efef051e6f7961f3626d52d02d99d9b,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,HSIC,"Henry Schein, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,9dee87ca8c62208a9026488338f1fa6b1df95d0b460472b5c75a511258639e79,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-05,2020-11-30,HLI,Houlihan Lokey Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,11fb001f8270ee8e8afcf8cb935018ef6901814ae5a1da13ceb9e9758a51d090,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-05,2020-11-30,FCN,FTI CONSULTING INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,24fc4b2c7871e2506f07480601380b5e4d9ab7d0d4bd1a3d15ff5583945adcd2,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-16,2020-11-30,HII,Huntington Ingalls Industries Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,c1ed9be29e0fa8c1f6be41e4eb3690e59df9f1d1b1e337f9f5057f968271350f,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-16,2020-11-30,PRI,PRIMERICA INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,2a7b55c3d92bb28b6f1325c405ac9569e8d2849445df90003fcf2ca03ed3a2bd,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-08,2020-11-30,NVT,nVent Electric,,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,e70e8de3477fc8fc7d900b2236b690a945382b9e02b2acd9f6b717516ca99046,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-09,2020-11-30,PRI,PRIMERICA INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,e9180e22eb3780e4103f2cf9e14068994d0dd57c5e7032fa6b5ea623f6c87092,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-08,2020-11-30,PEP,PEPSICO INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,40ccefe4227a639a92cf4447a3c43bf8169fac3d36c4d50128eefeeb7c173766,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-08,2020-11-30,,NESTLE S A,,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,6b55833d447c24543278cb5c3a54e4daf2099ce503c23d34b1a0e535dd82f2c8,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-01,2020-11-30,,RHODE ISLAND HSG & MTG FIN COR,,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,b914a32b91a8524e887400177e888174377c69c6ac201be8ab329f55ddd6e34a,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-19,2020-11-30,MSM,MSC Industrial Direct Co Inc,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,208cf23a2ec92e0f0c2a1174eb8af530663e131e5d859ac75de80267ebfba2fc,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-19,2020-11-30,,MASSACHUSETTS STS ST HSG FIN AGY H,,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,278786412087e420a11f74a0146b6374780b93757a48b9977f5673a364a78925,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-16,2020-11-30,PAG,"Penske Automotive Group, Inc.",Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,50babb375585346a29f2e47b77f6e32852024dfb9397212a9fb6fbdac1906228,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-28,2020-11-30,EPAM,EPAM SYS INC,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,14356655f5272248f842bdc3226b10f4ae1121b9a611a815b3f68dcc0b13d10b,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,AOS,A O SMITH CORP,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,c3437c22f2d9c4358fdcf22712649ce6ad6c2e051cfe8033ceaf5afacf4c7260,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-27,2020-11-30,EPAM,EPAM SYS INC,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,18d9a7e20473d2d71a107646e1413bd3c6ad00c6f4c020e3259c12f70defb569,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-05,2020-11-30,WTM,White Mountains Insurance Group Ltd,,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,c578f09c48868c773575d8aa29d55f1f36207e3f1cc3058224a38d93721e670f,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-26,2020-11-30,PYPL,PAYPAL HOLDINGS INC,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,2f2f97d7aead7dd76541a4282d763634010032138b9bb446345850844d423093,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-01,2020-11-30,BDX,BECTON DICKINSON & CO,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,316921c408951d0f933da2dd6d0284e78369c6db95cba06734530197b76cff17,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-29,2020-11-30,,WASHINGTON CNTY TEX JR COLLEGE,,Sale,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,e19d0b65600cc3f4238367b65688a621a64aad14471d17dcf1b44bbd7647b859,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-30,2020-11-30,,ANCHORAGE ALASKA ELEC UTIL REV,,Sale,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,b3e3ea020e81e3f4eb0898bb75279173f1d7bdcc95134ca085fdfd99e2f5550b,house-pdf-ocr,2020,A_tape_droit,none
