ticker,nom,parts,valeur,pct,categorie,fonds,date
AFL,Aflac Inc,90.0,5806.8,0.0920867627,EC,NANC,2023-03-31
APG,API Group Corp,2344.0,52693.12,0.8356304396,EC,NANC,2023-03-31
T,AT&amp;T Inc,307.0,5909.75,0.0937193886,EC,NANC,2023-03-31
ABT,Abbott Laboratories,132.0,13366.32,0.2119689223,EC,NANC,2023-03-31
ABBV,AbbVie Inc,148.0,23586.76,0.3740491098,EC,NANC,2023-03-31
ACIW,ACI Worldwide Inc,20.0,539.6,0.0085572117,EC,NANC,2023-03-31
ATVI,Activision Blizzard Inc,90.0,7703.1,0.1221591137,EC,NANC,2023-03-31
AYI,Acuity Brands Inc,1.0,182.73,0.0028978119,EC,NANC,2023-03-31
ADBE,Adobe Inc,16.0,6165.92,0.097781844,EC,NANC,2023-03-31
AAP,Advance Auto Parts Inc,10.0,1216.1,0.0192854433,EC,NANC,2023-03-31
AMD,Advanced Micro Devices Inc,220.0,21562.2,0.3419427558,EC,NANC,2023-03-31
WMS,Advanced Drainage Systems Inc,10.0,842.1,0.0133543885,EC,NANC,2023-03-31
AEIS,Advanced Energy Industries Inc,10.0,980.0,0.0155412667,EC,NANC,2023-03-31
A,Agilent Technologies Inc,50.0,6917.0,0.1096927977,EC,NANC,2023-03-31
ADC,Agree Realty Corp,10.0,686.1,0.0108804725,EC,NANC,2023-03-31
ABNB,Airbnb Inc,160.0,19904.0,0.3156462982,EC,NANC,2023-03-31
AL,Air Lease Corp,10.0,393.7,0.006243466,EC,NANC,2023-03-31
MRVL,Marvell Technology Inc,204.0,8833.2,0.1400807316,EC,NANC,2023-03-31
MAS,Masco Corp,30.0,1491.6,0.0236544422,EC,NANC,2023-03-31
MA,Mastercard Inc,80.0,29072.8,0.4610491207,EC,NANC,2023-03-31
MTDR,Matador Resources Co,60.0,2859.0,0.0453392668,EC,NANC,2023-03-31
MTCH,Match Group Inc,16.0,614.24,0.0097408854,EC,NANC,2023-03-31
MAT,Mattel Inc,260.0,4786.6,0.0759079869,EC,NANC,2023-03-31
MCD,McDonald's Corp,101.0,28240.61,0.4478518894,EC,NANC,2023-03-31
MCK,McKesson Corp,14.0,4984.7,0.0790495429,EC,NANC,2023-03-31
MEDP,Medpace Holdings Inc,10.0,1880.5,0.0298217878,EC,NANC,2023-03-31
MELI,MercadoLibre Inc,3.0,3954.18,0.0627071081,EC,NANC,2023-03-31
MRK,Merck &amp; Co Inc,90.0,9575.1,0.1518461048,EC,NANC,2023-03-31
MET,MetLife Inc,30.0,1738.2,0.0275651324,EC,NANC,2023-03-31
MTD,Mettler-Toledo International I,1.0,1530.21,0.0242667364,EC,NANC,2023-03-31
MSFT,Microsoft Corp,1747.0,503660.1,7.9872611599,EC,NANC,2023-03-31
MCHP,Microchip Technology Inc,214.0,17928.92,0.2843246196,EC,NANC,2023-03-31
MU,Micron Technology Inc,321.0,19369.14,0.3071642555,EC,NANC,2023-03-31
MAA,Mid-America Apartment Communit,10.0,1510.4,0.0239525808,EC,NANC,2023-03-31
