poste,nom_complet,bioguide_id,debut,fin
Speaker of the House,John Boehner,B000589,2014-01-01,2015-10-31
Speaker of the House,Paul Ryan,R000570,2015-10-01,2019-01-31
Speaker of the House,Nancy Pelosi,P000197,2019-01-01,2023-01-31
Speaker of the House,Kevin McCarthy,M001165,2023-01-01,2023-10-31
Speaker of the House,Mike Johnson,J000299,2023-10-01,2026-12-31
House Majority Leader,Eric Cantor,C001046,2014-01-01,2014-07-31
House Majority Leader,Kevin McCarthy,M001165,2014-08-01,2019-01-31
House Majority Leader,Steny Hoyer,H000874,2019-01-01,2023-01-31
House Majority Leader,Steve Scalise,S001176,2023-01-01,2026-12-31
House Minority Leader,Nancy Pelosi,P000197,2014-01-01,2019-01-31
House Minority Leader,Kevin McCarthy,M001165,2019-01-01,2023-01-31
House Minority Leader,Hakeem Jeffries,J000294,2023-01-01,2026-12-31
House Majority Whip,Kevin McCarthy,M001165,2014-01-01,2014-07-31
House Majority Whip,Steve Scalise,S001176,2014-08-01,2019-01-31
House Majority Whip,James Clyburn,C000537,2019-01-01,2023-01-31
House Majority Whip,Tom Emmer,E000294,2023-01-01,2026-12-31
House Minority Whip,Steny Hoyer,H000874,2014-01-01,2019-01-31
House Minority Whip,Steve Scalise,S001176,2019-01-01,2023-01-31
House Minority Whip,Katherine Clark,C001101,2023-01-01,2026-12-31
Senate Majority Leader,Harry Reid,R000146,2014-01-01,2015-01-31
Senate Majority Leader,Mitch McConnell,M000355,2015-01-01,2021-01-31
Senate Majority Leader,Chuck Schumer,S000148,2021-01-01,2025-01-31
Senate Majority Leader,John Thune,T000250,2025-01-01,2026-12-31
Senate Minority Leader,Mitch McConnell,M000355,2014-01-01,2015-01-31
Senate Minority Leader,Harry Reid,R000146,2015-01-01,2017-01-31
Senate Minority Leader,Chuck Schumer,S000148,2017-01-01,2021-01-31
Senate Minority Leader,Mitch McConnell,M000355,2021-01-01,2025-01-31
Senate Minority Leader,Chuck Schumer,S000148,2025-01-01,2026-12-31
Senate Majority Whip,Richard Durbin,D000563,2014-01-01,2015-01-31
Senate Majority Whip,John Cornyn,C001056,2015-01-01,2019-01-31
Senate Majority Whip,John Thune,T000250,2019-01-01,2021-01-31
Senate Majority Whip,Richard Durbin,D000563,2021-01-01,2025-01-31
Senate Majority Whip,John Barrasso,B001261,2025-01-01,2026-12-31
Senate Minority Whip,John Cornyn,C001056,2014-01-01,2015-01-31
Senate Minority Whip,Richard Durbin,D000563,2015-01-01,2021-01-31
Senate Minority Whip,John Thune,T000250,2021-01-01,2025-01-31
Senate Minority Whip,Richard Durbin,D000563,2025-01-01,2026-12-31
House Republican Conference Chair,Cathy McMorris Rodgers,M001159,2014-01-01,2019-01-31
House Republican Conference Chair,Liz Cheney,C001109,2019-01-01,2021-05-31
House Republican Conference Chair,Elise Stefanik,S001196,2021-05-01,2025-01-31
House Republican Conference Chair,Lisa McClain,M001136,2025-01-01,2026-12-31
House Democratic Caucus Chair,Xavier Becerra,B000287,2014-01-01,2017-01-31
House Democratic Caucus Chair,Joseph Crowley,C001038,2017-01-01,2019-01-31
House Democratic Caucus Chair,Hakeem Jeffries,J000294,2019-01-01,2023-01-31
House Democratic Caucus Chair,Pete Aguilar,A000371,2023-01-01,2026-12-31
Senate Republican Conference Chair,John Thune,T000250,2014-01-01,2019-01-31
Senate Republican Conference Chair,John Barrasso,B001261,2019-01-01,2025-01-31
Senate Republican Conference Chair,Tom Cotton,C001095,2025-01-01,2026-12-31
Senate Democratic Caucus Chair,Harry Reid,R000146,2014-01-01,2017-01-31
Senate Democratic Caucus Chair,Chuck Schumer,S000148,2017-01-01,2026-12-31
