bioguide_id,name,party,chamber,state,congress_first,congress_last,years_in_office,leader,leader_postes,comites,comite_cle,secteurs_juridiction,n_secteurs_juridiction,n_trades_brut,n_trades,n_buy,n_sell,buy_share,notional_total,notional_buy,notional_sell,taille_med,pct_1re_fourchette,lag_med,part_late,part_very_late,owner_dom,part_conjoint,part_self,first_trade,last_trade,duree_activite_j,n_annees_actives,actif_12m,hhi,n_eff,top1,n_pos_moy,valeur_moy,valeur_fin,turnover,reconstruit,n_days,n_tickers,n_episodes_fermes,cagr,vol,sharpe,maxdd,sortino,t_sharpe,ir,beta,alpha_ann,appraisal,t_appr,exces_cagr_spy,t_ir,eligible,n_trades_evalues,hit_rate,exces_moyen_trade,exces_med_trade,ret_brut_moyen_trade,profit_factor,t_exces_trade,part_ouverte,n_allers_retours_30j,duree_med_fermee,duree_km_med,top1_ticker,top1_part,top2_ticker,top2_part,top3_ticker,top3_part,top10_tickers,sect_info_tech,sect_financials,sect_health,sect_industrials,sect_conso_disc,sect_comm,sect_conso_stap,sect_energy,sect_materials,sect_real_estate,sect_utilities,sect_nc,sect_dom,part_sect_dom,part_ci_achats,part_trades_repetes,part_coachat
A000055,Robert B. Aderholt,Republican,house,AL,117,119,28.0,False,,HSAP,False,,0,3,3.0,1.0,2.0,0.3333333333333333,24001.5,8000.5,16001.0,8000.5,1.0,28.0,0.0,0.0,élu,0.0,0.6666666666666666,2022-08-26,2025-07-28,1067.0,2.0,True,1.0,1.0,1.0,1.0,10270.382092598868,15372.61773935737,0.3051371003672126,True,965.0,3.0,0.0,0.18595248982328183,0.27265706168818854,0.76100704036529,-0.3336051402453719,1.102077543460223,1.4891966853418364,0.15276050131899088,1.1553216931730674,0.0028049131484504386,0.014221504350112477,0.027829725633807652,0.007900742919946246,0.29893341342308877,False,1.0,1.0,0.031229424992847976,0.031229424992847976,0.16968145929023448,10.0,,1.0,0.0,,,AAPL,1.0,,,,,AAPL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Technology,1.0,0.0,0.0,1.0
A000148,Jake Auchincloss,Democrat,house,MA,118,119,5.0,False,,HSIF|HSPW,False,Communication Services|Energy|Health Care|Industrials|Utilities,5,9,9.0,0.0,9.0,0.0,292504.5,,292504.5,32500.5,0.0,4.0,0.0,0.0,conjoint,0.8888888888888888,0.1111111111111111,2024-08-16,2026-05-18,640.0,3.0,True,,,,,,,,False,,1.0,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,
A000210,Robert E. Andrews,Democrat,house,NJ,113,113,23.0,False,,,False,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A000367,Justin Amash,Republican,house,MI,114,116,9.0,False,,HSGO,False,,0,19,18.0,18.0,0.0,1.0,315509.0,315509.0,,8000.5,0.6111111111111112,12.5,0.0,0.0,enfant,0.0,0.0,2018-08-01,2020-03-18,595.0,3.0,False,0.34848625187010696,2.8695536613959023,0.45458872790740046,4.934673366834171,465517.05240006314,628052.8423251221,0.04291346934725363,True,1990.0,5.0,0.0,0.09066423757913422,0.25683615357723255,0.46655180015099224,-0.5041016328149484,0.6257825638308725,1.3110707768268242,-0.2592571778047649,1.092322094277744,-0.05102734450203583,-0.3616889409876856,-1.0163926078024539,-0.05811682201198165,-0.7285461322674532,True,18.0,0.6666666666666666,0.1424867579710352,0.13412104602004826,0.3876907283294506,5.973230317980935,2.5955606648128478,1.0,0.0,,,DIS,0.5134687124614512,AMZN,0.33438665774985815,SONO,0.05071487659623022,DIS|AMZN|SONO|NTDOY|AAPL,0.10142975319246043,0.0,0.0,0.0,0.33438665774985815,0.5641835890576814,0.0,0.0,0.0,0.0,0.0,0.0,Communication Services,0.5641835890576814,0.0,0.7222222222222222,0.6111111111111112
A000372,Richard W. Allen,Republican,house,GA,115,119,11.0,False,,HSAG|HSED|HSIF,False,Communication Services|Consumer Staples|Energy|Health Care|Materials|Utilities,6,237,231.0,116.0,115.0,0.5021645021645021,7380615.5,3301558.0,4079057.5,32500.5,0.2857142857142857,883.0,0.7272727272727273,0.6406926406926406,conjoint,0.6233766233766234,0.37662337662337664,2017-02-13,2026-05-08,3371.0,10.0,True,0.13665302926937967,7.317803383844002,0.20896989268022167,25.425043327556327,1849268.6579613914,3487504.783069411,0.21788498974859855,True,2308.0,63.0,94.0,0.12775560352597992,0.17640369435595785,0.7700968970336513,-0.2823590174873062,0.9738074649093745,2.330574580641159,-0.24672689409094073,0.8406796005645386,0.003452864818780821,0.04171871071707247,0.1262549779240084,-0.022775480005559956,-0.7466793204125366,True,116.0,0.41379310344827586,-0.030961209655834272,-0.07126187836319148,0.10434431543632866,0.6685324248359297,-1.7087280036786952,0.4694541679168877,1.0,273.0,1343.0,DOV,0.06890792165395852,ACN,0.06512137602913534,DIS,0.05164319391026903,DOV|ACN|DIS|CB|TMO|INTU|NEE|SCHW|AMGN|ALB,0.12948629101775586,0.14129904729827555,0.159927070795061,0.14008810385884482,0.09329140969203024,0.10631510941198065,0.06875693233315908,0.03498393788629489,0.07178565392460166,0.0,0.05406644378199626,0.0,Industrials,0.159927070795061,0.1896551724137931,0.7272727272727273,0.14655172413793102
A000373,Brad Ashford,Democrat,house,NE,114,114,1.0,False,,HSAG|HSAS,True,Consumer Staples|Industrials|Materials,3,33,31.0,8.0,23.0,0.25806451612903225,38132015.5,37654004.0,478011.5,32500.5,0.45161290322580644,14.0,0.03225806451612903,0.0,élu,0.3870967741935484,0.45161290322580644,2015-02-27,2016-12-02,644.0,2.0,False,0.990524043897623,1.0095666088680593,0.9952457503620367,6.548895899053628,70296214.20298141,129585294.90342274,0.023956678110182095,True,2853.0,15.0,6.0,0.11565153728858713,0.19116716215058274,0.6682424165014246,-0.2953070100274917,0.8991246742240894,2.2484573515293396,-0.12158666920946383,0.804035712285995,0.012166691938291008,0.09465152253186786,0.31847710713192884,-0.021045376149954276,-0.40910668565948793,True,8.0,0.5,0.09770293843953581,0.0006200161168880003,0.17540151829749395,1.925274984632038,0.5911738954858617,0.9967326955008599,1.0,144.0,,BRK-B,0.9967731718517903,UNP,0.0008631352989711267,META,0.0008631352989711267,BRK-B|UNP|META|AMZN|MSB|COST|CLF,0.0,0.9967731718517903,0.0,0.0008631352989711267,0.0008631352989711267,0.0008631352989711267,0.00021247408376543435,0.0,0.0004249481675308687,0.0,0.0,0.0,Financials,0.9967731718517903,0.5,0.5161290322580645,0.125
A000378,Cindy Axne,Democrat,house,IA,116,117,3.0,False,,HSAG|HSBA,True,Consumer Staples|Financials|Materials|Real Estate,4,198,189.0,117.0,72.0,0.6190476190476191,1512094.5,936058.5,576036.0,8000.5,1.0,470.0,0.708994708994709,0.5502645502645502,conjoint,0.6772486772486772,0.31746031746031744,2019-01-18,2022-12-23,1435.0,4.0,False,0.0860598092649426,11.619825892495452,0.13654679492770574,22.214095034703686,766851.428402526,1169272.4943803786,0.13264792801109193,True,1873.0,42.0,73.0,0.13959560639159774,0.19351892571784857,0.7721718828791453,-0.34942056711295455,0.9819445730653718,2.105147845254985,-0.2333987095442778,0.8483018097513916,0.0017863774285191703,0.017619423583418725,0.048035278690760214,-0.02813219545267498,-0.6363075390033741,True,117.0,0.5042735042735043,-0.0014564282142486597,0.003079285314237623,0.1347704671548699,0.9817422354560006,-0.07556777746605876,0.584595504519812,0.0,323.0,,V,0.08547008547008547,MA,0.07692307692307693,AMZN,0.05128205128205128,V|MA|AMZN|SBUX|JNJ|DHR|MKL|PGR|WFC|BRK-B,0.05128205128205128,0.39316239316239315,0.1623931623931624,0.042735042735042736,0.1452991452991453,0.06837606837606838,0.1282051282051282,0.0,0.0,0.008547008547008548,0.0,0.0,Financials,0.39316239316239315,0.5299145299145299,0.7777777777777778,0.2905982905982906
A000379,Mark Alford,Republican,house,MO,119,119,3.0,False,,HSAP|HSSM,False,,0,7,5.0,0.0,5.0,0.0,40002.5,,40002.5,8000.5,1.0,15.0,0.0,0.0,élu,0.0,1.0,2026-03-16,2026-03-16,0.0,1.0,True,,,,,,,,False,,5.0,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
B000574,Earl Blumenauer,Democrat,house,OR,113,118,28.0,False,,HSWM,True,Financials|Health Care,2,372,342.0,235.0,107.0,0.6871345029239766,3616671.0,2247617.5,1369053.5,8000.5,0.9152046783625731,23.0,0.011695906432748537,0.0,conjoint,0.7251461988304093,0.27485380116959063,2014-02-14,2024-11-15,3927.0,11.0,False,0.32889147230049304,3.040516657380359,0.3586921709150362,42.73318240620957,783101.3002503472,2179140.415130945,0.18820108316701173,True,3113.0,102.0,175.0,0.11654219290309298,0.17718221836719764,0.7111852664051999,-0.335579841532458,0.9023586061597724,2.4996087757789303,-0.1682836528601361,0.8000661963187758,0.009568128532119857,0.08564810505167943,0.30102810776459066,-0.0230361179925902,-0.5914679555097371,True,235.0,0.3702127659574468,-0.02905746161440169,-0.03826877706299525,0.08119824234688115,0.7056018892046593,-1.867084291858006,0.3882250276980314,15.0,557.0,1100.0,NWN,0.20689730347801616,T,0.02157907206186106,AAPL,0.02157907206186106,NWN|T|AAPL|GOOGL|VTR|APD|PFE|BAX|AMZN|VZ,0.11768683950894669,0.1139055021595089,0.1466067958627302,0.05695275107975445,0.09655134826099192,0.10033268561042971,0.07853182314161551,0.003559546942484653,0.028698165946830365,0.02157907206186106,0.23559546942484652,0.0,Utilities,0.23559546942484652,0.2723404255319149,0.7017543859649122,0.17872340425531916
B000575,Roy Blunt,Republican,senate,MO,113,117,25.0,False,,SSAP|SSAS|SSCM,True,Communication Services|Industrials|Information Technology,3,8,7.0,2.0,5.0,0.2857142857142857,239003.5,83001.0,156002.5,32500.5,0.42857142857142855,13.0,0.14285714285714285,0.0,conjoint,1.0,0.0,2014-11-11,2022-06-06,2764.0,4.0,False,0.9477742885964153,1.0551035325941656,0.9727230129609917,1.854515050167224,49470.967602401164,82772.7268924656,0.5089712151448025,True,1196.0,6.0,0.0,-0.22554685301835564,0.49163604490032153,-0.2729371393614329,-0.8735868364647718,-0.37203216042547077,-0.594604175805788,-0.5876432501628743,0.9523370387604921,-0.23321212196002283,-0.5733058622382183,-1.2489691234338172,-0.35598107435808213,-1.280203680775824,False,2.0,0.0,-0.536788184483836,-0.536788184483836,-0.5783229996813863,0.0,-5.4103480218546505,1.0,0.0,,,AMBP,0.9036095950651197,NRDY,0.0963904049348803,,,AMBP|NRDY,0.0963904049348803,0.0,0.0,0.0,0.9036095950651197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Consumer Discretionary,0.9036095950651197,0.5,0.14285714285714285,0.0
