membre,d_in,d_out,n_entry,n_exit,n_tx,exit_expl,exit_gap,disp_gap
Brad Ashford,2015-05-14,2017-01-31,76,76,27,71,5,8
Rodney Leland Blum,2015-08-12,2019-01-16,31,42,6,24,18,11
Carolyn Bourdeaux,2021-08-13,2023-05-03,3,6,0,3,3,0
Kenneth R. Buck,2015-05-13,2024-06-19,1,2,107,0,2,1
Gilbert Cisneros,2019-08-13,2021-04-27,343,388,907,349,39,49
Barbara J. Comstock,2015-06-13,2019-03-31,13,1,103,0,1,6
TJ John (Tj) Cox,2019-08-13,2021-05-04,6,7,2,6,1,0
Carlos Curbelo,2015-08-13,2019-05-06,33,54,406,49,5,7
John J. Faso,2017-04-09,2019-01-17,2,2,0,2,0,0
A. Drew Ferguson,2017-05-12,2025-01-29,1,3,0,0,3,1
Michael John Gallagher,2017-07-25,2024-08-22,58,10,38,3,7,48
Garret Graves,2015-08-08,2025-02-08,6,16,15,4,12,1
Marjorie Taylor Greene,2021-08-13,2026-05-07,89,91,485,84,7,41
Jonathan Jackson,2023-08-13,2025-05-02,18,2,99,2,0,8
Steve Knight,2015-05-15,2019-05-02,1,1,12,1,0,0
Elaine Luria,2019-05-06,2023-02-02,3,5,4,5,0,0
Thomas MacArthur,2015-05-15,2019-05-02,364,159,3966,145,14,106
Kathy Manning,2021-08-11,2025-04-21,61,95,715,63,32,15
Paul Mitchell,2017-05-08,2021-01-19,4,2,4,0,2,1
Marcus J. Molinaro,2023-08-10,2025-01-31,1,1,0,1,0,0
Debbie Mucarsel-Powell,2019-08-13,2021-05-01,1,3,0,1,2,0
Marie Newman,2021-08-10,2023-01-27,14,23,43,12,11,7
Michael Fq San Nicolas,2019-07-17,2023-05-03,4,4,4,3,1,1
Gregory J. Pence,2019-04-25,2025-01-27,1,1,0,0,1,1
Katherine Porter,2019-05-15,2025-01-16,4,6,0,4,2,0
Harley E. Rouda,2019-08-13,2021-05-04,1,13,7,2,11,1
Donna Shalala,2019-05-14,2021-02-24,232,25,295,14,11,52
Mikie Sherrill,2019-05-15,2026-01-02,175,4,284,0,4,24
Michelle Steel,2021-08-06,2025-03-23,2,2,0,2,0,0
Thomas Suozzi,2017-08-08,2023-05-03,18,43,699,42,1,15
Nicholas Van Taylor,2019-08-13,2023-02-02,147,7,43,1,6,142
David Trone,2019-05-13,2025-04-18,5,14,44,0,14,3
Susan Wild,2019-08-13,2025-05-15,1,8,0,0,8,1
