bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
R000586,James B. Renacci,23,1686,0,1686,quiver_sans_donnee
M001157,Michael T. McCaul,4,1138,1563,-425,ocr_souscompte
S001180,Kurt Schrader,11,301,0,301,quiver_sans_donnee
R000582,David P. Roe,11,232,0,232,quiver_sans_donnee
D000620,John K. Delaney,23,219,0,219,quiver_sans_donnee
B001273,Diane Black,20,216,0,216,quiver_sans_donnee
R000395,Harold Dallas Rogers,11,133,0,133,quiver_sans_donnee
P000591,Tom Price,5,105,0,105,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",8,70,0,70,quiver_sans_donnee
F000372,Rodney P. Frelinghuysen,16,59,0,59,quiver_sans_donnee
K000376,Mike Kelly,5,53,0,53,quiver_sans_donnee
J000295,David P. Joyce,3,30,0,30,quiver_sans_donnee
L000557,John B. Larson,12,23,0,23,quiver_sans_donnee
W000800,Peter Welch,7,21,0,21,quiver_sans_donnee
C001080,Judy Chu,3,19,0,19,quiver_sans_donnee
S001190,Bradley S. Schneider,1,19,5,14,ocr>=quiver
K000379,Joseph P. Kennedy,5,17,0,17,quiver_sans_donnee
D000624,Debbie Dingell,5,11,18,-7,ocr_souscompte
L000564,Doug Lamborn,2,9,0,9,quiver_sans_donnee
W000812,Ann Wagner,4,8,0,8,quiver_sans_donnee
C001092,Chris Collins,6,7,0,7,quiver_sans_donnee
P000523,David E. Price,1,6,12,-6,ocr_souscompte
S001187,Steve Stivers,1,6,0,6,quiver_sans_donnee
C001102,Curtis J. Clawson,5,6,0,6,quiver_sans_donnee
B001257,Gus M. Bilirakis,3,5,0,5,quiver_sans_donnee
S001150,Adam B. Schiff,2,5,0,5,quiver_sans_donnee
B001282,"Garland ""Andy"" Barr",2,3,0,3,quiver_sans_donnee
D000604,Charles W. Dent,3,3,0,3,quiver_sans_donnee
S001175,Jackie Speier,2,3,0,3,quiver_sans_donnee
S001193,Eric Swalwell,1,2,0,2,quiver_sans_donnee
V000131,Marc A. Veasey,1,2,0,2,quiver_sans_donnee
C001068,Steve Cohen,1,1,5,-4,concordant
C001045,Ander Crenshaw,1,1,0,1,quiver_sans_donnee
C001107,Carlos Curbelo,1,1,32,-31,ocr_souscompte
B001294,Rodney Leland Blum,1,1,0,1,quiver_sans_donnee
T000465,Niki Tsongas,1,1,0,1,quiver_sans_donnee
D000191,Peter A. DeFazio,1,1,0,1,quiver_sans_donnee
L000559,James R. Langevin,1,1,1,0,ocr>=quiver
