scope,metric,value
digital,common_members,58.0
digital,quiver_amendment_dups,896.0
digital,ours_tickerizable,1760.0
digital,quiver,2631.0
digital,matched,1732.0
digital,only_quiver,899.0
digital,only_ours,28.0
digital,coverage_pct,65.8
ocr,common_members,9.0
ocr,quiver_amendment_dups,896.0
ocr,ours_tickerizable,1613.0
ocr,quiver,1108.0
ocr,matched,395.0
ocr,only_quiver,713.0
ocr,only_ours,1218.0
ocr,coverage_pct,35.6
both,common_members,59.0
both,quiver_amendment_dups,896.0
both,ours_tickerizable,3370.0
both,quiver,3665.0
both,matched,2124.0
both,only_quiver,1541.0
both,only_ours,1246.0
both,coverage_pct,58.0
