doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20005183,Amash,Justin,P,MI03,5/16/2016,2016-05-16,Justin Amash,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005183.pdf
20004419,Ashford,Brad,P,NE02,1/15/2016,2016-01-15,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004419.pdf
20004420,Ashford,Brad,P,NE02,1/15/2016,2016-01-15,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004420.pdf
20004485,Ashford,Brad,P,NE02,2/1/2016,2016-02-01,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004485.pdf
20004894,Ashford,Brad,P,NE02,4/12/2016,2016-04-12,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004894.pdf
20005414,Ashford,Brad,P,NE02,6/27/2016,2016-06-27,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005414.pdf
20006308,Ashford,Brad,P,NE02,12/5/2016,2016-12-05,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006308.pdf
20006309,Ashford,Brad,P,NE02,12/5/2016,2016-12-05,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006309.pdf
20006390,Ashford,Brad,P,NE02,12/20/2016,2016-12-20,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006390.pdf
20006391,Ashford,Brad,P,NE02,12/20/2016,2016-12-20,Brad Ashford,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006391.pdf
20005154,Babin,Brian,P,TX36,5/13/2016,2016-05-13,Brian Babin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005154.pdf
20005532,Babin,Brian,P,TX36,7/14/2016,2016-07-14,Brian Babin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005532.pdf
9109787,Babin,Brian,P,TX36,8/5/2016,2016-08-05,Brian Babin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109787.pdf
20004487,Barletta,Lou,P,PA11,2/1/2016,2016-02-01,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004487.pdf
20004642,Barletta,Lou,P,PA11,2/22/2016,2016-02-22,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004642.pdf
20004720,Barletta,Lou,P,PA11,3/9/2016,2016-03-09,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004720.pdf
20004906,Barletta,Lou,P,PA11,4/15/2016,2016-04-15,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004906.pdf
20005220,Barletta,Lou,P,PA11,5/23/2016,2016-05-23,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005220.pdf
20005897,Barletta,Lou,P,PA11,9/16/2016,2016-09-16,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005897.pdf
20006116,Barletta,Lou,P,PA11,10/28/2016,2016-10-28,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006116.pdf
9109663,Benishek,Dan,P,MI01,7/13/2016,2016-07-13,Dan Benishek,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109663.pdf
9108317,Bilirakis,Gus M.,P,FL12,2/11/2016,2016-02-11,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108317.pdf
9109045,Bilirakis,Gus M.,P,FL12,5/24/2016,2016-05-24,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109045.pdf
9108217,Black,Diane,P,TN06,1/28/2016,2016-01-28,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf
9108341,Black,Diane,P,TN06,2/19/2016,2016-02-19,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf
9108425,Black,Diane,P,TN06,3/8/2016,2016-03-08,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108425.pdf
9108648,Black,Diane,P,TN06,4/27/2016,2016-04-27,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108648.pdf
9108649,Black,Diane,P,TN06,4/27/2016,2016-04-27,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108649.pdf
9108765,Black,Diane,P,TN06,5/10/2016,2016-05-10,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108765.pdf
9109671,Black,Diane,P,TN06,7/15/2016,2016-07-15,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf
9109963,Black,Diane,P,TN06,8/29/2016,2016-08-29,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109963.pdf
9110164,Black,Diane,P,TN06,10/25/2016,2016-10-25,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9110164.pdf
9110290,Black,Diane,P,TN06,12/14/2016,2016-12-14,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9110290.pdf
20006055,Blum,Rodney Leland,P,IA01,10/14/2016,2016-10-14,Rodney Leland Blum,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006055.pdf
20004637,Blumenauer,Earl,P,OR03,2/19/2016,2016-02-19,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004637.pdf
20005200,Blumenauer,Earl,P,OR03,5/19/2016,2016-05-19,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005200.pdf
20005741,Blumenauer,Earl,P,OR03,8/18/2016,2016-08-18,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005741.pdf
20006238,Blumenauer,Earl,P,OR03,11/21/2016,2016-11-21,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006238.pdf
20006337,Blumenauer,Earl,P,OR03,12/9/2016,2016-12-09,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006337.pdf
20004382,Brooks,Mo,P,AL05,1/12/2016,2016-01-12,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004382.pdf
20004644,Brooks,Mo,P,AL05,2/22/2016,2016-02-22,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004644.pdf
20004717,Brooks,Mo,P,AL05,3/8/2016,2016-03-08,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004717.pdf
20005019,Brooks,Mo,P,AL05,5/2/2016,2016-05-02,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005019.pdf
20005526,Brooks,Mo,P,AL05,7/13/2016,2016-07-13,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005526.pdf
20005765,Brooks,Mo,P,AL05,8/25/2016,2016-08-25,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005765.pdf
20006030,Brooks,Mo,P,AL05,10/10/2016,2016-10-10,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006030.pdf
20006139,Brooks,Mo,P,AL05,11/2/2016,2016-11-02,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006139.pdf
20006400,Brooks,Mo,P,AL05,12/20/2016,2016-12-20,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006400.pdf
20004306,Brooks,Susan W.,P,IN05,1/11/2016,2016-01-11,Susan W. Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004306.pdf
20004436,Buchanan,Vern,P,FL16,1/19/2016,2016-01-19,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004436.pdf
20004643,Buchanan,Vern,P,FL16,2/22/2016,2016-02-22,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004643.pdf
20004746,Buchanan,Vern,P,FL16,3/14/2016,2016-03-14,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004746.pdf
20004969,Buchanan,Vern,P,FL16,4/22/2016,2016-04-22,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004969.pdf
20005203,Buchanan,Vern,P,FL16,5/20/2016,2016-05-20,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005203.pdf
20005362,Buchanan,Vern,P,FL16,6/17/2016,2016-06-17,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005362.pdf
20005603,Buchanan,Vern,P,FL16,7/28/2016,2016-07-28,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005603.pdf
20005702,Buchanan,Vern,P,FL16,8/12/2016,2016-08-12,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005702.pdf
20006079,Buchanan,Vern,P,FL16,10/19/2016,2016-10-19,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006079.pdf
20006274,Buchanan,Vern,P,FL16,11/29/2016,2016-11-29,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006274.pdf
20006384,Buck,Kenneth R.,P,CO04,12/20/2016,2016-12-20,Kenneth R. Buck,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006384.pdf
20005430,Bustos,Cheri,P,IL17,6/30/2016,2016-06-30,Cheri Bustos,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005430.pdf
20004867,Carter,Earl Leroy,P,GA01,4/5/2016,2016-04-05,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20004867.pdf
20005685,Carter,Earl Leroy,P,GA01,8/9/2016,2016-08-09,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20005685.pdf
