doc_id,extrait
20006400,"Filing ID #20006400 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Mo Brooks Status: Member State/District: al05 tranSactionS iD owner asset transaction Date notification amo"
20005531,"Filing ID #20005531 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Carlos Curbelo Status: Member State/District: FL26 tranSactionS iD owner asset transaction Date notificatio"
20006213,"Filing ID #20006213 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Carlos Curbelo Status: Member State/District: FL26 tranSactionS iD owner asset transaction Date notificatio"
20005460,"Filing ID #20005460 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Bill Flores Status: Member State/District: TX17 tranSactionS iD owner asset transaction Date notification a"
20004941,"Filing ID #20004941 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Bill Johnson Status: Member State/District: OH06 tranSactionS iD owner asset transaction Date notification "
20005989,"Filing ID #20005989 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. David B. McKinley Status: Member State/District: WV01 tranSactionS iD owner asset transaction Date notifica"
20006202,"Filing ID #20006202 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Patrick Erin Murphy Status: Member State/District: FL18 tranSactionS iD owner asset transaction Date notifi"
20004744,"Filing ID #20004744 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20005542,"Filing ID #20005542 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20006169,"Filing ID #20006169 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20005700,"Filing ID #20005700 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. David E. Price Status: Member State/District: NC04 tranSactionS iD owner asset transaction Date notificatio"
20005701,"Filing ID #20005701 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Niki Tsongas Status: Member State/District: Ma03 tranSactionS iD owner asset transaction Date notification "
20005070,"Filing ID #20005070 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Ed Whitfield Status: Member State/District: KY01 tranSactionS iD owner asset transaction Date notification "
20005541,"Filing ID #20005541 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Ed Whitfield Status: Member State/District: KY01 tranSactionS iD owner asset transaction Date notification "
20005616,"Filing ID #20005616 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Robert J. Wittman Status: Member State/District: Va01 tranSactionS iD owner asset transaction Date notifica"
