bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
G000563,Bob Gibbs,house,Republican,OH07,,False,2016-12-16,2016-12-30,NTAP,"Netapp, Inc.",,Purchase,"$1,001 - $15,000",8000.5,False,SELF,20006436,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006436.pdf,d4ad9485e113434fa12224d96710a5f61342d9873ceb1eb45fa33b2dce854342,0
D000598,Susan A. Davis,house,Democrat,CA53,,False,2016-11-30,2016-12-29,COST,Costco Wholesale Corporation,,Sale,"$15,001 - $50,000",32500.5,False,SELF,20006402,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006402.pdf,e652c5e74f1ad68d724798e2540beaa0f5c3fa150597ac4d6a77ffb758887c12,0
M000087,Carolyn B. Maloney,house,Democrat,NY12,,False,2016-11-03,2016-12-29,,NEW YORK CITY TRANSPORTATION,,Purchase,"$15,001 - $50,000",32500.5,False,SELF,20006403,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006403.pdf,542d6652c7c38fe464e0fd34bfbd6cdb83b1bbe187b149a47c61b3a79664645d,0
M000087,Carolyn B. Maloney,house,Democrat,NY12,,False,2016-11-15,2016-12-29,,METROPOLITIAN TRANSN AUTH NY,,Sale,"$15,001 - $50,000",32500.5,False,SELF,20006403,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006403.pdf,eb773f78b512f6494b61131c60f7c8442d16a1be09302d7316f2e04ca620be75,0
M000087,Carolyn B. Maloney,house,Democrat,NY12,,False,2016-11-15,2016-12-29,,METROPOLITAN TRANSN AUTH NY,,Sale,"$15,001 - $50,000",32500.5,False,SELF,20006403,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006403.pdf,f56358b51fe5cb5fa42db9d318cf1eb0cf3ffde64d2b2fd67149b2d42a657625,0
M000087,Carolyn B. Maloney,house,Democrat,NY12,,False,2016-11-03,2016-12-29,,NEW YORK CITY TRANSPORTION SER,,Purchase,"$15,001 - $50,000",32500.5,False,SELF,20006403,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006403.pdf,5c51ead0be56aa5d0760c9e9d3d9aa3cbbe3c9bd5cc585627fb600c54898b715,0
D000598,Susan A. Davis,house,Democrat,CA53,,False,2016-11-30,2016-12-29,KBH,KB Home,,Sale,"$15,001 - $50,000",32500.5,False,SP,20006402,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006402.pdf,b4e3444974c007d5d4adc096a91cc0cb6a782acbcbbb33f45ca251dafcbd5f0c,0
D000598,Susan A. Davis,house,Democrat,CA53,,False,2016-11-30,2016-12-29,GE,general Electric Company,,Sale,"$15,001 - $50,000",32500.5,False,SELF,20006402,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006402.pdf,69f20762ec41f29e127dca060e1ead265255146821b59c83927d08c5c1469867,0
L000397,Zoe Lofgren,house,Democrat,CA19,"HSJU01; HSJU03; HSJU05; House Committee on Science, Space, and Technology; House Committee on the Judiciary",False,2016-11-22,2016-12-28,SCTY,SolarCity Corporation,,Exchange,"$50,001 - $100,000",75000.5,False,JT,20006431,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006431.pdf,0f4a75d779d77a48be38ed155f67290a50abd7524fc186ec0de82680242f24eb,0
C001105,Barbara J. Comstock,house,Republican,VA10,,False,2016-12-28,2016-12-28,AAPL,Apple Inc.,,Purchase,"$1,001 - $15,000",8000.5,False,SP,20006432,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/20006432.pdf,c7e02894ab765acb414a9506a85bc9816e267870578e5d350749de99ee9148d8,0
