bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001193,Thomas MacArthur,133,212,133,0,79,"ACN,AEL,AER,AEXAY,AHGP,ALPMY,AM,AXL,BATRK,BBVA,DBSDY,DISCA,DNHBY,DPM,DPSGY,EADSY,EQGP,EQM,ERIC,ETP,FBHS,FCS,GLPI,HIX,HMHC,HYG,IEMG,INFO,ISNPY,ITT,JBAXY,JBT,JNK,JSGRY,KS,LEXEA,LMCA,LMCK,LQD,LSXMA,LSXMK,LTXB,LVNTA,MITEY,MITL,MMC,MRAAY,MZDAY,NEP,NGG,PAGP,PHG,RBA,RDSMY,RDS_A,RHHBY,RHP,SCGLY,SCHD,SEKEY,SEP,SOMLY,STX,SVNDY,SXT,UE,UNH,UNRDY,VEA,VIG,VOD,VOE,VOT,VRTX,VWO,WGP,WMGI,WPPGY,XLP"
M001157,Michael T. McCaul,80,430,67,13,363,"AAPL,ABC,ABEV,ACAS,ACN,ADUS,AEF,AEL,AFL,AGCO,AGS,AHLS,AIDA1,AIG,AILP,AIRM,AIZ,AKIC,ALBK,ALL,ALV,ANBC,AON,AONC,APCX,APY_W,AR,AROC,ARRS,ASCMA,ASIX,ASML,ASNS,ASVI,ATEST,ATH_PE,AUMA,AVP,AWRE,AXP,BAC,BCS,BDX,BH1,BIDU,BK,BLK,BMY,BNNY,BNS,BNZI,BOX,BPAC,BPRN,BR,BRFS,BRKR,BRK_A,BTCS,BTCT,C,CAAP,CADT,CAFN,CARM,CASY,CATO,CB,CBF,CDORP,CELG,CERN,CFX,CHRB,CINF,CISC,CLGX,CLW,CMA,CMCSA,COH,COLV,CONXW,COP,CPA,CRC,CRHC,CROX,CRSP,CRTO,CTS,CULP,DAO,DCBO,DEL,DENN,DEST,DG1,DGI,DGX,DISH,DL1,DNB1,DPS,DQ,DRII,DSCO,DST,DTSI,EBAY,ECPG,EDAC,EGN,EIS,EL,ELAS,ELPC,ELRC,EOG,EPAM,ERJ,ESRX,EURO,EXPD,FAST,FCEA,FFKT,FINV,FIS,FLTX,FMX,FNB,FSCI,FSS,FTI1,FTV,GAN,GAS,GE,GEER,GLOB,GMS,GNTX,GOGO,GPC,GPP,GRE,GS,GSK,GSP1,GWW,HAL,HAST,HBP,HCOM,HDB,HDNG,HEN3,HOT,HP,HPE,HPQ,HWAY,IBDY,IBM,ICAD,ICL,ICLR,IFF,IMS,IMSC,INS,INTU,IPHS,ISHC,ISIL,ITAH,ITI,IXHL,JAZA,JET,JNJ,JPM,KAI,KB,KEN,KMB_W,KMG,KMX,KO,KSU,L,LAES,LAWS,LBTYA,LECO,LLY_WD,LNC,LNCB,LNDC,LNKD,LOCM,LOLI,LPI,LVLT,LXFT,MA,MAMA,MAR,MCD,MDLY,MDLZ,MELI,MET,MFA,MFAN,MGRC,MHLD,MMM,MMS,MPET,MRK,MSFT,MTB,MUSA,NAIT,NATL,NBN,NCC,NCMV,NDRE,NGG,NGHC,NHLD,NLC,NP,NPAB,NPO,NRF,NSAM,NSC,NST,NSTS,NTEST,NVS,NXST,OCFC,OCIP,OCLS,OMC,ONCO,ONTY,ORCL,ORIT,OSLE,OTRK,PARR,PAYX,PCAR,PDFS,PENX,PEP,PFIN,PG,PGR,PN,POT,PPBI,PRAI,PRGO,PRI,PRXI,PSMT,PSQH,PW,PXD,QSR,QTWO,RATL,RBD,RBZ,RDC,RDY,REIS,RES,RGS,RH,RL,RMBL,RNET,RNST,ROK,ROKU,ROST,RRC,RSPP,SATS,SBAC,SDOT,SEAL_P_A,SEE,SHO_P_I,SHPG,SLNT,SMFG,SNV,SPN,SPOR,SPY,SRCL,STEN,STJ,STZ_B,SWK,SWN,SYK,T,TAXI,TBK,TCB,TDCX,TE1,TEL,TFCF,TFSL,THR,TOO,TPTA,TRINL,TRIP,TRMK,TRON1,TSC,TSM,TUP,TV,TXI,UALAQ,UBIX,UCP,UL,UN,UNCA,UNH,UPLM,UPS,UVE,VAXX,VBNK,VLRX1,VRNG,VRTS,VTEX,VXRT,WB1,WCN,WE,WFT,WMT,WTW,XOM,XRSC,ZBH"
C001062,K. Michael Conaway,143,213,143,0,70,"AAL,AEP,AEXAY,AMTD,AMX,ANZBY,AVGO,BAESY,BIIB,BKJAY,CE,CHTR,CICHY,COF,COP,CTSH,DD,DIISY,DLAKY,DLPH,DOX,ENLAY,ERIC,ETN,EXPD,FIS,GIL,GOOG,HIG,IBM,IPG,ISUZY,ITYBY,KDDIY,LAMR,LNKD,M,NICE,NKE,NRBAY,NTT,OTEX,OXY,PEG,PEP,PNC,PSMMY,PXD,RBA,RDS_A,REGN,RYAAY,SMFKY,SNY,SOMMY,SSL,SSNC,TAP,TDG,TDHOY,TEL,TELNY,TEVA,TSM,ULTA,UNH,UOVEY,VLO,VRTX,WJRYY"
T000475,David A. Trott,3,19,3,0,16,"2,AM,CASH,DPM,EQM,ETE,ETP,MMP,MPLX,MWE,NBLX,NGLS,PSXP,RRMS,WES,WPZ"
B001269,Lou Barletta,18,30,18,0,12,"DTN,HYI,IYLD,RDIV,SCD,TDIV,VCIT,VCSH,VXF,VXUS,VYM,XLV"
D000617,Suzan K. DelBene,24,40,23,1,17,"3305779,4491235,4824778,5522714,6897143,B13WZ26,B1W8P14,B923935,BLM7FC2,BOT4J94,CAFD,FLTX,HASI,PEGI,POT,WMS,WTS"
L000579,Alan S. Lowenthal,42,52,42,0,10,"BIDU,CHKP,CHTR,DLPH,FIS,GOOG,MRK,PRGO,UNH,WLTW"
S000583,Lamar Smith,54,58,53,1,5,"BAH,GOOG,MJN,NASDAQ:WLTW,TW"
F000462,Lois Frankel,54,88,54,0,34,"AMAT,AVY,COL,CTSH,DD,DGX,DHR,DLPH,ENH,ETN,FAST,FIS,FTV,GRA,HBAN,HCP,IBM,KSS,LDOS,MON,MRK,NSRGY,ORI,PAY,PCY,PNC,SPLS,STJ,STT,TRV,TWX,TYC,VZ,WOR"
D000624,Debbie Dingell,42,52,42,0,10,"ALLY_A,BX,GDV,GOOG,JCI,LYB,MDLZ,OAK,UNH,VOD"
