bioguide,ticker,date,sense
B001269,BRK_B,2016-10-28,Sale
B001269,DIA,2015-09-01,Purchase
B001269,DIA,2016-01-29,Sale
B001269,DTN,2016-01-29,Sale
B001269,HYI,2016-01-29,Sale
B001269,IYLD,2015-03-30,Purchase
B001269,IYLD,2015-10-29,Sale
B001269,RDIV,2015-03-30,Purchase
B001269,RDIV,2016-01-15,Sale
B001269,RWL,2015-06-03,Purchase
B001269,SCD,2015-08-05,Sale
B001269,TDIV,2015-01-27,Purchase
B001269,TDIV,2016-01-29,Sale
B001269,VCIT,2016-01-29,Purchase
B001269,VCIT,2016-02-18,Purchase
B001269,VCSH,2016-01-29,Purchase
B001269,VCSH,2016-02-18,Purchase
B001269,VXF,2016-01-29,Sale
B001269,VXUS,2016-02-18,Purchase
B001269,VYM,2015-12-18,Purchase
B001269,VYM,2015-12-28,Purchase
B001269,VYM,2016-01-29,Purchase
B001269,VYM,2016-02-18,Sale
B001269,XLV,2015-01-27,Purchase
B001269,XLV,2016-01-07,Sale
B001274,BAX,2016-08-31,Sale
B001274,FOXA,2016-08-31,Purchase
B001274,IQNT,2016-11-04,Sale
B001274,ISDR,2016-12-13,Sale
B001274,ISDR,2016-12-14,Sale
B001274,LEE,2016-09-07,Sale
B001286,ULTA,2016-05-26,Purchase
B001291,OA,2016-04-19,Sale
C001062,AAL,2016-04-22,Sale
C001062,AAPL,2016-04-21,Sale
C001062,AAPL,2016-04-27,Sale
C001062,AAPL,2016-05-10,Sale
C001062,AEP,2016-09-12,Purchase
C001062,AEXAY,2016-09-12,Sale
C001062,AMTD,2016-09-12,Sale
C001062,AMX,2016-09-12,Sale
C001062,ANZBY,2016-09-12,Sale
C001062,AVGO,2016-09-12,Sale
C001062,BAESY,2016-09-12,Sale
C001062,BIIB,2016-04-01,Sale
C001062,BKJAY,2016-04-26,Sale
C001062,CE,2016-09-12,Sale
C001062,CHTR,2016-03-29,Purchase
C001062,CHTR,2016-09-12,Sale
C001062,CICHY,2016-09-12,Sale
C001062,COF,2016-08-03,Sale
C001062,COF,2016-08-17,Sale
C001062,COP,2015-02-03,Sale
C001062,COP,2015-02-04,Sale
C001062,CTSH,2016-09-12,Sale
C001062,DD,2016-09-12,Purchase
C001062,DIISY,2016-05-04,Purchase
C001062,DIISY,2016-09-12,Sale
C001062,DLAKY,2016-09-12,Sale
C001062,DLPH,2016-09-12,Sale
C001062,DOX,2016-01-14,Purchase
C001062,DOX,2016-09-12,Sale
C001062,ENLAY,2016-09-12,Sale
C001062,ERIC,2016-09-12,Sale
C001062,ETN,2016-09-12,Sale
C001062,EXPD,2016-09-12,Sale
C001062,F,2015-11-04,Sale
C001062,F,2015-11-12,Sale
C001062,FIS,2016-09-12,Sale
C001062,GE,2015-06-10,Sale
C001062,GIL,2016-09-12,Sale
C001062,GOOG,2016-09-12,Sale
C001062,HIG,2016-09-12,Sale
C001062,IBM,2016-07-26,Sale
C001062,IBM,2016-08-03,Sale
C001062,IBM,2016-08-10,Sale
C001062,IBM,2016-09-12,Sale
C001062,IPG,2016-09-12,Sale
C001062,ISUZY,2016-09-12,Sale
C001062,ITYBY,2016-09-12,Sale
C001062,KDDIY,2016-09-12,Sale
C001062,LAMR,2016-09-12,Sale
C001062,LNKD,2015-10-09,Sale
C001062,M,2016-05-10,Sale
C001062,M,2016-05-20,Sale
C001062,NICE,2016-09-12,Sale
C001062,NKE,2016-04-11,Sale
C001062,NKE,2016-04-12,Sale
C001062,NRBAY,2016-09-12,Sale
C001062,NTT,2016-09-12,Sale
C001062,OTEX,2016-09-12,Sale
C001062,OXY,2016-09-12,Purchase
C001062,PEG,2016-09-12,Sale
C001062,PEP,2016-04-28,Sale
C001062,PEP,2016-05-18,Sale
C001062,PNC,2016-09-12,Sale
C001062,PSMMY,2016-09-12,Sale
C001062,PXD,2016-09-12,Sale
C001062,RBA,2016-09-12,Sale
C001062,RDS_A,2015-02-03,Purchase
C001062,RDS_A,2016-09-12,Sale
C001062,REGN,2016-01-28,Sale
C001062,REGN,2016-02-26,Sale
C001062,RYAAY,2016-09-12,Sale
C001062,SMFKY,2016-09-12,Sale
C001062,SNY,2016-09-12,Sale
C001062,SOMMY,2016-08-18,Sale
C001062,SSL,2016-09-13,Sale
C001062,SSNC,2016-09-12,Sale
