bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
M001193,Thomas MacArthur,988,490,498,False,nous_plus
R000583,Thomas J. Rooney,733,515,218,False,nous_plus
F000461,Bill Flores,265,170,95,False,nous_plus
C001062,K. Michael Conaway,163,68,95,False,nous_plus
F000462,Lois Frankel,162,143,19,False,nous_plus
C001107,Carlos Curbelo,153,121,32,False,nous_plus
S000583,Lamar Smith,138,114,24,False,nous_plus
Y000062,John A. Yarmuth,125,109,16,False,nous_plus
T000475,David A. Trott,119,12,107,False,nous_plus
L000579,Alan S. Lowenthal,108,83,25,False,nous_plus
F000450,Virginia Foxx,105,80,25,False,nous_plus
B001297,Kenneth R. Buck,103,75,28,False,nous_plus
C001101,Katherine M. Clark,101,85,16,False,nous_plus
S000250,Pete Sessions,99,86,13,False,nous_plus
L000397,Zoe Lofgren,96,82,14,False,nous_plus
G000584,Greg Gianforte,81,0,81,False,quiver_sans_donnee
C001080,Judy Chu,75,0,75,False,quiver_sans_donnee
M001180,David B. McKinley,66,57,9,False,nous_plus
M000087,Carolyn B. Maloney,57,0,57,False,quiver_sans_donnee
J000295,David P. Joyce,56,37,19,False,nous_plus
C001105,Barbara J Honorable Comstock,51,39,12,False,nous_plus
S001190,Bradley S. Schneider,48,38,10,False,nous_plus
D000624,Debbie Dingell,45,36,9,False,nous_plus
L000554,Frank A. LoBiondo,40,40,0,False,concordant
E000296,Dwight Evans,39,28,11,False,nous_plus
W000797,Debbie Wasserman Schultz,36,31,5,False,nous_plus
D000617,Suzan K. DelBene,34,8,26,False,nous_plus
H001051,Richard L. Hanna,29,23,6,False,nous_plus
S001148,Michael K. Simpson,23,13,10,False,nous_plus
H000636,Rubén Hinojosa,23,21,2,False,nous_plus
B001260,Vern Buchanan,22,0,22,False,quiver_sans_donnee
D000399,Lloyd Doggett,22,18,4,False,nous_plus
B000574,Earl Blumenauer,21,11,10,False,nous_plus
G000563,Bob Gibbs,21,20,1,False,nous_plus
B001274,Mo Brooks,20,17,3,False,nous_plus
P000523,David E. Price,19,14,5,False,nous_plus
B001303,Lisa Blunt Rochester,18,0,18,False,quiver_sans_donnee
R000589,E. Scott Rigell,15,13,2,False,nous_plus
C001066,Kathy Castor,15,14,1,False,nous_plus
P000608,Scott H. Peters,15,0,15,False,quiver_sans_donnee
C001111,Charlie Joseph Crist,15,12,3,False,nous_plus
J000294,Hakeem S. Jeffries,13,5,8,False,nous_plus
B001286,Cheri Bustos,12,11,1,False,nous_plus
D000598,Susan A. Davis,10,10,0,False,concordant
R000599,Raul Ruiz,10,10,0,False,concordant
N000182,Randy Neugebauer,9,0,9,False,quiver_sans_donnee
P000593,Ed Perlmutter,8,8,0,False,concordant
P000197,Nancy Pelosi,8,5,3,False,nous_plus
C001068,Steve Cohen,8,1,7,False,nous_plus
R000608,Jacky Rosen,7,0,7,False,quiver_sans_donnee
T000463,Michael R. Turner,6,2,4,False,nous_plus
W000804,Robert J. Wittman,6,4,2,False,nous_plus
K000387,Steve Knight,6,3,3,False,nous_plus
Y000063,Kevin Yoder,5,3,2,False,nous_plus
C001078,Gerald E. Connolly,5,4,1,False,nous_plus
S000185,"Robert C. ""Bobby"" Scott",5,1,4,False,nous_plus
G000559,John Garamendi,5,2,3,False,nous_plus
G000577,Garret Graves,4,2,2,False,nous_plus
C000754,Jim Cooper,4,1,3,False,nous_plus
S001199,Lloyd K. Smucker,4,3,1,False,nous_plus
M001182,Mick Mulvaney,4,2,2,False,nous_plus
S001156,Linda T. Sanchez,4,4,0,False,concordant
S000480,Louise McIntosh Slaughter,4,4,0,False,concordant
K000378,Adam Kinzinger,4,2,2,False,nous_plus
D000622,Tammy Duckworth,3,0,3,False,quiver_sans_donnee
D000628,Neal P. Dunn,3,3,0,True,concordant
M000312,James P. McGovern,3,3,0,False,concordant
H001047,James A. Himes,2,2,0,False,concordant
M001198,Roger W. Marshall,2,0,2,True,quiver_sans_donnee
B001269,Lou Barletta,2,1,1,False,nous_plus
B001284,Susan W. Brooks,2,0,2,False,quiver_sans_donnee
V000131,Marc A. Veasey,2,1,1,False,nous_plus
S001175,Jackie Speier,2,2,0,False,concordant
L000559,James R. Langevin,2,2,0,False,concordant
F000030,Sam Farr,2,2,0,False,concordant
G000535,Luis V. Gutierrez,2,2,0,False,concordant
L000480,Nita M. Lowey,1,0,1,False,quiver_sans_donnee
N000147,Eleanor Holmes Norton,1,0,1,False,quiver_sans_donnee
G000553,Al Green,1,0,1,False,quiver_sans_donnee
M001190,Markwayne Mullin,1,0,1,False,quiver_sans_donnee
L000562,Stephen F. Lynch,1,1,0,False,concordant
M001163,Doris O. Matsui,1,0,1,False,quiver_sans_donnee
B001299,James E. Banks,1,0,1,False,quiver_sans_donnee
F000464,John J. Faso,1,1,0,False,concordant
B001294,Rodney Leland Blum,1,1,0,False,concordant
R000598,Keith J. Rothfus,1,1,0,False,concordant
K000389,Ro Khanna,0,2082,-2082,True,manquant_papier
M001157,Michael T. McCaul,0,2652,-2652,True,manquant_papier
