BioGuideID,Name,ticker,traded,Transaction
Y000062,John A. Yarmuth,DIS,2018-12-07,Sale
D000624,Debbie Dingell,WPX,2018-11-08,Purchase
S000583,Lamar Smith,ONE SHARE FOR ONE SHARE,2018-10-11,Sale
S000583,Lamar Smith,ONE SHARE FOR ONE SHARE,2018-10-03,Purchase
E000296,Dwight Evans,MSFT,2018-08-17,Purchase
T000475,David A. Trott,CASH,2018-07-16,Purchase
J000294,Hakeem S. Jeffries,NORTHWESTER,2018-06-15,Sale
T000475,David A. Trott,INVESTMEN,2018-04-06,Purchase
M001193,Thomas Macarthur,VEA,2018-03-29,Purchase
M001193,Thomas Macarthur,BIDU,2018-03-26,Sale
M001193,Thomas Macarthur,XLF,2018-03-21,Purchase
L000579,Alan S. Lowenthal,SIEGY,2018-03-19,Sale
F000462,Lois Frankel,UNP,2018-03-15,Sale
F000462,Lois Frankel,CI,2018-03-15,Purchase
T000475,David A. Trott,WPZ,2018-03-15,Purchase
T000475,David A. Trott,EQM,2018-03-14,Sale
T000475,David A. Trott,RMP,2018-03-14,Sale
D000399,Lloyd Doggett,IBM,2018-03-13,Purchase
C001105,Barbara J  Comstock,HPE,2018-03-09,Purchase
M001193,Thomas Macarthur,LVNTA,2018-03-09,Exchange
F000462,Lois Frankel,ULTA,2018-03-08,Purchase
C001105,Barbara J  Comstock,NRG,2018-03-08,Sale
F000462,Lois Frankel,APC,2018-03-08,Sale
C001105,Barbara J  Comstock,NRG,2018-03-08,Sale
B000574,Earl Blumenauer,XOM,2018-03-07,Sale
B000574,Earl Blumenauer,NWN,2018-03-07,Sale
B000574,Earl Blumenauer,WFC,2018-03-07,Sale
C001105,Barbara J  Comstock,ALNY,2018-03-05,Sale
M001193,Thomas Macarthur,CNQ,2018-03-02,Purchase
F000462,Lois Frankel,STOR,2018-03-02,Purchase
M001193,Thomas Macarthur,DBOEY,2018-03-02,Sale
M001193,Thomas Macarthur,BAYRY,2018-03-02,Purchase
F000450,Virginia Foxx,ARLP,2018-03-01,Purchase
B000574,Earl Blumenauer,VOD,2018-02-28,Purchase
M001193,Thomas Macarthur,BTI,2018-02-28,Purchase
F000462,Lois Frankel,CMCSA,2018-02-28,Purchase
