bioguide_id,name,docs,n_ocr,n_quiver,delta
K000389,Rohit Khanna,12,7016,3508,3508
M001157,Michael T. McCaul,12,2184,2003,181
H001086,Diana Harshbarger,11,1330,814,516
S001180,Kurt Schrader,14,158,62,96
F000459,"Charles J. ""Chuck"" Fleischmann",6,64,24,40
L000564,Doug Lamborn,6,49,7,42
R000395,Harold Dallas Rogers,7,23,0,23
F000472,Scott Franklin,1,22,33,-11
S001201,Thomas Suozzi,3,20,143,-123
H001074,Trey Hollingsworth,6,18,5,13
W000812,Ann Wagner,5,6,0,6
S001204,Michael Fq San Nicolas,1,4,0,4
U000031,Fred Upton,2,3,0,3
C001053,Tom Cole,1,1,0,1
K000392,David Kustoff,1,1,2,-1
L000576,Billy Long,1,1,0,1
