doc_id,nous,semaine1,delta
20023080,1,1,0
20023146,2,2,0
20023143,2,2,0
20023443,3,3,0
20023110,1,1,0
20022392,3,3,0
20022391,1,1,0
20023452,1,1,0
20022421,2,2,0
20023097,1,1,0
20023070,1,1,0
20022611,1,1,0
20023061,1,1,0
20023612,4,4,0
20023624,1,1,0
20022340,2,2,0
20023204,1,1,0
20023456,1,1,0
20023393,1,1,0
20023392,1,1,0
20023382,4,4,0
20023212,1,1,0
20022526,3,3,0
20023218,3,3,0
20022517,1,1,0
20023219,1,1,0
20023182,3,3,0
20022541,5,5,0
20022505,1,1,0
20023283,1,1,0
20022499,5,5,0
20022547,2,2,0
20022550,2,2,0
20023313,1,1,0
20023168,1,1,0
20022770,1,1,0
20022574,2,2,0
20023153,1,1,0
20022325,1,1,0
20023652,1,1,0
20023192,2,2,0
20022906,1,1,0
20022212,3,3,0
20022709,1,1,0
20022202,3,3,0
20022859,1,1,0
20023846,4,4,0
20022738,1,1,0
20022808,1,1,0
20022905,1,1,0
20022259,2,2,0
20023977,1,1,0
20022261,2,2,0
20023962,1,1,0
20023804,3,3,0
20022957,1,1,0
20022656,1,1,0
20023739,1,1,0
20022749,2,2,0
20023722,1,1,0
20024166,1,1,0
20022746,2,2,0
20024186,1,1,0
20023678,3,3,0
20022801,1,0,1
20022807,1,0,1
20022811,1,0,1
20022813,1,0,1
20023178,1,0,1
20022822,1,0,1
20023019,2,1,1
20022858,1,0,1
20023162,1,0,1
20022841,3,2,1
20022850,1,0,1
20023026,1,0,1
20022861,1,0,1
20022886,1,0,1
20023111,1,0,1
20022895,1,0,1
20022919,1,0,1
20023057,1,0,1
20023055,1,0,1
20022969,1,0,1
20022975,1,0,1
20022986,3,2,1
20023174,1,0,1
20023043,4,3,1
20023349,1,0,1
20023238,1,0,1
20023786,3,2,1
20023810,4,3,1
20023829,1,0,1
20023834,1,0,1
20023835,1,0,1
20023843,1,0,1
20023851,1,0,1
20023867,1,0,1
20023887,1,0,1
20023893,1,0,1
20023911,1,0,1
20023951,3,2,1
20023986,1,0,1
20023994,1,0,1
20024004,3,2,1
20024080,1,0,1
20024107,5,4,1
20024110,1,0,1
20024143,1,0,1
20024189,1,0,1
20024203,1,0,1
20023758,1,0,1
20023237,2,1,1
20023721,1,0,1
20023677,2,1,1
20023279,4,3,1
20023290,1,0,1
20023296,1,0,1
20023329,1,0,1
20023340,7,6,1
20023345,8,7,1
20023358,1,0,1
20023381,1,0,1
20023410,3,2,1
20023426,2,1,1
20023437,1,0,1
20023449,1,0,1
20023455,1,0,1
20023494,1,0,1
20023537,1,0,1
20023570,1,0,1
20023575,3,2,1
20023622,1,0,1
20023647,1,0,1
20023658,1,0,1
20023670,1,0,1
20023711,1,0,1
20022791,1,0,1
20024205,1,0,1
20022633,1,0,1
20021327,1,0,1
20022126,1,0,1
20022636,1,0,1
20022521,1,0,1
20022370,1,0,1
20022221,1,0,1
20022623,1,0,1
20022603,1,0,1
20022218,11,10,1
20022418,1,0,1
20022423,1,0,1
20022352,2,1,1
20022428,1,0,1
20022451,1,0,1
20022463,1,0,1
20022585,1,0,1
20022579,1,0,1
20022508,1,0,1
20022546,1,0,1
20022184,2,1,1
20022509,1,0,1
20022189,1,0,1
20022203,1,0,1
20022528,1,0,1
20022591,1,0,1
20022660,3,2,1
20022515,1,0,1
20022697,4,3,1
20022293,1,0,1
20022309,3,2,1
20022704,1,0,1
20022724,1,0,1
20022312,1,0,1
20022320,1,0,1
20022725,1,0,1
20022685,5,4,1
20022322,1,0,1
20022228,5,4,1
20022690,1,0,1
20022751,3,2,1
20022337,1,0,1
20022664,2,1,1
20022269,1,0,1
20016496,1,0,1
20023757,10,8,2
20023319,2,0,2
20022454,2,0,2
20023965,5,3,2
20023636,4,2,2
20022498,2,0,2
20023822,4,2,2
20022272,2,0,2
20023267,2,0,2
20023819,2,0,2
20023246,4,2,2
20023788,2,0,2
20023797,2,0,2
20022271,2,0,2
20023277,2,0,2
20023717,6,4,2
20023955,2,0,2
20022343,2,0,2
20023613,3,1,2
20023610,4,2,2
20022225,2,0,2
20022361,4,2,2
20023553,2,0,2
20023528,2,0,2
20023526,2,0,2
20023504,2,0,2
20022224,3,1,2
20023474,4,2,2
20023683,5,3,2
20022771,2,0,2
20022292,2,0,2
20023441,4,2,2
20023930,2,0,2
20023947,2,0,2
20023950,3,1,2
20022431,2,0,2
20023960,2,0,2
20022409,2,0,2
20023812,2,0,2
20022193,2,0,2
20022626,2,0,2
20023104,2,0,2
20024175,2,0,2
20023100,2,0,2
20022655,2,0,2
20024169,6,4,2
20022917,2,0,2
20024047,3,1,2
20024109,4,2,2
20024204,3,1,2
20023000,6,4,2
20022637,3,1,2
20023075,2,0,2
20024078,4,2,2
20024120,2,0,2
20023119,2,0,2
20022589,2,0,2
20022908,5,3,2
20023198,2,0,2
20023998,2,0,2
20024001,4,2,2
20024016,2,0,2
20022745,2,0,2
20022667,5,3,2
20022682,5,3,2
20023752,3,0,3
20023220,3,0,3
20023799,9,6,3
20022362,3,0,3
20023004,3,0,3
20005641,4,1,3
20022805,12,9,3
20022887,5,2,3
20022249,8,5,3
20023779,3,0,3
20023615,6,3,3
20022876,3,0,3
20022828,3,0,3
20022998,3,0,3
20022624,4,1,3
20024101,3,0,3
20023399,3,0,3
20023360,4,1,3
20023183,3,0,3
20022453,3,0,3
20023129,3,0,3
20023946,8,5,3
20023421,3,0,3
20022414,3,0,3
20023136,5,2,3
20022596,3,0,3
20023435,4,1,3
20023077,6,3,3
20023262,6,3,3
20022571,6,3,3
20023976,3,0,3
20022260,13,9,4
20022900,4,0,4
20020981,4,0,4
20023824,4,0,4
20023664,4,0,4
20022701,4,0,4
20023339,5,1,4
20024042,4,0,4
20023712,4,0,4
20024076,5,1,4
20022357,7,3,4
20022721,11,7,4
20023532,5,1,4
20023045,5,1,4
20023247,4,0,4
20024098,4,0,4
20023623,10,6,4
20022490,6,2,4
20024020,6,1,5
20022504,8,3,5
20022756,6,1,5
20023809,8,3,5
20022288,5,0,5
20022373,11,6,5
20022894,5,0,5
20024072,7,2,5
20022355,5,0,5
20023552,7,2,5
20024104,7,2,5
20022183,5,0,5
20023499,5,0,5
20022368,5,0,5
20023903,5,0,5
20022580,6,1,5
20022211,9,3,6
20023861,16,10,6
20024173,6,0,6
20023975,10,4,6
20022795,10,4,6
20022513,7,1,6
20022533,19,13,6
20022557,14,8,6
20023412,11,5,6
20022561,16,10,6
20023641,7,1,6
20023211,7,1,6
20023671,6,0,6
20022227,10,3,7
20022974,17,10,7
20021261,7,0,7
20023094,7,0,7
20024130,7,0,7
20023073,8,1,7
20022223,7,0,7
20023052,7,0,7
20022646,12,5,7
20022437,10,2,8
20022219,12,4,8
20024097,33,25,8
20023922,12,4,8
20023369,18,10,8
20023444,12,4,8
20023573,20,11,9
20022270,9,0,9
20023059,11,1,10
20022530,20,10,10
20023065,10,0,10
20000807,28,18,10
20023848,17,7,10
20023847,24,14,10
20022285,25,14,11
20023194,19,8,11
20023022,12,0,12
20023303,18,6,12
20023442,36,23,13
20022380,26,13,13
20023087,62,49,13
20022699,19,6,13
20023020,60,47,13
20022531,59,46,13
20022877,44,30,14
20022987,18,3,15
20022683,46,30,16
20022213,27,11,16
20023651,32,16,16
20022978,57,39,18
20021081,22,4,18
20023257,44,26,18
20022265,42,23,19
20024152,57,37,20
20022430,48,27,21
20023253,25,3,22
20023833,53,27,26
20023500,56,29,27
20023973,57,29,28
20022412,89,51,38
20023083,98,59,39
20023816,102,59,43
20023892,187,136,51
20022407,136,64,72
20023082,176,91,85
20022948,195,101,94
20022480,122,19,103
20022653,267,124,143
20023404,533,148,385
