year,n_digital,n_ocr,n_ocr_added,n_dups_intersource,n_final,senateurs_final,ticker_pct_avant,ticker_pct_final,sector_pct_final,date_implausible,volume_final_musd
2014,651,241,241,0,892,19,61.3,78.5,75.6,55,79.4
2015,1317,281,281,0,1598,27,64.5,88.1,84.2,506,351.4
2016,1360,427,427,0,1787,30,65.9,85.3,77.6,658,378.7
2017,1486,212,210,2,1696,32,71.0,89.5,82.0,272,76.6
2018,1441,641,641,0,2082,31,59.1,89.0,83.5,356,209.9
2019,1397,552,546,6,1943,34,56.6,85.5,79.6,585,243.0
2020,1706,255,255,0,1961,33,80.4,88.1,80.4,164,304.4
2021,1098,281,281,0,1379,35,70.1,80.9,69.9,628,133.7
2022,919,182,182,0,1101,27,74.8,79.7,65.3,38,98.2
2023,1062,97,97,0,1159,30,77.1,77.7,69.5,35,73.2
2024,946,84,84,0,1030,24,67.3,68.0,59.2,40,95.1
2025,943,478,478,0,1421,31,44.6,45.5,37.2,150,187.7
2026,487,303,303,0,790,22,42.5,43.8,35.8,38,86.9
