bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
P000612,"David A Perdue , Jr",116,68,68,48,0,
W000802,Sheldon Whitehouse,89,73,73,16,0,
C000174,Thomas R Carper,52,8,8,44,0,
C001035,Susan M Collins,32,13,13,19,0,
R000122,John F Reed,24,21,21,3,0,
C001075,William Cassidy,39,39,39,0,0,
H001061,John Hoeven,31,30,30,1,0,
I000024,James M Inhofe,25,23,23,2,0,
P000595,Gary C Peters,8,6,6,2,0,
R000307,Pat Roberts,14,14,14,0,0,
C001047,Shelley M Capito,22,22,22,0,0,
T000461,Patrick J Toomey,14,10,10,4,0,
K000383,"Angus S King, Jr.",5,5,5,0,0,
S001198,Daniel S Sullivan,4,4,4,0,0,
C001098,Rafael E Cruz,2,2,2,0,0,
K000384,Timothy M Kaine,1,1,1,0,0,
C000127,Maria Cantwell,1,1,1,0,0,
E000285,Michael  B Enzi,1,1,1,0,0,
