bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-12-27,2017-12-19,,"Wynn Reports, Ltd (stock) NASDAQ",Stock,Sale,"$15,001 - $50,000",32500.5,False,Spouse,db4af494-3532-4c8f-a099-39d3e2a07c9f,https://efdsearch.senate.gov/search/view/paper/db4af494-3532-4c8f-a099-39d3e2a07c9f/,db6d053a3194c0a88230c1cdda94329cae230e55c3eabb4036ebb2f6c4167648,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-12-27,2017-12-19,,El Dorado Gold Corp. Ltd. FGH (stock) NYSE,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,db4af494-3532-4c8f-a099-39d3e2a07c9f,https://efdsearch.senate.gov/search/view/paper/db4af494-3532-4c8f-a099-39d3e2a07c9f/,054ffdf7c0725e1ac31937599d0f708cc770603fcf40bfdd6a4fb305f9b0cd48,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-12-27,2017-12-19,,El Dorado Gold Corp. Ltd. FGH (stock) NYSE,Stock,Sale,"$15,001 - $50,000",32500.5,False,Spouse,db4af494-3532-4c8f-a099-39d3e2a07c9f,https://efdsearch.senate.gov/search/view/paper/db4af494-3532-4c8f-a099-39d3e2a07c9f/,5d830e7cc6b571d03cfcffd8965a45dbb3b38fbf9c1de7e0c4e16059fcb62ca0,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-12-27,2017-12-19,,Centurylink Inc. (stock) NYSE,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,db4af494-3532-4c8f-a099-39d3e2a07c9f,https://efdsearch.senate.gov/search/view/paper/db4af494-3532-4c8f-a099-39d3e2a07c9f/,e73b5637b919ecf139fe2b7b5cabeb55edd9d0a235e3cba6439427fd391849e0,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-12-27,2017-12-19,,Centurylink Inc. (stock) NYSE,Stock,Sale,"$15,001 - $50,000",32500.5,False,Spouse,db4af494-3532-4c8f-a099-39d3e2a07c9f,https://efdsearch.senate.gov/search/view/paper/db4af494-3532-4c8f-a099-39d3e2a07c9f/,16c4307ec14635c41c7007063eef2b54e739b39be22e1a85dd74e262b2e62ce3,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2017-11-20,2017-12-18,,Peter L Malkin Family 2000 LLC,Other,Purchase,"$50,001 - $100,000",75000.5,False,Spouse,e8a40887-94c1-446e-912c-277c8c226bde,https://efdsearch.senate.gov/search/view/paper/e8a40887-94c1-446e-912c-277c8c226bde/,3e16e13ebe2edeba804bd2516337e3e123399391b3c063a75226b470b4011518,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,,2017-12-18,,Intercept Co-Investors,Stock,Sale,,,False,Spouse,e8a40887-94c1-446e-912c-277c8c226bde,https://efdsearch.senate.gov/search/view/paper/e8a40887-94c1-446e-912c-277c8c226bde/,a47491f8f6e79c44eae56b2f495105a3f1b7269159c166226dca286975a8bb96,senate-efd-ocr,explicit,0
B001236,JOHN BOOZMAN,senate,Republican,AR,"Commission on Security and Cooperation in Europe; SSAF13; SSAF14; SSAF15; SSAF16; SSAF17; SSAP02; SSAP18; SSAP19; SSAP20; SSAP23; SSAP24; SSEV08; SSEV10; SSEV15; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on Veterans' Affairs",False,2017-11-21,2017-12-12,,Iqvia Hidgins Inc Named changed from Quintiles Transnational Corp,Stock,Exchange,"$1,001 - $15,000",8000.5,False,Self,058352a8-724f-4732-abea-a29791a161ef,https://efdsearch.senate.gov/search/view/paper/058352a8-724f-4732-abea-a29791a161ef/,5dc1c9681a9f421247af6ca2aed0f4ea4c7f2057c10f310bbd544da47dae5372,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-11-07,2017-11-29,,Scana Corporation Holding Co. (stock) NYSE,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Self,c4c250b9-083f-4442-82b6-08581cb76920,https://efdsearch.senate.gov/search/view/paper/c4c250b9-083f-4442-82b6-08581cb76920/,d498a0e1e2f7c9b3cf518f4508bdf13f2e6308305ff7d66628f88c610151bb07,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-11-07,2017-11-29,,Scana Corporation Holding Co. (stock) NYSE,Stock,Purchase,"$500,001 - $1,000,000",750000.5,False,Self,c4c250b9-083f-4442-82b6-08581cb76920,https://efdsearch.senate.gov/search/view/paper/c4c250b9-083f-4442-82b6-08581cb76920/,1e58cb5b72ef1100f17bccd93b709e6985d535277d61f60e3447dd60c09584e7,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-11-09,2017-11-29,,Centurylink Inc. (stock) NYSE,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Self,c4c250b9-083f-4442-82b6-08581cb76920,https://efdsearch.senate.gov/search/view/paper/c4c250b9-083f-4442-82b6-08581cb76920/,914d7fa6a49ea48e4f54f8a3b173df8f73870e1b06220ed9ec8e73e0aeee361e,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-11-15,2017-11-29,,Hanesbrands Inc. (stock) NYSE,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,c4c250b9-083f-4442-82b6-08581cb76920,https://efdsearch.senate.gov/search/view/paper/c4c250b9-083f-4442-82b6-08581cb76920/,3d6452246ce875660e1c90264e7d206c2086c2aaef3b763af662a327e6c2803a,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-11-15,2017-11-29,,Centurylink Inc. (stock) NYSE,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,c4c250b9-083f-4442-82b6-08581cb76920,https://efdsearch.senate.gov/search/view/paper/c4c250b9-083f-4442-82b6-08581cb76920/,28c0292a7312277efa32599b7621692af58f30e8d2f5e43137f27b3a67dbd852,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2017-11-15,2017-11-29,,Centurylink Inc. (stock) NYSE,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Self,c4c250b9-083f-4442-82b6-08581cb76920,https://efdsearch.senate.gov/search/view/paper/c4c250b9-083f-4442-82b6-08581cb76920/,063351a3077570e52542173c87129e1cb368004f449dd42bd3630bcb0dd7950d,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2017-10-31,2017-11-16,,Hedge Holdings,Other,Purchase,"$1,000,001 - $5,000,000",3000000.5,False,Spouse,3b49848e-ffef-40f0-bae2-134f42e73b99,https://efdsearch.senate.gov/search/view/paper/3b49848e-ffef-40f0-bae2-134f42e73b99/,9c29ffcad86f009e4cc09ca5c34a4d0e486686108a007470915633840fe122c7,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2017-02-01,2017-11-16,,Malkin Capital Fund,Other,Sale,"$15,001 - $50,000",32500.5,False,Spouse,3b49848e-ffef-40f0-bae2-134f42e73b99,https://efdsearch.senate.gov/search/view/paper/3b49848e-ffef-40f0-bae2-134f42e73b99/,5231aa522be40fd2e3e7e723f26d9788b18c725ba3648ed144ca49662f7de460,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2017-02-27,2017-11-16,,Malkin Capital Fund,Other,Purchase,"$500,001 - $1,000,000",750000.5,False,Spouse,3b49848e-ffef-40f0-bae2-134f42e73b99,https://efdsearch.senate.gov/search/view/paper/3b49848e-ffef-40f0-bae2-134f42e73b99/,72481e2dae2993ab3ba0369f562a9a8ff563648e0ed4452e578ee1745de5479f,senate-efd-ocr,explicit,0
B001277,RICHARD BLUMENTHAL,senate,Democrat,CT,SSAS13; SSAS14; SSAS17; SSGA01; SSGA20; SSJU01; SSJU22; SSJU25; SSJU28; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary; United States Senate Caucus on International Narcotics Control,True,2017-10-31,2017-11-16,,Peter L Malkin Family 9 LLC,Other,Purchase,"$1,000,001 - $5,000,000",3000000.5,False,Spouse,3b49848e-ffef-40f0-bae2-134f42e73b99,https://efdsearch.senate.gov/search/view/paper/3b49848e-ffef-40f0-bae2-134f42e73b99/,18c1c36e5a3aceefa26b469841f1145c885385fe505b47467ec9da0b16dd9a87,senate-efd-ocr,explicit,0
