bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
P000612,"David A Perdue , Jr",620,392,228,15,0,nous_plus
C001047,Shelley M Capito,159,155,4,2,0,nous_plus
C000174,Thomas R Carper,156,0,156,156,0,quiver_sans_donnee
R000307,Pat Roberts,101,67,34,7,0,nous_plus
W000802,Sheldon Whitehouse,71,62,9,3,0,nous_plus
T000461,Patrick J Toomey,60,25,35,6,0,nous_plus
I000024,James M Inhofe,58,57,1,0,0,nous_plus
R000122,John F Reed,33,33,0,0,0,concordant
P000595,Gary C Peters,31,6,25,23,0,nous_plus
C001035,Susan M Collins,27,22,5,3,0,nous_plus
C001075,William Cassidy,26,20,6,0,0,nous_plus
H001061,John Hoeven,23,21,2,2,0,nous_plus
S001203,Tina Smith,17,16,1,0,0,nous_plus
W000805,Mark R Warner,12,0,12,12,0,quiver_sans_donnee
P000449,Robert J Portman,9,0,9,9,0,quiver_sans_donnee
K000383,"Angus S King, Jr.",7,4,3,3,0,nous_plus
D000622,Ladda Tammy Duckworth,6,4,2,0,0,nous_plus
M000355,"A. Mitchell McConnell, Jr.",6,6,0,0,0,concordant
S001198,Daniel S Sullivan,5,5,0,0,0,concordant
C001088,Christopher A Coons,4,0,4,4,0,quiver_sans_donnee
C000141,Benjamin L Cardin,2,0,2,2,0,quiver_sans_donnee
R000605,Mike Rounds,2,0,2,2,0,quiver_sans_donnee
W000437,Roger F Wicker,2,1,1,1,0,nous_plus
A000360,Lamar Alexander,1,0,1,1,0,quiver_sans_donnee
B001261,John A Barrasso,1,0,1,1,0,quiver_sans_donnee
C000228,"Robert P Casey, Jr.",1,0,1,0,0,quiver_sans_donnee
D000618,Steve Daines,1,0,1,1,0,quiver_sans_donnee
C000567,Thad Cochran,0,46,-46,0,0,quiver_seul
C001070,Robert P. Jr. Casey,0,1,-1,0,0,quiver_seul
F000444,Jeffry Flake,0,5,-5,0,0,quiver_seul
H001041,Dean Heller,0,69,-69,0,0,quiver_seul
M001170,Claire McCaskill,0,1,-1,0,0,quiver_seul
M001198,Roger W. Marshall,0,110,-110,0,0,quiver_seul
R000608,Jacky Rosen,0,4,-4,0,0,quiver_seul
W000800,Peter Welch,0,28,-28,0,0,quiver_seul
