scope,metric,value
digital,common_senators,17.0
digital,quiver_amendment_dups,78.0
digital,ours_tickerizable,1069.0
digital,quiver,888.0
digital,matched,881.0
digital,only_quiver,7.0
digital,only_ours,188.0
digital,coverage_pct,99.2
ocr,common_senators,0.0
ocr,quiver_amendment_dups,78.0
ocr,ours_tickerizable,0.0
ocr,quiver,0.0
ocr,matched,0.0
ocr,only_quiver,0.0
ocr,only_ours,0.0
ocr,coverage_pct,
both,common_senators,17.0
both,quiver_amendment_dups,78.0
both,ours_tickerizable,1083.0
both,quiver,888.0
both,matched,881.0
both,only_quiver,7.0
both,only_ours,202.0
both,coverage_pct,99.2
