bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2019-03-05,2019-03-06,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,78a66c3d-1d51-4b8f-ac8a-12ca25b75563,https://efdsearch.senate.gov/search/view/ptr/78a66c3d-1d51-4b8f-ac8a-12ca25b75563/,00f08ecd8791562807f316f12a641b7b02a599606b0e32b2546386efe257ab7f,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2019-06-01,2019-06-21,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,54feb2cd-c07e-499e-a649-964d9b6fb1d0,https://efdsearch.senate.gov/search/view/ptr/54feb2cd-c07e-499e-a649-964d9b6fb1d0/,b6cdfc43619395b40b6ed35d93c26a2062b9f0a2818398c038c05b7ed83dc562,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2019-06-03,2019-06-14,VMC,Vulcan Materials Company,Stock,Sale (Full),"$250,001 - $500,000",375000.5,False,Spouse,00f9f9ee-b87b-4736-950b-41f9a6cfe2b4,https://efdsearch.senate.gov/search/view/ptr/00f9f9ee-b87b-4736-950b-41f9a6cfe2b4/,5c2e6e17221c9608dac31fc11c4aded03036bc6767793b83f9a95ba2a2e64299,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2019-06-03,2019-06-14,IR,Ingersoll-Rand Plc,Stock,Sale (Full),"$250,001 - $500,000",375000.5,False,Spouse,00f9f9ee-b87b-4736-950b-41f9a6cfe2b4,https://efdsearch.senate.gov/search/view/ptr/00f9f9ee-b87b-4736-950b-41f9a6cfe2b4/,8d5f122084b2590192134d7adce076f9c4f8e880abbb8408e60fccd7ad666b07,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2019-09-01,2019-09-16,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,1867563f-44a7-41d0-8e2e-96ddf747eae4,https://efdsearch.senate.gov/search/view/ptr/1867563f-44a7-41d0-8e2e-96ddf747eae4/,3f4b5b08f71997d44fa4febb5c83e59476372eca681990b1389f2e2163994766,senate-efd-electronic,explicit,0
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2019-12-04,2019-12-12,WFC,Wells Fargo & Company,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,c8736c02-d30a-4c66-a4d9-0bac2e7afd46,https://efdsearch.senate.gov/search/view/ptr/c8736c02-d30a-4c66-a4d9-0bac2e7afd46/,99d0fcc5af2e0ebabc7dfcb09aaccd414de8b22d83426b877aceeb1c44fae8e4,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-01-10,2019-02-26,AXP,American Express Company,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Spouse,90e20076-4d79-4ee1-a5dd-eaec71eae17a,https://efdsearch.senate.gov/search/view/ptr/90e20076-4d79-4ee1-a5dd-eaec71eae17a/,55667c8f3fd3c4999c78341a282d2312df6bc68950aa421d13f3841b73160aa6,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-01-10,2019-02-26,MKC,"McCormick & Company, Incorporated",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Spouse,90e20076-4d79-4ee1-a5dd-eaec71eae17a,https://efdsearch.senate.gov/search/view/ptr/90e20076-4d79-4ee1-a5dd-eaec71eae17a/,2e690ba3fdfb2476507e67354477491521057380d60ac507c096e65a889d83b6,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-01-10,2019-02-26,UTX,United Technologies Corporation,Stock,Sale (Full),"$1,001 - $15,000",8000.5,False,Spouse,90e20076-4d79-4ee1-a5dd-eaec71eae17a,https://efdsearch.senate.gov/search/view/ptr/90e20076-4d79-4ee1-a5dd-eaec71eae17a/,acc46cf21c7700558a3f303b825967e112443101fba3138220695c23cbb28184,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-01-31,2019-02-26,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,90e20076-4d79-4ee1-a5dd-eaec71eae17a,https://efdsearch.senate.gov/search/view/ptr/90e20076-4d79-4ee1-a5dd-eaec71eae17a/,5c1fb6c24223ed8a06530de227d2fd8d3738d3f62158d4e23364c68b8b91aee0,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-05-16,2019-06-17,,MAINE ST HSG AUTH REV BOND  Rate/Coupon: 1.70%  Matures: 11/15/2021,Municipal Security,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,8b901467-872e-4963-96fa-a5cef2760fa2,https://efdsearch.senate.gov/search/view/ptr/8b901467-872e-4963-96fa-a5cef2760fa2/,333d370730007e94ee6944369db9ee18d4ab41a0ac57d1e8c669e5364698d8b8,senate-efd-electronic,none,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-07-23,2019-08-26,CMCSA,Comcast Corporation,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Spouse,585f17d0-8851-4a92-8e8f-8ccf71dc7b1c,https://efdsearch.senate.gov/search/view/ptr/585f17d0-8851-4a92-8e8f-8ccf71dc7b1c/,65eab1308ed11f6123200b4b494c11528c24729567ad5a9cb07c1d42f5e19236,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-07-23,2019-08-26,WAT,Waters Corporation,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Spouse,585f17d0-8851-4a92-8e8f-8ccf71dc7b1c,https://efdsearch.senate.gov/search/view/ptr/585f17d0-8851-4a92-8e8f-8ccf71dc7b1c/,0061c913551f90ef032f6f21eef89924dd8f682c0cebc4173db821111b0bd197,senate-efd-electronic,explicit,0
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2019-09-10,2019-10-21,,ME Muni Bond Waterville ME GO  Rate/Coupon: 2.0%  Matures: 10/01/2023,Municipal Security,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,aae3bfc5-4f9c-4f5d-abf9-2128847ebcab,https://efdsearch.senate.gov/search/view/ptr/aae3bfc5-4f9c-4f5d-abf9-2128847ebcab/,cead8dfc6ed521b3c86667a2a3e1e9de3ba2233f84f3a6a62730672dbc877ed3,senate-efd-electronic,none,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-03-19,2019-06-24,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",8000.5,False,Child,f06ca66b-6f1d-461e-990d-01e6bb206b51,https://efdsearch.senate.gov/search/view/ptr/f06ca66b-6f1d-461e-990d-01e6bb206b51/,5c117852cc5f4cbc3b98794fbad5e68b83d3319b54bbdcc1c2fc71c9ea7ba2a1,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-07-18,2019-06-24,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",8000.5,False,Child,f06ca66b-6f1d-461e-990d-01e6bb206b51,https://efdsearch.senate.gov/search/view/ptr/f06ca66b-6f1d-461e-990d-01e6bb206b51/,284d426f8fd10495101e0f8d3dd561b51aca36a605f0319dfc56f3fe7a7c8739,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-08-23,2019-06-24,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,False,Child,f06ca66b-6f1d-461e-990d-01e6bb206b51,https://efdsearch.senate.gov/search/view/ptr/f06ca66b-6f1d-461e-990d-01e6bb206b51/,647adc4af2cff3a32bb3333700282a8916c0f1626023fa0b029d61419cbad22f,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-10-24,2019-06-24,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$1,001 - $15,000",8000.5,False,Child,f06ca66b-6f1d-461e-990d-01e6bb206b51,https://efdsearch.senate.gov/search/view/ptr/f06ca66b-6f1d-461e-990d-01e6bb206b51/,ae70dfa1ba31eda28c1e2b031ee5cf9d1a2e5d36efcdeef7da14ed2ebb42eaa4,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-10-24,2019-06-24,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Child,f06ca66b-6f1d-461e-990d-01e6bb206b51,https://efdsearch.senate.gov/search/view/ptr/f06ca66b-6f1d-461e-990d-01e6bb206b51/,99c2d53e38ef0aa7b7daf8bc77e5ece96881a1298118a5d9f449a74982c8a438,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-11-05,2019-06-24,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",8000.5,False,Child,f06ca66b-6f1d-461e-990d-01e6bb206b51,https://efdsearch.senate.gov/search/view/ptr/f06ca66b-6f1d-461e-990d-01e6bb206b51/,ee53a00868e6088bd0523be82d7c7b99525a30ea960c08ca519a9915547b0899,senate-efd-electronic,explicit,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-12-27,2019-05-17,,"W.L. Gore & Associates, Inc.  Company: W.L. Gore & Associates, Inc.  (Newark, DE)  Description: Advanced materials manufacturing",Non-Public Stock,Sale (Partial),"$100,001 - $250,000",175000.5,False,Spouse,1e74ebeb-9ecc-4ea4-8fd3-3025d02ffef8,https://efdsearch.senate.gov/search/view/ptr/1e74ebeb-9ecc-4ea4-8fd3-3025d02ffef8/,567444fe79aacb1f4d1721ae0532728caf545990143205f5fab260fb4b0a642d,senate-efd-electronic,none,0
C001088,Christopher A Coons,senate,Democrat,DE,SSAP02; SSAP16; SSAP20; SSAP22; SSAP23; SSAP24; SSFR02; SSFR09; SSFR14; SSFR15; SSJU04; SSJU22; SSJU26; SSJU28; Senate Committee on Appropriations; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary; Senate Select Committee on Ethics,False,2018-12-27,2019-05-17,,"W.L. Gore & Associates, Inc.  Company: W.L. Gore & Associates, Inc.  (Newark, DE)  Description: Advanced materials manufacturing",Non-Public Stock,Sale (Partial),"$100,001 - $250,000",175000.5,False,Spouse,1e74ebeb-9ecc-4ea4-8fd3-3025d02ffef8,https://efdsearch.senate.gov/search/view/ptr/1e74ebeb-9ecc-4ea4-8fd3-3025d02ffef8/,567444fe79aacb1f4d1721ae0532728caf545990143205f5fab260fb4b0a642d,senate-efd-electronic,none,1
