uuid,year,member,n_pages,category
5B7D23B8-661C-45AC-8B40-EAD128130E8D,2014,JACK REED,1,tape
06A375AE-B6BF-4CB9-A675-8E4703896A18,2014,JOHN HOEVEN,1,tape
9242F316-3F2F-48DE-AE71-F3D812EE33E5,2014,MARIA CANTWELL,1,tape
1FA31695-2481-47BC-A8B8-2B39D4D0B97E,2014,MARK R WARNER,2,tape
6BB34CE7-72BF-4F9A-B078-DDE209016DD6,2014,MARK R WARNER,2,tape
19361CEA-BD67-45FD-A6FD-7A47E072CA0F,2014,MARK R WARNER,2,tape
4FCBD8B2-6429-40A4-8927-4F75FD84D0E1,2014,MARK R WARNER,2,tape
669650A1-0AFA-4363-8851-494DBE867389,2014,MARK R WARNER,2,tape
A5661778-A18F-4F81-A778-AC988F69F9B1,2014,MARK R WARNER,2,tape
0646854C-A5E3-49CC-9063-084B25BCBC3B,2014,MARK R WARNER,2,tape
ABE5742E-C4DA-4833-819A-F5F2673CD7F1,2014,MARK R WARNER,2,tape
1EB806E5-3D99-481B-B45C-5392CEBCC092,2014,MARK R WARNER,2,tape
5716F08C-6F84-4AC6-B53B-C167E15E5B37,2014,MARK R WARNER,2,tape
3E7456A0-0D3E-431F-AD3E-9644C9F22EF3,2014,MARK R WARNER,2,tape
AB5EEBA0-7045-4B8D-BC91-007761245D4C,2014,PAT ROBERTS,1,manuscrit
F5F31261-73D5-49A9-9642-16871D93AD45,2014,PAT ROBERTS,1,manuscrit
150EDC44-0E54-48AA-9107-AEA667615811,2014,PAT ROBERTS,1,manuscrit
E0F69812-6B00-4773-894B-4068B7600DDC,2014,PAT ROBERTS,2,manuscrit
4377555C-2E74-4FF7-A2A0-AC67BDDA90B3,2014,RICHARD BLUMENTHAL,2,tape
597944C5-F426-4C1B-9037-52DBA7DB6557,2014,RICHARD M BURR,11,annexe_courtier
F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,2014,RICHARD M BURR,9,tape
BE1F720C-4A8A-4B29-9679-2D33E51A2946,2014,RICHARD M BURR,8,annexe_courtier
EB09706F-2098-40DB-B666-B014B21553AA,2014,RICHARD M BURR,1,tape
2D5E7EA6-DD61-4C3B-A886-63F586C54E1B,2014,RICHARD M BURR,1,tape
03EADD6B-C1A4-45F8-AC63-78E1C4787AC0,2014,RICHARD M BURR,1,tape
5AC4FA1A-B114-464B-93EA-2ADE5E652529,2014,RICHARD M BURR,1,tape
EA7371D7-EA0C-447E-8CC7-E5BEF9AF21DE,2014,RICHARD M BURR,1,cas_a_part
07FB8D44-1310-4330-894C-DEC36CDCD2B4,2014,RICHARD M BURR,1,tape
D22FAF65-5196-452C-8042-92E593E21F8B,2014,RICHARD M BURR,1,tape
4C1D8DC4-7941-43F6-A992-95B17A2B79B4,2014,RICHARD M BURR,1,tape
0D70EF39-D892-4BEF-B1C9-121D4A30009F,2014,SHELDON WHITEHOUSE,1,tape
3505D650-4644-4A79-9A6D-1CC293292F5C,2014,SHELDON WHITEHOUSE,1,tape
E1E79C60-9429-4BD5-B040-21A1A1D4A498,2014,SHELDON WHITEHOUSE,1,tape
B7B303F9-086E-4E0B-B46A-4A055848D599,2014,SHELDON WHITEHOUSE,2,tape
1E0B4A32-38D3-44F7-9834-8724E273CEB0,2014,SUSAN M COLLINS,1,tape
16D65434-11F3-4CCA-9A01-D929D8307E05,2014,SUSAN M COLLINS,1,tape
30FFA407-999E-4F25-B2E4-E5ACD6EC5CD9,2014,SUSAN M COLLINS,1,tape
BE524E9F-5E03-416B-9CFB-51A198F3E05C,2014,SUSAN M COLLINS,1,tape
D322BE57-9E16-482D-9998-11D04BB37132,2014,THOMAS R CARPER,1,tape
