membre,type,ticker,d_out
Brad Ashford,achat_manquant,CC,2017-01-31
Brad Ashford,achat_manquant,CGI,2017-01-31
Brad Ashford,achat_manquant,KHC,2017-01-31
Brad Ashford,achat_manquant,NKE,2017-01-31
Brad Ashford,achat_manquant,ZBH,2017-01-31
Brad Ashford,vente_manquante,AA,2017-01-31
Brad Ashford,vente_manquante,DEMBF,2017-01-31
Brad Ashford,vente_manquante,DRYS,2017-01-31
Brad Ashford,vente_manquante,F,2017-01-31
Brad Ashford,vente_manquante,HERO,2017-01-31
Brad Ashford,vente_manquante,HSH,2017-01-31
Brad Ashford,vente_manquante,KRFT,2017-01-31
Brad Ashford,vente_manquante,ZMH,2017-01-31
Rodney Leland Blum,achat_manquant,AGN,2019-01-16
Rodney Leland Blum,achat_manquant,ALB,2019-01-16
Rodney Leland Blum,achat_manquant,AXL,2019-01-16
Rodney Leland Blum,achat_manquant,BMO,2019-01-16
Rodney Leland Blum,achat_manquant,DAL,2019-01-16
Rodney Leland Blum,achat_manquant,FANG,2019-01-16
Rodney Leland Blum,achat_manquant,GPN,2019-01-16
Rodney Leland Blum,achat_manquant,HOLX,2019-01-16
Rodney Leland Blum,achat_manquant,JPM,2019-01-16
Rodney Leland Blum,achat_manquant,LEN,2019-01-16
Rodney Leland Blum,achat_manquant,MCK,2019-01-16
Rodney Leland Blum,achat_manquant,SPY,2019-01-16
Rodney Leland Blum,achat_manquant,SYF,2019-01-16
Rodney Leland Blum,achat_manquant,T,2019-01-16
Rodney Leland Blum,achat_manquant,TOT,2019-01-16
Rodney Leland Blum,achat_manquant,VEA,2019-01-16
Rodney Leland Blum,achat_manquant,VIAB,2019-01-16
Rodney Leland Blum,achat_manquant,VWO,2019-01-16
Rodney Leland Blum,vente_manquante,BEAV,2019-01-16
Rodney Leland Blum,vente_manquante,BRKA,2019-01-16
Rodney Leland Blum,vente_manquante,CFN,2019-01-16
Rodney Leland Blum,vente_manquante,CSX,2019-01-16
Rodney Leland Blum,vente_manquante,DLPH,2019-01-16
Rodney Leland Blum,vente_manquante,GCI,2019-01-16
Rodney Leland Blum,vente_manquante,GLW,2019-01-16
Rodney Leland Blum,vente_manquante,HFC,2019-01-16
Rodney Leland Blum,vente_manquante,HUN,2019-01-16
Rodney Leland Blum,vente_manquante,IP,2019-01-16
Rodney Leland Blum,vente_manquante,TGNA,2019-01-16
Carolyn Bourdeaux,achat_manquant,EXPGF,2023-05-03
Carolyn Bourdeaux,achat_manquant,JSNSF,2023-05-03
Carolyn Bourdeaux,achat_manquant,MCO,2023-05-03
Kenneth R. Buck,achat_manquant,BND,2024-06-19
Kenneth R. Buck,achat_manquant,VTV,2024-06-19
Kenneth R. Buck,vente_manquante,RIG,2024-06-19
Gilbert Cisneros,achat_manquant,AMD,2021-04-27
Gilbert Cisneros,achat_manquant,AVGO,2021-04-27
Gilbert Cisneros,achat_manquant,AZO,2021-04-27
Gilbert Cisneros,achat_manquant,CAG,2021-04-27
Gilbert Cisneros,achat_manquant,CARR,2021-04-27
Gilbert Cisneros,achat_manquant,COO,2021-04-27
Gilbert Cisneros,achat_manquant,CSCO,2021-04-27
Gilbert Cisneros,achat_manquant,DGX,2021-04-27
Gilbert Cisneros,achat_manquant,DOV,2021-04-27
Gilbert Cisneros,achat_manquant,DRI,2021-04-27
Gilbert Cisneros,achat_manquant,EIF,2021-04-27
Gilbert Cisneros,achat_manquant,EIX,2021-04-27
Gilbert Cisneros,achat_manquant,FAST,2021-04-27
Gilbert Cisneros,achat_manquant,HON,2021-04-27
Gilbert Cisneros,achat_manquant,HWM,2021-04-27
Gilbert Cisneros,achat_manquant,KO,2021-04-27
Gilbert Cisneros,achat_manquant,LOPE,2021-04-27
Gilbert Cisneros,achat_manquant,LOW,2021-04-27
Gilbert Cisneros,achat_manquant,LW,2021-04-27
Gilbert Cisneros,achat_manquant,MCK,2021-04-27
Gilbert Cisneros,achat_manquant,MSCI,2021-04-27
Gilbert Cisneros,achat_manquant,MTB,2021-04-27
Gilbert Cisneros,achat_manquant,ORLY,2021-04-27
Gilbert Cisneros,achat_manquant,OTIS,2021-04-27
Gilbert Cisneros,achat_manquant,OXM,2021-04-27
Gilbert Cisneros,achat_manquant,POWI,2021-04-27
Gilbert Cisneros,achat_manquant,QCOM,2021-04-27
Gilbert Cisneros,achat_manquant,RCI,2021-04-27
Gilbert Cisneros,achat_manquant,ROG,2021-04-27
Gilbert Cisneros,achat_manquant,ROK,2021-04-27
Gilbert Cisneros,achat_manquant,ROLL,2021-04-27
Gilbert Cisneros,achat_manquant,ROST,2021-04-27
Gilbert Cisneros,achat_manquant,TMO,2021-04-27
Gilbert Cisneros,achat_manquant,TMX,2021-04-27
Gilbert Cisneros,achat_manquant,TXT,2021-04-27
Gilbert Cisneros,achat_manquant,VRTX,2021-04-27
Gilbert Cisneros,achat_manquant,VTRS,2021-04-27
Gilbert Cisneros,achat_manquant,WSC,2021-04-27
Gilbert Cisneros,achat_manquant,ZION,2021-04-27
Gilbert Cisneros,vente_manquante,ACAD,2021-04-27
Gilbert Cisneros,vente_manquante,AIMC,2021-04-27
Gilbert Cisneros,vente_manquante,AME,2021-04-27
Gilbert Cisneros,vente_manquante,AMRX,2021-04-27
Gilbert Cisneros,vente_manquante,ARNC,2021-04-27
