congress,bioguide_id,committee_membership
113,A000055,"Commission on Security and Cooperation in Europe; House Committee on Appropriations; House Committee on Appropriations — Agriculture, Rural Development, Food and Drug Administration, and Related Agencies; House Committee on Appropriations — Commerce, Justice, Science, and Related Agencies; House Committee on Appropriations — Defense"
113,A000360,"Senate Committee on Appropriations; Senate Committee on Appropriations — Commerce, Justice, Science, and Related Agencies; Senate Committee on Appropriations — Department of Defense; Senate Committee on Appropriations — Department of the Interior, Environment, and Related Agencies; Senate Committee on Appropriations — Departments of Labor, Health and Human Services, and Education, and Related Agencies; Senate Committee on Appropriations — Energy and Water Development; Senate Committee on Appropriations — Transportation and Housing and Urban Development, and Related Agencies; Senate Committee on Energy and Natural Resources; Senate Committee on Energy and Natural Resources — Energy; Senate Committee on Energy and Natural Resources — National Parks; Senate Committee on Energy and Natural Resources — Public Lands, Forests, and Mining; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Health, Education, Labor, and Pensions — Children and Families; Senate Committee on Health, Education, Labor, and Pensions — Employment and Workplace Safety; Senate Committee on Health, Education, Labor, and Pensions — Primary Health and Aging; Senate Committee on Rules and Administration"
113,A000367,House Committee on Oversight and Government Reform; House Committee on Oversight and Government Reform — Government Operations; House Committee on Oversight and Government Reform — National Security; Joint Economic Committee
113,A000368,"Commission on Security and Cooperation in Europe; Senate Committee on Armed Services; Senate Committee on Armed Services — Personnel; Senate Committee on Armed Services — Readiness and Management Support; Senate Committee on Armed Services — SeaPower; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Commerce, Science, and Transportation — Aviation Operations, Safety, and Security; Senate Committee on Commerce, Science, and Transportation — Communications, Technology, and the Internet; Senate Committee on Commerce, Science, and Transportation — Consumer Protection, Product Safety, and Insurance; Senate Committee on Commerce, Science, and Transportation — Oceans, Atmosphere, Fisheries, and Coast Guard; Senate Committee on Commerce, Science, and Transportation — Surface Transportation and Merchant Marine Infrastructure, Safety, and Security; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Homeland Security and Governmental Affairs — Financial and Contracting Oversight; Senate Committee on Homeland Security and Governmental Affairs — Permanent Subcommittee on Investigations; Senate Committee on the Budget; Senate Special Committee on Aging"
113,A000369,"House Committee on Appropriations; House Committee on Appropriations — Commerce, Justice, Science, and Related Agencies; House Committee on Appropriations — Financial Services and General Government; House Committee on Appropriations — Legislative Branch"
113,B000013,"House Committee on Financial Services; House Committee on Financial Services — Capital Markets and Government Sponsored Enterprises; House Committee on Financial Services — Financial Institutions and Consumer Credit; House Committee on the Judiciary; House Committee on the Judiciary — Crime, Terrorism, Homeland Security, and Investigations; House Committee on the Judiciary — Regulatory Reform, Commercial, and Antitrust Law"
113,B000213,"House Committee on Energy and Commerce; House Committee on Energy and Commerce — Commerce, Manufacturing, and Trade; House Committee on Energy and Commerce — Communications and Technology; House Committee on Energy and Commerce — Energy and Power; House Committee on Energy and Commerce — Environment and the Economy; House Committee on Energy and Commerce — Health; House Committee on Energy and Commerce — Oversight and Investigations"
113,B000287,House Committee on Ways and Means; House Committee on Ways and Means — Social Security
113,B000490,"House Committee on Appropriations; House Committee on Appropriations — Agriculture, Rural Development, Food and Drug Administration, and Related Agencies; House Committee on Appropriations — Legislative Branch; House Committee on Appropriations — Military Construction, Veterans Affairs, and Related Agencies"
113,B000574,House Committee on Ways and Means; House Committee on Ways and Means — Health; House Committee on Ways and Means — Trade; House Committee on the Budget
