doc_id,chamber,first_seen_at,disclosure_date,kind,declarant_name,run_id,source
20000077,house,2026-08-25,2014-01-13,ptr,Robert E. Andrews,20260825T1602Z,backfill
20000998,house,2026-08-25,2014-05-22,ptr,Lou Barletta,20260825T1602Z,backfill
20001787,house,2026-08-25,2014-10-03,ptr,Lou Barletta,20260825T1602Z,backfill
20001934,house,2026-08-25,2014-10-22,ptr,Lou Barletta,20260825T1602Z,backfill
8214211,house,2026-08-25,2014-03-05,ptr,"Garland ""Andy"" Barr",20260825T1602Z,backfill
8213944,house,2026-08-25,2014-01-31,ptr,Gus M. Bilirakis,20260825T1602Z,backfill
9105569,house,2026-08-25,2014-10-27,ptr,Gus M. Bilirakis,20260825T1602Z,backfill
9105721,house,2026-08-25,2014-12-08,ptr,Diane Black,20260825T1602Z,backfill
9105722,house,2026-08-25,2014-12-10,ptr,Diane Black,20260825T1602Z,backfill
9105778,house,2026-08-25,2014-12-22,ptr,Diane Black,20260825T1602Z,backfill
9105798,house,2026-08-25,2015-01-05,ptr,Diane Black,20260825T1602Z,backfill
8213778,house,2026-08-25,2014-01-08,ptr,Diane Black,20260825T1602Z,backfill
8213806,house,2026-08-25,2014-01-13,ptr,Diane Black,20260825T1602Z,backfill
8213900,house,2026-08-25,2014-01-22,ptr,Diane Black,20260825T1602Z,backfill
8214020,house,2026-08-25,2014-02-07,ptr,Diane Black,20260825T1602Z,backfill
8214152,house,2026-08-25,2014-02-20,ptr,Diane Black,20260825T1602Z,backfill
8214213,house,2026-08-25,2014-03-05,ptr,Diane Black,20260825T1602Z,backfill
9105101,house,2026-08-25,2014-03-12,ptr,Diane Black,20260825T1602Z,backfill
8214362,house,2026-08-25,2014-03-28,ptr,Diane Black,20260825T1602Z,backfill
8214530,house,2026-08-25,2014-04-17,ptr,Diane Black,20260825T1602Z,backfill
8215964,house,2026-08-25,2014-07-14,ptr,Diane Black,20260825T1602Z,backfill
8216477,house,2026-08-25,2014-09-04,ptr,Diane Black,20260825T1602Z,backfill
8216478,house,2026-08-25,2014-09-04,ptr,Diane Black,20260825T1602Z,backfill
8216515,house,2026-08-25,2014-09-15,ptr,Diane Black,20260825T1602Z,backfill
9105442,house,2026-08-25,2014-09-29,ptr,Diane Black,20260825T1602Z,backfill
9105543,house,2026-08-25,2014-10-22,ptr,Diane Black,20260825T1602Z,backfill
9105658,house,2026-08-25,2014-11-13,ptr,Diane Black,20260825T1602Z,backfill
8214151,house,2026-08-25,2014-02-26,ptr,Earl Blumenauer,20260825T1602Z,backfill
20000710,house,2026-08-25,2014-04-14,ptr,Earl Blumenauer,20260825T1602Z,backfill
20000800,house,2026-08-25,2014-05-06,ptr,Earl Blumenauer,20260825T1602Z,backfill
20000987,house,2026-08-25,2014-05-20,ptr,Earl Blumenauer,20260825T1602Z,backfill
20001572,house,2026-08-25,2014-08-21,ptr,Earl Blumenauer,20260825T1602Z,backfill
20002073,house,2026-08-25,2014-11-19,ptr,Earl Blumenauer,20260825T1602Z,backfill
20000284,house,2026-08-25,2014-02-07,ptr,John A. Boehner,20260825T1602Z,backfill
20000404,house,2026-08-25,2014-03-04,ptr,John A. Boehner,20260825T1602Z,backfill
