year,doc_id,declarant_name,state_district,disclosure_date,n_pages
2015,9106294,Brian Babin,TX36,2015-04-16,2
2015,9107279,"Garland ""Andy"" Barr",KY06,2015-07-15,1
2015,9107923,"Garland ""Andy"" Barr",KY06,2015-11-18,1
2015,9106404,Dan Benishek,MI01,2015-05-06,8
2015,9106320,Gus M. Bilirakis,FL12,2015-04-16,1
2015,9107245,Gus M. Bilirakis,FL12,2015-07-08,1
2015,9107544,Gus M. Bilirakis,FL12,2015-08-27,2
2015,9108029,Gus M. Bilirakis,FL12,2015-12-10,1
2015,9105971,Diane Black,TN06,2015-02-05,2
2015,9106102,Diane Black,TN06,2015-02-25,3
2015,9106101,Diane Black,TN06,2015-03-02,2
2015,9106213,Diane Black,TN06,2015-03-27,2
2015,9106250,Diane Black,TN06,2015-04-07,2
2015,9106265,Diane Black,TN06,2015-04-13,2
2015,9106293,Diane Black,TN06,2015-04-14,2
2015,9106372,Diane Black,TN06,2015-04-28,2
2015,9106899,Diane Black,TN06,2015-05-28,3
2015,9107123,Diane Black,TN06,2015-06-10,3
2015,9107243,Diane Black,TN06,2015-07-08,2
2015,9107331,Diane Black,TN06,2015-07-21,1
2015,9107348,Diane Black,TN06,2015-07-28,5
2015,9107495,Diane Black,TN06,2015-08-18,1
2015,9107496,Diane Black,TN06,2015-08-18,8
2015,9107551,Diane Black,TN06,2015-08-31,2
2015,9107572,Diane Black,TN06,2015-09-09,2
2015,9107664,Diane Black,TN06,2015-09-25,2
2015,9107696,Diane Black,TN06,2015-10-09,9
2015,9107988,Diane Black,TN06,2015-11-25,2
2015,9108065,Diane Black,TN06,2015-12-15,1
2015,9106131,Rodney Leland Blum,IA01,2015-03-11,1
2015,9107434,Judy Chu,CA27,2015-08-10,2
2015,9107680,Judy Chu,CA27,2015-10-01,2
2015,9108078,Judy Chu,CA27,2015-12-18,1
2015,9105900,Curtis J. Clawson,FL19,2015-01-28,2
2015,9106099,Curtis J. Clawson,FL19,2015-02-25,2
2015,9106319,Curtis J. Clawson,FL19,2015-04-23,2
2015,9107638,Curtis J. Clawson,FL19,2015-09-18,1
2015,9108028,Curtis J. Clawson,FL19,2015-12-07,2
2015,9106554,Steve Cohen,TN09,2015-05-15,3
2015,9106568,Steve Cohen,TN09,2015-05-15,1
2015,9105969,Chris Collins,NY27,2015-02-02,1
2015,9106214,Chris Collins,NY27,2015-03-24,1
2015,9106291,Chris Collins,NY27,2015-04-14,1
2015,9107347,Chris Collins,NY27,2015-07-27,2
2015,9107387,Chris Collins,NY27,2015-08-03,2
2015,9107574,Chris Collins,NY27,2015-09-08,1
2015,9107857,Chris Collins,NY27,2015-11-02,1
2015,9108077,Chris Collins,NY27,2015-12-18,1
2015,9106477,Jim Cooper,TN05,2015-05-08,1
2015,9107278,Ander Crenshaw,FL04,2015-07-10,1
2015,9107215,Carlos Curbelo,FL26,2015-06-30,1
2015,9106290,Peter A. DeFazio,OR04,2015-04-07,1
2015,9105899,John K. Delaney,MD06,2015-01-22,1
2015,9105987,John K. Delaney,MD06,2015-02-10,1
2015,9106071,John K. Delaney,MD06,2015-02-24,1
2015,9106129,John K. Delaney,MD06,2015-03-11,1
2015,9106212,John K. Delaney,MD06,2015-03-24,1
2015,9106289,John K. Delaney,MD06,2015-04-14,1
2015,9106370,John K. Delaney,MD06,2015-04-23,2
2015,9106478,John K. Delaney,MD06,2015-05-12,3
2015,9107083,John K. Delaney,MD06,2015-05-29,3
2015,9107084,John K. Delaney,MD06,2015-05-29,1
2015,9107122,John K. Delaney,MD06,2015-06-10,1
2015,9107202,John K. Delaney,MD06,2015-06-24,1
2015,9107276,John K. Delaney,MD06,2015-07-14,2
2015,9107366,John K. Delaney,MD06,2015-07-29,2
2015,9107432,John K. Delaney,MD06,2015-08-11,3
2015,9107433,John K. Delaney,MD06,2015-08-11,5
2015,9107552,John K. Delaney,MD06,2015-09-03,1
2015,9107575,John K. Delaney,MD06,2015-09-10,3
2015,9107663,John K. Delaney,MD06,2015-09-25,2
2015,9107761,John K. Delaney,MD06,2015-10-20,1
2015,9107825,John K. Delaney,MD06,2015-10-27,1
2015,9107856,John K. Delaney,MD06,2015-11-04,2
2015,9107986,John K. Delaney,MD06,2015-12-01,2
2015,9108027,John K. Delaney,MD06,2015-12-08,1
2015,9106266,Charles W. Dent,PA15,2015-04-13,1
2015,9106479,Charles W. Dent,PA15,2015-05-12,1
2015,9107330,Charles W. Dent,PA15,2015-07-22,1
2015,9106097,Debbie Dingell,MI12,2015-02-26,1
2015,9106174,Debbie Dingell,MI12,2015-03-17,2
2015,9106175,Debbie Dingell,MI12,2015-03-17,1
2015,9106288,Debbie Dingell,MI12,2015-04-16,1
2015,9107855,Debbie Dingell,MI12,2015-11-03,1
2015,9107576,Thomas Earl Emmer,MN06,2015-09-10,1
2015,9107759,Sam Farr,CA20,2015-10-21,1
2015,9106064,"Charles J. ""Chuck"" Fleischmann",TN03,2015-02-12,3
2015,9106173,"Charles J. ""Chuck"" Fleischmann",TN03,2015-03-18,1
2015,9106287,"Charles J. ""Chuck"" Fleischmann",TN03,2015-04-16,2
2015,9106480,"Charles J. ""Chuck"" Fleischmann",TN03,2015-05-13,2
2015,9107513,"Charles J. ""Chuck"" Fleischmann",TN03,2015-08-20,2
2015,9107637,"Charles J. ""Chuck"" Fleischmann",TN03,2015-09-17,1
2015,9107824,"Charles J. ""Chuck"" Fleischmann",TN03,2015-10-27,2
2015,9107921,"Charles J. ""Chuck"" Fleischmann",TN03,2015-11-17,3
2015,9105968,Rodney P. Frelinghuysen,NJ11,2015-02-03,1
2015,9106286,Rodney P. Frelinghuysen,NJ11,2015-04-14,1
2015,9106567,Rodney P. Frelinghuysen,NJ11,2015-05-18,1
