year,n_ptr,n_lisible,n_non_lisible,n_txns_digital,n_txns_final,n_declarants,note_quiver
2014,667,285,382,1502,9226,99,cf. 07c-07h + RAPPORT_QUALITE §6
2015,690,390,300,3657,8081,99,cf. 07c-07h + RAPPORT_QUALITE §6
2016,742,450,292,3518,5972,103,cf. 07c-07h + RAPPORT_QUALITE §6
2017,777,506,271,3483,10879,108,cf. 07c-07h + RAPPORT_QUALITE §6
2018,809,533,276,4143,13437,97,cf. 07c-07h + RAPPORT_QUALITE §6
2019,670,520,150,5191,11988,103,cf. 07c-07h + RAPPORT_QUALITE §6
2020,722,597,125,6886,15677,111,cf. 07c-07h + RAPPORT_QUALITE §6
2021,674,565,109,5457,12273,120,cf. 07c-07h + RAPPORT_QUALITE §6
2022,613,505,108,3601,14501,110,cf. 07c-07h + RAPPORT_QUALITE §6
2023,457,388,69,4161,10486,101,cf. 07c-07h + RAPPORT_QUALITE §6
2024,442,394,48,2694,8971,98,cf. 07c-07h + RAPPORT_QUALITE §6
2025,510,449,61,7577,13644,107,cf. 07c-07h + RAPPORT_QUALITE §6
2026,262,235,27,2300,6090,84,cf. 07c-07h + RAPPORT_QUALITE §6
