bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
M001157,Michael T. McCaul,336,389,249,87,140,"AAIN,ACC,ACTV1,ADT1,AEF,AGN1,AGS,AIDA1,ALCO,ALTR1,AMD,AMH1,AMKR,ANR,ANRO,ANTE,AONC,APCX,ASNS,ATHL,ATW,AUMA,AVP,AXR,AZTA,BCML,BRK_A,BT,BZH,CAAP,CAJ,CAN,CARM,CAUD,CION,CISS,CRHC,CRVO,CTCT,DCBO,DD1,DEST,DG1,DGI,DHOM,DNB1,DST,EDAC,EFTD,EIS,ELA,ELN,ELNK,ENERQ,ERA,ERKA,EURO,EVRI,FES,FFKT,FSCI,FTI1,GE_W,GLNG,GOGO,HACH,HDNG,HFWA,HPE,HSKA,HTEI,INTU,INZ,IXHL,JET,KEN,KMB_W,KMX,LAES,LOLI,MARK,MCDT,MCP,MEAS,MITY,MPET,MR1,MRD,MXA,NABL,NAIT,NATL,NDRE,NESC,NKE,NOG,NP,NST,NUAN,NUE,NVEC,ONCO,PDLI,PLI1,PSEC,PTMK,PVH,RBZ,RGIDQ,RSH,RUK,SARAQ,SBIG,SHO_P_I,SHPG,SPH,SPOR,SPRI1,STHO,STNLW,STZ_B,SYRG,TASR,TCB,THX,TMH,TPTA,TROX,TTM_R,TWX,TX1,UCIA,UHR,UN,UNCA,UNTD1,USG,VFC,VTOL,VXRT"
S001190,Bradley S. Schneider,169,6,6,163,0,
F000462,Lois Frankel,151,130,130,21,0,
F000461,Bill Flores,66,66,66,0,0,
C001101,Katherine M. Clark,68,68,68,0,0,
H001051,Richard L. Hanna,68,68,68,0,0,
S000583,Lamar Smith,76,76,76,0,0,
C001062,K. Michael Conaway,70,70,70,0,0,
D000617,Suzan K. DelBene,35,42,32,3,10,"4491235,4824778,5522714,6320058,6897143,B0T4J94,B13WZ26,B5NC0D0,BN7Q3G8,OSRN DE"
H000636,Rubén Hinojosa,25,25,25,0,0,
P000608,Scott H. Peters,7,2,2,5,0,
W000413,Ed Whitfield,40,28,27,13,1,USB$N
G000551,Raúl M. Grijalva,40,38,38,2,0,
L000579,Alan S. Lowenthal,29,30,29,0,1,EP$C
O000169,William L. Owens,28,28,28,0,0,
R000011,Nick J. Rahall,24,24,24,0,0,
S001148,Michael K. Simpson,31,32,31,0,1,CPE$A
F000450,Virginia Foxx,25,23,23,2,0,
D000355,John D. Dingell,22,7,7,15,0,
F000451,Michael G. Fitzpatrick,22,22,22,0,0,
Y000063,Kevin Yoder,19,6,6,13,0,
G000563,Bob Gibbs,14,14,14,0,0,
B000589,John A. Boehner,19,19,19,0,0,
M001180,David B. McKinley,20,18,18,2,0,
N000182,Randy Neugebauer,2,2,2,0,0,
M000404,Jim McDermott,1,1,1,0,0,
C001046,Eric Cantor,10,10,10,0,0,
M001182,Mick Mulvaney,9,9,9,0,0,
O000170,Beto O'Rourke,11,11,11,0,0,
P000197,Nancy Pelosi,12,12,12,0,0,
M000725,George Miller,7,2,2,5,0,
B001274,Mo Brooks,4,4,4,0,0,
P000523,David E. Price,11,11,11,0,0,
B000574,Earl Blumenauer,1,2,1,0,1,PART INTEREST
G000535,Luis V. Gutierrez,3,1,1,2,0,
Y000062,John A. Yarmuth,6,7,6,0,1,USB$N
D000399,Lloyd Doggett,2,2,2,0,0,
B001248,Michael C. Burgess,6,6,6,0,0,
C001066,Kathy Castor,4,4,4,0,0,
B001269,Lou Barletta,4,4,4,0,0,
C001078,Gerald E. Connolly,1,1,1,0,0,
L000559,James R. Langevin,4,3,3,1,0,
S000480,Louise McIntosh Slaughter,1,1,1,0,0,
S001189,Austin Scott,2,2,2,0,0,
F000030,Sam Farr,1,1,1,0,0,
M001188,Grace Meng,1,2,1,0,1,3%
W000815,Brad R. Wenstrup,1,1,1,0,0,
A000210,Robert E. Andrews,1,1,1,0,0,
D000598,Susan A. Davis,1,1,1,0,0,
R000570,Paul Ryan,1,1,1,0,0,
