BioGuideID,Name,ticker,traded,Transaction
D000617,Suzan K. Delbene,B1WSP14,2015-11-17,Purchase
C001103,Earl Leroy Carter,DUE 12/01/27,2015-09-10,Purchase
C001103,Earl Leroy Carter,DUE 04/01/27,2015-08-25,Purchase
C001103,Earl Leroy Carter,DUE 07/01/27,2015-08-14,Purchase
Y000062,John A. Yarmuth,USB$N,2015-07-31,Purchase
B001260,Vern Buchanan,CTFS PARTN,2015-06-19,Sale
P000608,Scott H. Peters,PMFG,2015-05-11,Sale
P000608,Scott H. Peters,PMFG,2015-05-08,Sale
W000413,Ed Whitfield,USB$N,2015-04-28,Sale
S001156,Linda T. Sánchez,RTNB,2015-04-21,Purchase
D000617,Suzan K. Delbene,B0T4J94,2015-04-15,Sale
T000475,David A. Trott,NGLS,2015-03-27,Purchase
D000617,Suzan K. Delbene,BN7Q3G8,2015-03-26,Sale
T000475,David A. Trott,APL,2015-03-03,Purchase
W000797,Debbie Wasserman Schultz,SGBK,2015-02-23,Exchange
T000475,David A. Trott,WPZ,2015-02-02,Purchase
P000608,Scott H. Peters,APAGF,2015-01-30,Sale
B000589,John A. Boehner,NYSE: COV,2015-01-27,Exchange
Y000062,John A. Yarmuth,USB$N,2015-01-13,Sale
W000809,Steve Womack,FOR,2014-05-02,Purchase
S000250,Pete Sessions,BCE,2014-04-23,Exchange
S000250,Pete Sessions,BCE,2013-05-31,Exchange
