doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20007551,Banks,James E.,P,IN03,7/6/2017,2017-07-06,James E. Banks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007551.pdf
20006832,Barletta,Lou,P,PA11,3/1/2017,2017-03-01,Lou Barletta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006832.pdf
9111826,Bilirakis,Gus M.,P,FL12,9/26/2017,2017-09-26,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111826.pdf
9112243,Bilirakis,Gus M.,P,FL12,1/9/2018,2018-01-09,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9112243.pdf
9110430,Black,Diane,P,TN06,2/7/2017,2017-02-07,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110430.pdf
9110596,Black,Diane,P,TN06,3/28/2017,2017-03-28,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110596.pdf
9110713,Black,Diane,P,TN06,5/5/2017,2017-05-05,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110713.pdf
9110837,Black,Diane,P,TN06,5/23/2017,2017-05-23,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110837.pdf
9111448,Black,Diane,P,TN06,7/17/2017,2017-07-17,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111448.pdf
9111848,Black,Diane,P,TN06,10/2/2017,2017-10-02,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111848.pdf
9111877,Black,Diane,P,TN06,10/11/2017,2017-10-11,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111877.pdf
9112023,Black,Diane,P,TN06,11/8/2017,2017-11-08,Diane Black,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9112023.pdf
20007916,Blum,Rodney Leland,P,IA01,8/31/2017,2017-08-31,Rodney Leland Blum,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007916.pdf
20006495,Blumenauer,Earl,P,OR03,1/6/2017,2017-01-06,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006495.pdf
20006724,Blumenauer,Earl,P,OR03,2/8/2017,2017-02-08,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006724.pdf
20006801,Blumenauer,Earl,P,OR03,2/23/2017,2017-02-23,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006801.pdf
20006949,Blumenauer,Earl,P,OR03,3/20/2017,2017-03-20,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006949.pdf
20007179,Blumenauer,Earl,P,OR03,5/2/2017,2017-05-02,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007179.pdf
20007349,Blumenauer,Earl,P,OR03,5/23/2017,2017-05-23,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007349.pdf
20007383,Blumenauer,Earl,P,OR03,6/1/2017,2017-06-01,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007383.pdf
20007881,Blumenauer,Earl,P,OR03,8/22/2017,2017-08-22,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007881.pdf
20007945,Blumenauer,Earl,P,OR03,9/12/2017,2017-09-12,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007945.pdf
20008424,Blumenauer,Earl,P,OR03,11/20/2017,2017-11-20,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008424.pdf
20008454,Blumenauer,Earl,P,OR03,11/28/2017,2017-11-28,Earl Blumenauer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008454.pdf
20007207,Blunt Rochester,Lisa,P,DE00,5/5/2017,2017-05-05,Lisa Blunt Rochester,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007207.pdf
20007570,Blunt Rochester,Lisa,P,DE00,7/5/2017,2017-07-05,Lisa Blunt Rochester,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007570.pdf
20007733,Blunt Rochester,Lisa,P,DE00,8/3/2017,2017-08-03,Lisa Blunt Rochester,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007733.pdf
20007972,Blunt Rochester,Lisa,P,DE00,9/12/2017,2017-09-12,Lisa Blunt Rochester,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007972.pdf
20008520,Blunt Rochester,Lisa,P,DE00,12/7/2017,2017-12-07,Lisa Blunt Rochester,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008520.pdf
20006641,Brooks,Mo,P,AL05,1/31/2017,2017-01-31,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006641.pdf
20006768,Brooks,Mo,P,AL05,2/16/2017,2017-02-16,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006768.pdf
20006992,Brooks,Mo,P,AL05,4/3/2017,2017-04-03,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006992.pdf
20007279,Brooks,Mo,P,AL05,5/13/2017,2017-05-13,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007279.pdf
20007410,Brooks,Mo,P,AL05,6/5/2017,2017-06-05,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007410.pdf
20007636,Brooks,Mo,P,AL05,7/16/2017,2017-07-16,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007636.pdf
20007835,Brooks,Mo,P,AL05,8/17/2017,2017-08-17,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007835.pdf
20008301,Brooks,Mo,P,AL05,10/30/2017,2017-10-30,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008301.pdf
20008596,Brooks,Mo,P,AL05,12/21/2017,2017-12-21,Mo Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008596.pdf
20007073,Brooks,Susan W.,P,IN05,5/3/2017,2017-05-03,Susan W. Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007073.pdf
20007640,Brooks,Susan W.,P,IN05,7/17/2017,2017-07-17,Susan W. Brooks,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007640.pdf
20006600,Buchanan,Vern,P,FL16,1/23/2017,2017-01-23,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006600.pdf
20006797,Buchanan,Vern,P,FL16,2/23/2017,2017-02-23,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006797.pdf
20007101,Buchanan,Vern,P,FL16,4/21/2017,2017-04-21,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007101.pdf
20007407,Buchanan,Vern,P,FL16,6/5/2017,2017-06-05,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007407.pdf
20008250,Buchanan,Vern,P,FL16,10/20/2017,2017-10-20,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008250.pdf
20008451,Buchanan,Vern,P,FL16,11/28/2017,2017-11-28,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008451.pdf
20008588,Buchanan,Vern,P,FL16,12/20/2017,2017-12-20,Vern Buchanan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008588.pdf
20007519,Buck,Kenneth R.,P,CO04,6/23/2017,2017-06-23,Kenneth R. Buck,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007519.pdf
20008310,Buck,Kenneth R.,P,CO04,11/2/2017,2017-11-02,Kenneth R. Buck,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008310.pdf
20008536,Buck,Kenneth R.,P,CO04,12/11/2017,2017-12-11,Kenneth R. Buck,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008536.pdf
20005631,Bustos,Cheri,P,IL17,2/9/2017,2017-02-09,Cheri Bustos,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20005631.pdf
20007260,Bustos,Cheri,P,IL17,5/15/2017,2017-05-15,Cheri Bustos,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007260.pdf
20006540,Castor,Kathy,P,FL14,1/11/2017,2017-01-11,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006540.pdf
20006751,Castor,Kathy,P,FL14,2/15/2017,2017-02-15,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006751.pdf
20006946,Castor,Kathy,P,FL14,3/20/2017,2017-03-20,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006946.pdf
20007192,Castor,Kathy,P,FL14,5/3/2017,2017-05-03,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007192.pdf
20007742,Castor,Kathy,P,FL14,8/4/2017,2017-08-04,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20007742.pdf
20006511,Chu,Judy,P,CA27,1/25/2017,2017-01-25,Judy Chu,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006511.pdf
20006729,Chu,Judy,P,CA27,3/14/2017,2017-03-14,Judy Chu,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20006729.pdf
