bioguide,ticker,date,sense
E000296,CLNS$A,2017-05-23,Sale
E000296,NGLS$A,2017-10-20,Purchase
F000461,II,2017-02-16,Purchase
K000389,44,2017-07-05,Purchase
K000389,AABA,2017-07-17,Sale
K000389,AAON,2017-03-13,Purchase
K000389,ABBV,2017-11-30,Purchase
K000389,ABT,2017-12-05,Purchase
K000389,ADEA,2017-05-02,Purchase
K000389,ADI,2017-12-05,Purchase
K000389,ADM,2017-11-28,Sale
K000389,AEPPZ,2017-05-02,Purchase
K000389,AEUA,2017-07-05,Purchase
K000389,AFA,2017-11-27,Sale
K000389,AFG,2017-05-02,Purchase
K000389,AFG,2017-07-05,Purchase
K000389,AFG,2017-08-18,Sale
K000389,AFG,2017-08-21,Sale
K000389,AFG,2017-09-22,Purchase
K000389,AFG,2017-09-25,Sale
K000389,AFG,2017-10-27,Purchase
K000389,AFG,2017-11-28,Sale
K000389,AFGB,2017-05-08,Sale
K000389,AFL,2017-02-27,Purchase
K000389,AGN,2017-01-23,Purchase
K000389,AGN,2017-08-04,Purchase
K000389,AGN1,2017-03-13,Purchase
K000389,ALGN,2017-11-30,Purchase
K000389,ALLE,2017-01-24,Purchase
K000389,AM,2017-05-04,Purchase
K000389,AMP1,2017-04-03,Purchase
K000389,AMT,2017-01-23,Sale
K000389,AMZN,2017-07-17,Purchase
K000389,AMZN,2017-08-01,Sale
K000389,AMZN,2017-08-04,Sale
K000389,AON,2017-12-05,Purchase
K000389,APTV_W,2017-11-30,Purchase
K000389,ATRN,2017-07-26,Purchase
K000389,ATRN,2017-08-14,Purchase
K000389,ATRN,2017-10-10,Purchase
K000389,AUT,2017-05-02,Purchase
K000389,AUT,2017-11-30,Purchase
K000389,AXS,2017-11-30,Purchase
K000389,AXTA,2017-11-30,Sale
K000389,AZTA,2017-02-27,Sale
K000389,AZTA,2017-04-03,Purchase
K000389,AZTA,2017-05-02,Purchase
K000389,AZTA,2017-11-30,Purchase
K000389,BAC,2017-11-28,Sale
K000389,BARZ1,2017-02-27,Sale
K000389,BARZ1,2017-11-30,Purchase
K000389,BAX,2017-02-08,Sale
K000389,BCPC,2017-02-27,Purchase
K000389,BCPC,2017-04-03,Sale
K000389,BCPC,2017-05-08,Purchase
K000389,BCPC,2017-06-12,Sale
K000389,BCPC,2017-07-17,Purchase
K000389,BCPC,2017-10-27,Purchase
K000389,BCPC,2017-11-30,Purchase
K000389,BEAS,2017-12-05,Purchase
K000389,BEN,2017-12-05,Purchase
K000389,BIIB,2017-11-30,Purchase
K000389,BKNG,2017-05-02,Purchase
K000389,BLK,2017-11-30,Purchase
K000389,BMY,2017-11-30,Purchase
K000389,BRK_B,2017-02-27,Purchase
K000389,BRK_B,2017-04-03,Sale
K000389,BRK_B,2017-06-13,Purchase
K000389,BRK_B,2017-07-05,Purchase
K000389,BRK_B,2017-07-18,Sale
K000389,BRK_B,2017-08-21,Purchase
K000389,BRK_B,2017-11-30,Purchase
K000389,CAG,2017-02-27,Purchase
K000389,CARM,2017-11-30,Purchase
K000389,CB,2017-12-05,Purchase
K000389,CELG,2017-03-13,Purchase
K000389,CFG_P_E,2017-05-02,Purchase
K000389,CHTRQ,2017-11-27,Sale
K000389,CISC,2017-07-05,Purchase
K000389,CL,2017-12-05,Purchase
K000389,CLCO,2017-12-05,Purchase
K000389,CMA,2017-12-05,Purchase
K000389,CMCSK,2017-07-05,Purchase
K000389,CMI,2017-11-28,Sale
K000389,CMS_PC,2017-07-05,Purchase
K000389,CNTY,2017-05-08,Purchase
K000389,CNTY,2017-07-17,Sale
K000389,COF,2017-12-05,Purchase
K000389,COLV,2017-08-15,Purchase
K000389,CRK,2017-01-24,Purchase
K000389,CSX,2017-10-27,Sale
K000389,CTSH,2017-08-07,Purchase
K000389,CVS,2017-11-28,Sale
K000389,CVS,2017-12-05,Purchase
K000389,CXO,2017-06-12,Sale
K000389,CXO,2017-12-05,Purchase
K000389,CYAN,2017-11-30,Purchase
K000389,CZR,2017-06-26,Purchase
K000389,C_WS_A,2017-11-30,Purchase
K000389,DALRQ,2017-05-02,Purchase
K000389,DAN,2017-02-27,Sale
K000389,DCUA,2017-05-02,Purchase
K000389,DCUB,2017-05-02,Purchase
K000389,DHI,2017-12-05,Purchase
K000389,DHR,2017-12-05,Purchase
K000389,DIS,2017-08-18,Purchase
K000389,DIS,2017-11-27,Purchase
K000389,DTY,2017-11-27,Sale
K000389,DTY,2017-11-30,Purchase
K000389,DWDP,2017-12-05,Purchase
K000389,DXLG,2017-11-27,Sale
K000389,EASTW,2017-11-30,Purchase
K000389,EDAC,2017-02-27,Purchase
K000389,EDAC,2017-05-02,Purchase
K000389,EDAC,2017-07-05,Purchase
K000389,EDAC,2017-09-25,Sale
K000389,EDAC,2017-10-27,Purchase
K000389,EDAC,2017-11-28,Purchase
K000389,EDAC,2017-11-30,Purchase
K000389,ELN,2017-08-18,Sale
K000389,ELN,2017-11-28,Sale
K000389,ELPC,2017-11-27,Sale
K000389,ENDG,2017-04-03,Sale
K000389,ENTG,2017-09-27,Sale
K000389,ENTG,2017-10-13,Sale
K000389,ENTG,2017-11-02,Sale
K000389,ENTG,2017-11-10,Sale
K000389,EPTG,2017-02-27,Sale
K000389,EQT,2017-11-28,Purchase
K000389,EQT,2017-11-30,Purchase
K000389,ESRX,2017-05-08,Purchase
K000389,ESS,2017-12-05,Purchase
K000389,EW,2017-12-05,Purchase
K000389,EXC,2017-07-05,Purchase
K000389,EXC,2017-12-05,Purchase
K000389,EXPR,2017-01-24,Purchase
K000389,FB,2017-12-05,Purchase
K000389,FDC,2017-06-26,Purchase
K000389,FI,2017-02-27,Purchase
K000389,FI,2017-04-03,Sale
K000389,FI,2017-05-02,Purchase
K000389,FI,2017-11-27,Sale
K000389,FI,2017-11-30,Purchase
K000389,FSCI,2017-08-04,Purchase
K000389,FSCI,2017-09-25,Purchase
K000389,FSCI,2017-10-24,Purchase
K000389,FSCI,2017-10-27,Sale
K000389,FSCI,2017-11-10,Purchase
K000389,FSCI,2017-11-13,Purchase
K000389,FSCI,2017-11-16,Purchase
K000389,FSCI,2017-11-17,Purchase
K000389,FSCI,2017-11-20,Purchase
K000389,FSCI,2017-11-27,Sale
K000389,FSCI,2017-11-30,Purchase
K000389,GE,2017-07-17,Purchase
K000389,GE,2017-11-28,Sale
K000389,GILD,2017-12-05,Purchase
K000389,GLFD,2017-02-27,Sale
K000389,GLFD,2017-04-03,Purchase
K000389,GLFD,2017-06-12,Sale
K000389,GLFD,2017-09-25,Sale
K000389,GLFD,2017-10-27,Purchase
K000389,GLP,2017-01-01,Sale
K000389,GOOG,2017-01-24,Purchase
K000389,GOOG,2017-05-02,Purchase
K000389,GOOG,2017-11-30,Purchase
K000389,GOOGL,2017-08-01,Purchase
K000389,GS,2017-08-23,Sale
K000389,GSBD,2017-05-11,Purchase
K000389,GWW,2017-11-30,Purchase
K000389,HAL,2017-11-28,Sale
K000389,HBI,2017-08-29,Purchase
K000389,HBI,2017-10-03,Purchase
K000389,HCA,2017-11-27,Purchase
K000389,HEN,2017-02-27,Sale
K000389,HEN,2017-11-30,Purchase
K000389,HES,2017-03-06,Sale
K000389,HES,2017-03-08,Sale
K000389,HFWA,2017-11-30,Purchase
K000389,HLT,2017-12-05,Purchase
K000389,HOLX,2017-11-28,Purchase
K000389,HPQ,2017-08-21,Sale
K000389,HPQ,2017-09-25,Purchase
K000389,HPQ,2017-10-24,Sale
K000389,HPQ,2017-11-27,Purchase
K000389,HPQ_W,2017-11-27,Purchase
K000389,HPQ_W,2017-12-05,Purchase
K000389,HSIC,2017-11-30,Purchase
K000389,ICE,2017-12-05,Purchase
K000389,IGAF,2017-11-30,Purchase
K000389,ILMN,2017-02-01,Sale
K000389,ILMN,2017-12-05,Purchase
K000389,INCY,2017-12-05,Purchase
K000389,IP,2017-11-28,Sale
K000389,IQV,2017-11-27,Purchase
K000389,ITW,2017-12-05,Purchase
K000389,JEC,2017-11-30,Purchase
K000389,JNPR,2017-12-05,Purchase
K000389,KEY,2017-11-28,Purchase
K000389,KMB_W,2017-05-02,Purchase
K000389,KMI1,2017-11-30,Purchase
K000389,KMI_W,2017-07-05,Purchase
K000389,KOSS,2017-11-30,Purchase
K000389,KR,2017-12-05,Purchase
K000389,KT,2017-02-27,Sale
K000389,KT,2017-05-02,Purchase
K000389,KT,2017-07-05,Purchase
K000389,KT,2017-07-17,Purchase
K000389,KT,2017-09-25,Sale
K000389,KT,2017-11-30,Purchase
K000389,LEN_B,2017-11-30,Purchase
K000389,LH,2017-11-30,Purchase
K000389,LLY_WD,2017-08-18,Sale
K000389,LNCB,2017-05-02,Purchase
K000389,LNCB,2017-05-08,Sale
K000389,LNCB,2017-07-17,Sale
K000389,LNCB,2017-08-18,Purchase
K000389,LNCB,2017-08-21,Purchase
K000389,LNCOQ,2017-11-30,Purchase
K000389,LSXMR,2017-11-27,Sale
K000389,LYV,2017-06-09,Sale
K000389,MAS,2017-12-05,Purchase
K000389,MDT,2017-12-05,Purchase
K000389,MET,2017-12-05,Purchase
K000389,MHK,2017-11-30,Purchase
K000389,MIAM,2017-11-30,Purchase
K000389,MNK,2017-12-05,Purchase
K000389,MO,2017-10-27,Purchase
K000389,MOS,2017-02-27,Purchase
K000389,MOS,2017-07-05,Purchase
K000389,MRK,2017-10-05,Purchase
K000389,MS,2017-04-05,Purchase
K000389,MS,2017-10-12,Purchase
K000389,MS,2017-12-05,Purchase
K000389,MTB,2017-11-30,Purchase
K000389,MU,2017-12-05,Purchase
K000389,NAIT,2017-07-17,Purchase
K000389,NAIT,2017-08-18,Sale
K000389,NFLX,2017-11-27,Sale
K000389,NI,2017-12-05,Purchase
K000389,NKE,2017-08-03,Purchase
K000389,NLSN,2017-05-08,Sale
K000389,NLY,2017-07-05,Sale
K000389,NUE,2017-12-05,Purchase
K000389,NWL,2017-11-28,Sale
K000389,OKE,2017-06-28,Sale
K000389,OKE,2017-11-28,Sale
K000389,ORCL,2017-12-05,Purchase
K000389,ORLY,2017-11-30,Purchase
K000389,OSCA,2017-02-01,Sale
K000389,OSCA,2017-02-06,Sale
K000389,OSCA,2017-02-07,Sale
K000389,OSCA,2017-02-09,Sale
K000389,OSCA,2017-02-10,Sale
K000389,OSCA,2017-02-23,Sale
K000389,OSCA,2017-03-01,Sale
K000389,OSCA,2017-03-14,Sale
K000389,OXY,2017-07-17,Sale
K000389,O_P,2017-07-05,Purchase
K000389,PCGU,2017-11-27,Purchase
K000389,PCLN,2017-02-27,Purchase
K000389,PCLN,2017-11-30,Purchase
K000389,PFE,2017-02-13,Purchase
K000389,PFE,2017-09-22,Purchase
K000389,PH,2017-08-21,Sale
K000389,PLD1,2017-11-30,Purchase
K000389,PM,2017-12-05,Purchase
K000389,PPG,2017-09-25,Sale
K000389,PPL,2017-12-05,Purchase
K000389,PRXI,2017-04-03,Purchase
K000389,PRXI,2017-11-30,Purchase
K000389,PTMK,2017-02-27,Sale
