scope,metric,value
digital,common_members,57.0
digital,quiver_amendment_dups,1599.0
digital,ours_tickerizable,2607.0
digital,quiver,2572.0
digital,matched,2563.0
digital,only_quiver,9.0
digital,only_ours,44.0
digital,coverage_pct,99.7
ocr,common_members,3.0
ocr,quiver_amendment_dups,1599.0
ocr,ours_tickerizable,5089.0
ocr,quiver,5668.0
ocr,matched,3932.0
ocr,only_quiver,1736.0
ocr,only_ours,1157.0
ocr,coverage_pct,69.4
both,common_members,59.0
both,quiver_amendment_dups,1599.0
both,ours_tickerizable,7696.0
both,quiver,7955.0
both,matched,6495.0
both,only_quiver,1460.0
both,only_ours,1201.0
both,coverage_pct,81.6
