bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index,provenance,date_confidence,ticker_source,sector_source,years_in_office
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-11,2019-12-31,HSBC,"HSbC Holdings, plc.",Stock,Financials,XLF,Sale (Partial),"$100,001",100001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,0c8da7f02d19323eb8222c97d75348620371333fc734839a0a06b0e5da3be32b,0,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-10,2019-12-31,QUAD,"Quad Graphics, Inc Class A",Stock,Industrials,XLI,Sale (Partial),"$1,001 - $15,000",8000.5,False,SELF,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,29cafbff715df04188e4cb463d16c6199079ffb2b56bb0ff45600ce8e3d8cd2d,0,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-10,2019-12-31,NOK,Nokia Corporation Sponsored,Stock,Information Technology,XLK,Sale (Partial),"$1,001 - $15,000",8000.5,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,fdcf524c302674ad4025fda812804596b6dd22efaef5f2fde5da138705cf5f72,0,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-09,2019-12-31,MTSC,"MTS Systems Corporation   $250,000",Stock,Industrials,XLI,Sale (Partial),"$100,001",100001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,e488ab6240f635d7994f19be87899b7d85b8c3a0440f56f037cf0521ab524788,0,house-pdf-electronic,,,llm,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-09,2019-12-31,MSM,"MSC Industrial direct Company, Inc.   $500,000",Stock,Industrials,XLI,Sale (Partial),"$250,001",250001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,7e7d46800ee7f90a78339d1ab986d862ccad28c433ed0c1bbf05bc1caee94bc8,0,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-09,2019-12-31,LKQ,LKQ Corporation,Stock,Consumer Discretionary,XLY,Sale (Partial),"$100,001",100001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,140dd56fc24328ca1d2533bf8a0052413e1c6220da7639939278711e2dfe0b2e,0,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-09,2019-12-31,KMPR,Kemper Corporation,Stock,Financials,XLF,Sale (Partial),"$250,001",250001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,85856d401a9c67b4b68e271a18c8eb8358b6b476167a19a903c7ea31d9ec07ef,0,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-09,2019-12-31,INFO,"IHS Markit Ltd. Common Shares   $500,000",Stock,Industrials,XLI,Sale (Partial),"$250,001",250001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,f786884f5b8f715606bbf9749e420144f4c211adbfb78bdf9c5e96c3bcc5171e,0,house-pdf-electronic,,,llm,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-11,2019-12-31,HSBC,"HSbC Holdings, plc.",Stock,Financials,XLF,Sale (Partial),"$100,001",100001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,0c8da7f02d19323eb8222c97d75348620371333fc734839a0a06b0e5da3be32b,1,house-pdf-electronic,,,yfinance,2
G000584,Greg Gianforte,house,Republican,MT00,,False,2019-12-10,2019-12-31,HSBC,"HSbC Holdings, plc.",Stock,Financials,XLF,Sale (Partial),"$15,001",15001.0,False,JT,20013827,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20013827.pdf,d3b8d34a0448470767622f78992120617081ae5cd6ff8f305cd593bf7e0f1012,0,house-pdf-electronic,,,yfinance,2
