bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,12,2815,2998,-183,concordant
M001157,Michael T. McCaul,10,2707,2128,579,ocr>=quiver
R000582,David P. Roe,11,743,0,743,quiver_sans_donnee
R000607,Francis Rooney,12,167,0,167,quiver_sans_donnee
S001180,Kurt Schrader,8,146,0,146,quiver_sans_donnee
L000564,Doug Lamborn,7,74,0,74,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",8,66,0,66,quiver_sans_donnee
W000812,Ann Wagner,8,12,0,12,quiver_sans_donnee
K000379,Joseph P. Kennedy,6,11,0,11,quiver_sans_donnee
G000591,Michael Patrick Guest,2,7,0,7,quiver_sans_donnee
L000557,John B. Larson,2,2,0,2,quiver_sans_donnee
L000576,Billy Long,2,2,0,2,quiver_sans_donnee
B001281,Joyce Beatty,1,1,0,1,quiver_sans_donnee
R000395,Harold Dallas Rogers,1,1,0,1,quiver_sans_donnee
S001150,Adam B. Schiff,1,1,0,1,quiver_sans_donnee
