bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
G000584,Greg Gianforte,501,0,501,False,quiver_sans_donnee
P000616,Dean Phillips,474,403,71,False,nous_plus
L000590,Susie Lee,424,425,-1,False,quiver_plus_a_revoir
T000479,Nicholas Van Taylor,400,376,24,False,nous_plus
C001123,Gilbert Cisneros,382,373,9,False,nous_plus
G000583,Josh Gottheimer,310,311,-1,False,quiver_plus_a_revoir
L000579,Alan S. Lowenthal,234,207,27,False,nous_plus
F000462,Lois Frankel,150,150,0,False,concordant
B001292,Donald Sternoff Beyer,147,119,28,False,nous_plus
F000461,Bill Flores,135,121,14,False,nous_plus
M001180,David B. McKinley,131,131,0,False,concordant
C001062,K. Michael Conaway,129,93,36,False,nous_plus
H001082,Kevin Hern,119,66,53,False,nous_plus
S001207,Mikie Sherrill,115,114,1,False,nous_plus
L000559,James R. Langevin,114,115,-1,False,quiver_plus_a_revoir
M001193,Thomas MacArthur,108,105,3,False,nous_plus
F000468,Elizabeth Fletcher,99,101,-2,False,quiver_plus_a_revoir
C001080,Judy Chu,95,3,92,False,nous_plus
F000450,Virginia Foxx,78,78,0,False,concordant
P000608,Scott H. Peters,77,17,60,False,nous_plus
J000295,David P. Joyce,63,55,8,False,nous_plus
C001101,Katherine M. Clark,62,49,13,False,nous_plus
B000574,Earl Blumenauer,58,44,14,True,nous_plus
S001190,Bradley S. Schneider,47,47,0,False,concordant
L000397,Zoe Lofgren,43,13,30,False,nous_plus
T000475,David A. Trott,43,27,16,False,nous_plus
D000617,Suzan K. DelBene,41,11,30,False,nous_plus
M001199,Brian Mast,38,38,0,False,concordant
B001303,Lisa Blunt Rochester,37,0,37,False,quiver_sans_donnee
W000800,Peter Welch,35,0,35,False,quiver_sans_donnee
D000628,"Neal Patrick MD, Facs Dunn",29,0,29,False,quiver_sans_donnee
R000609,John Rutherford,28,28,0,False,concordant
D000624,Debbie Dingell,27,22,5,False,nous_plus
G000563,Bob Gibbs,24,24,0,False,concordant
M000087,Carolyn B. Maloney,24,0,24,False,quiver_sans_donnee
D000399,Lloyd Doggett,20,20,0,False,concordant
Y000062,John A. Yarmuth,20,20,0,False,concordant
C001068,Steve Cohen,19,19,0,False,concordant
B001274,Mo Brooks,19,7,12,False,nous_plus
W000804,Robert J. Wittman,19,19,0,False,concordant
R000583,Thomas J. Rooney,18,12,6,False,nous_plus
L000581,Brenda Lulenar Lawrence,18,18,0,False,concordant
B001260,Vern Buchanan,18,0,18,False,quiver_sans_donnee
S001213,Bryan George Steil,14,7,7,False,nous_plus
E000296,Dwight Evans,14,14,0,False,concordant
B001286,Cheri Bustos,13,12,1,False,nous_plus
P000593,Ed Perlmutter,13,13,0,False,concordant
D000610,Theodore E. Deutch,12,3,9,False,nous_plus
P000523,David E. Price,12,8,4,False,nous_plus
P000197,Nancy Pelosi,11,8,3,False,nous_plus
M001198,Roger W. Marshall,10,0,10,False,quiver_sans_donnee
D000598,Susan A. Davis,10,10,0,False,concordant
S001199,Lloyd K. Smucker,9,9,0,False,concordant
S000583,Lamar Smith,8,8,0,False,concordant
R000612,John W. Rose,8,8,0,False,concordant
C001103,Earl Leroy Carter,7,6,1,False,nous_plus
V000108,Peter J. Visclosky,6,6,0,False,concordant
A000367,Justin Amash,6,6,0,False,concordant
G000588,Anthony E. Gonzalez,6,3,3,False,nous_plus
K000378,Adam Kinzinger,5,5,0,False,concordant
C001078,Gerald E. Connolly,5,5,0,False,concordant
P000597,Chellie Pingree,4,0,4,False,quiver_sans_donnee
C001066,Kathy Castor,4,4,0,False,concordant
R000603,David Cheston Rouzer,4,4,0,False,concordant
S001216,Kim Schrier,3,3,0,False,concordant
R000597,Tom Rice,3,3,0,False,concordant
S001189,Austin Scott,3,3,0,False,concordant
R000616,Harley E. Rouda,3,3,0,False,concordant
J000294,Hakeem S. Jeffries,2,1,1,False,nous_plus
P000034,Frank Pallone,2,2,0,False,concordant
B001284,Susan W. Brooks,2,0,2,False,quiver_sans_donnee
R000608,Jacky Rosen,2,0,2,False,quiver_sans_donnee
F000449,Jeff Fortenberry,2,0,2,False,quiver_sans_donnee
M001206,Joseph D. Morelle,2,2,0,False,concordant
W000806,Daniel Webster,2,0,2,False,quiver_sans_donnee
B001294,Rodney Leland Blum,1,1,0,False,concordant
W000797,Debbie Wasserman Schultz,1,1,0,False,concordant
W000810,Rob Woodall,1,1,0,False,concordant
L000566,Robert E. Latta,1,1,0,False,concordant
S001214,W. Greg Steube,1,1,0,False,concordant
S001148,Michael K. Simpson,1,0,1,False,quiver_sans_donnee
C001105,Barbara J Honorable Comstock,1,1,0,False,concordant
C001124,TJ John (Tj) Cox,1,0,1,False,quiver_sans_donnee
O000171,Tom O'Halleran,1,1,0,False,concordant
N000147,Eleanor Holmes Norton,1,0,1,False,quiver_sans_donnee
M001210,Greg Francis Murphy,1,0,1,False,quiver_sans_donnee
R000598,Keith J. Rothfus,1,1,0,False,concordant
K000389,Ro Khanna,0,2998,-2998,True,manquant_papier
M001157,Michael T. McCaul,0,2128,-2128,True,manquant_papier
