doc_id,nous,semaine1,delta
20012398,3,3,0
20011194,1,1,0
20012449,1,1,0
20011705,3,3,0
20011924,3,3,0
20012285,1,1,0
20012539,4,4,0
20011534,1,1,0
20011154,1,1,0
20011948,2,2,0
20011952,1,1,0
20011679,1,1,0
20011382,1,1,0
20011172,3,3,0
20012297,1,1,0
20011153,1,1,0
20012422,1,1,0
20012114,1,1,0
20013807,1,1,0
20011728,2,2,0
20012235,2,2,0
20011859,2,2,0
20011830,1,1,0
20011252,1,1,0
20011440,2,2,0
20013813,1,1,0
20012343,1,1,0
20011302,1,1,0
20011804,1,1,0
20012674,2,2,0
20012121,2,2,0
20012278,1,1,0
20012725,1,1,0
20011768,2,2,0
20011328,2,2,0
20012685,4,4,0
20012159,1,1,0
20012569,1,0,1
20012670,1,0,1
20012141,1,0,1
20012142,1,0,1
20011436,1,0,1
20012143,1,0,1
20011396,2,1,1
20011348,1,0,1
20011364,1,0,1
20011279,1,0,1
20012553,1,0,1
20011283,1,0,1
20012249,1,0,1
20011311,1,0,1
20011312,1,0,1
20012238,1,0,1
20012232,2,1,1
20011344,1,0,1
20012202,1,0,1
20012183,1,0,1
20012568,1,0,1
20011354,1,0,1
20011359,1,0,1
20012175,1,0,1
20011377,2,1,1
20011446,1,0,1
20011338,3,2,1
20012112,1,0,1
20011949,2,1,1
20011694,1,0,1
20011696,1,0,1
20011929,1,0,1
20011923,1,0,1
20011739,1,0,1
20011745,1,0,1
20011922,1,0,1
20011761,1,0,1
20011777,1,0,1
20011778,1,0,1
20011790,1,0,1
20011913,2,1,1
20011898,1,0,1
20011896,1,0,1
20012587,4,3,1
20011878,1,0,1
20011872,1,0,1
20011828,1,0,1
20012639,1,0,1
20011953,1,0,1
20011954,1,0,1
20011650,3,2,1
20011466,1,0,1
20011472,1,0,1
20011485,1,0,1
20011504,1,0,1
20011505,1,0,1
20012705,2,1,1
20012084,1,0,1
20012082,1,0,1
20012051,1,0,1
20011448,1,0,1
20011556,1,0,1
20012034,1,0,1
20011589,1,0,1
20012028,1,0,1
20011599,1,0,1
20011622,1,0,1
20011625,1,0,1
20012643,1,0,1
20011642,1,0,1
20011955,2,1,1
20012044,3,2,1
20012269,1,0,1
20012598,1,0,1
20012714,1,0,1
20012450,1,0,1
20013770,2,1,1
20011133,1,0,1
20012441,1,0,1
20011127,2,1,1
20013771,1,0,1
20012346,1,0,1
20010996,1,0,1
20010997,1,0,1
20012392,1,0,1
20011107,2,1,1
20013775,1,0,1
20013793,1,0,1
20011010,1,0,1
20011012,1,0,1
20013789,1,0,1
20011020,1,0,1
20011058,1,0,1
20011070,5,4,1
20013783,1,0,1
20012404,1,0,1
20011078,1,0,1
20012403,1,0,1
20010968,1,0,1
20012414,1,0,1
20012423,1,0,1
20013782,1,0,1
20011093,3,2,1
20011095,1,0,1
20012424,1,0,1
20012542,1,0,1
20012400,1,0,1
20012340,1,0,1
20010974,1,0,1
20012451,2,1,1
20012544,1,0,1
20011197,1,0,1
20012473,1,0,1
20010930,1,0,1
20012276,1,0,1
20010925,1,0,1
20011195,1,0,1
20010924,2,1,1
20013812,1,0,1
20012504,1,0,1
20012496,1,0,1
20011246,1,0,1
20008955,1,0,1
20007920,1,0,1
20011241,1,0,1
20011191,1,0,1
20011196,1,0,1
20012454,1,0,1
20012546,1,0,1
20012288,3,2,1
20011180,1,0,1
20010942,1,0,1
20010941,2,1,1
20012457,4,2,2
20013816,2,0,2
20011724,2,0,2
20011720,2,0,2
20011985,4,2,2
20012586,2,0,2
20011965,2,0,2
20011920,2,0,2
20012589,5,3,2
20011639,2,0,2
20012524,2,0,2
20012519,3,1,2
20011796,2,0,2
20010926,4,2,2
20011937,2,0,2
20011767,2,0,2
20011669,2,0,2
20010995,3,1,2
20011006,2,0,2
20011788,2,0,2
20012623,2,0,2
20012466,2,0,2
20011595,2,0,2
20011594,2,0,2
20011551,2,0,2
20013784,2,0,2
20012665,4,2,2
20011222,2,0,2
20012694,2,0,2
20012115,2,0,2
20011201,2,0,2
20011126,2,0,2
20012596,2,0,2
20012286,2,0,2
20012571,4,2,2
20011059,2,0,2
20011132,2,0,2
20011134,2,0,2
20011387,3,1,2
20011383,2,0,2
20011136,2,0,2
20012746,3,1,2
20012164,2,0,2
20011189,2,0,2
20011128,2,0,2
20012110,2,0,2
20011459,3,1,2
20012556,3,1,2
20011581,3,1,2
20011256,3,1,2
20012263,2,0,2
20012270,6,4,2
20011247,2,0,2
20012273,4,2,2
20011543,2,0,2
20012245,4,2,2
20012305,2,0,2
20012664,4,2,2
20012087,3,1,2
20011096,2,0,2
20011483,2,0,2
20011309,7,5,2
20012107,2,0,2
20012250,3,0,3
20012274,3,0,3
20012247,3,0,3
20011860,3,0,3
20012591,3,0,3
20012208,3,0,3
20012292,5,2,3
20012125,3,0,3
20012309,3,0,3
20012580,3,0,3
20012582,3,0,3
20012014,3,0,3
20011988,3,0,3
20012413,4,1,3
20012069,3,0,3
20012070,3,0,3
20011963,3,0,3
20011918,4,1,3
20012083,3,0,3
20012397,4,1,3
20012395,5,2,3
20011938,3,0,3
20012382,4,1,3
20012377,5,2,3
20011936,3,0,3
20012122,3,0,3
20011928,3,0,3
20012431,3,0,3
20011832,3,0,3
20011689,4,1,3
20011470,3,0,3
20011699,3,0,3
20011552,5,2,3
20011692,3,0,3
20010935,4,1,3
20011369,3,0,3
20011381,4,1,3
20011386,3,0,3
20010938,4,1,3
20011339,3,0,3
20012688,3,0,3
20011621,3,0,3
20011035,5,2,3
20011444,3,0,3
20011457,3,0,3
20011507,5,2,3
20011509,7,4,3
20011598,5,2,3
20010976,3,0,3
20011416,8,5,3
20012693,4,1,3
20013786,4,1,3
20011703,3,0,3
20011160,3,0,3
20011831,3,0,3
20012607,6,3,3
20011793,6,3,3
20011243,3,0,3
20011261,3,0,3
20012621,3,0,3
20011561,3,0,3
20011276,5,2,3
20011708,3,0,3
20011282,3,0,3
20012448,5,1,4
20012062,4,0,4
20012068,4,0,4
20011109,5,1,4
20012261,4,0,4
20012307,4,0,4
20012390,5,1,4
20011244,4,0,4
20011108,4,0,4
20013776,6,2,4
20012558,4,0,4
20012686,4,0,4
20012127,4,0,4
20011055,4,0,4
20012170,4,0,4
20012709,4,0,4
20011455,4,0,4
20011833,6,2,4
20011611,4,0,4
20010939,5,1,4
20012662,4,0,4
20010967,4,0,4
20011553,4,0,4
20011996,4,0,4
20011691,4,0,4
20011758,4,0,4
20011911,7,3,4
20011664,5,1,4
20010270,4,0,4
20012039,7,3,4
20012035,5,1,4
20011856,4,0,4
20011192,7,2,5
20011835,6,1,5
20011352,5,0,5
20011693,5,0,5
20011139,6,1,5
20011701,6,1,5
20011308,6,1,5
20013825,5,0,5
20011285,5,0,5
20011704,5,0,5
20012306,7,2,5
20011873,8,3,5
20011759,6,1,5
20011897,7,2,5
20012222,7,2,5
20012355,5,0,5
20012353,8,3,5
20011036,5,0,5
20013806,8,3,5
20011659,5,0,5
20012470,5,0,5
20012040,7,2,5
20011500,5,0,5
20012663,5,0,5
20012439,6,1,5
20011373,7,1,6
20011916,10,4,6
20011583,7,1,6
20011757,8,2,6
20012330,11,5,6
20011124,6,0,6
20011114,6,0,6
20012024,9,3,6
20012005,8,2,6
20012167,6,0,6
20012043,6,0,6
20011362,7,1,6
20012144,6,0,6
20012239,12,6,6
20011343,7,1,6
20011048,6,0,6
20013815,6,0,6
20011113,11,4,7
20011346,8,1,7
20010972,8,1,7
20010982,7,0,7
20012604,8,1,7
20013803,8,1,7
20011284,7,0,7
20011193,7,0,7
20011219,9,2,7
20011791,8,1,7
20011310,9,2,7
20011017,7,0,7
20011420,8,1,7
20011033,11,4,7
20012610,10,3,7
20011047,8,0,8
20012420,12,4,8
20012386,14,6,8
20012405,8,0,8
20010991,8,0,8
20012379,8,0,8
20012474,9,1,8
20012179,9,1,8
20011632,8,0,8
20012354,8,0,8
20011546,13,5,8
20012153,8,0,8
20012700,8,0,8
20012722,8,0,8
20011646,9,1,8
20011508,8,0,8
20011700,13,5,8
20012549,8,0,8
20012736,8,0,8
20011935,9,1,8
20012498,10,2,8
20011092,10,1,9
20011082,9,0,9
20012438,9,0,9
20012655,13,4,9
20012561,11,2,9
20011351,10,1,9
20012739,16,7,9
20011982,12,3,9
20011156,9,0,9
20012072,12,3,9
20012349,10,1,9
20012499,11,1,10
20011456,10,0,10
20011418,14,4,10
20012105,17,7,10
20011523,11,0,11
20012572,15,4,11
20011612,19,8,11
20010945,11,0,11
20011085,14,3,11
20011158,14,3,11
20011805,11,0,11
20011461,11,0,11
20011984,14,2,12
20011329,16,4,12
20012727,12,0,12
20011103,12,0,12
20012735,19,6,13
20007477,18,5,13
20011855,17,4,13
20012318,14,1,13
20011072,15,2,13
20012240,13,0,13
20010988,16,2,14
20011882,28,14,14
20011169,14,0,14
20012750,16,1,15
20012023,15,0,15
20011187,17,2,15
20011186,17,1,16
20012581,19,3,16
20012180,20,4,16
20012046,17,1,16
20010922,19,3,16
20012595,21,5,16
20011847,20,4,16
20012126,27,10,17
20011820,19,2,17
20012554,21,4,17
20011013,17,0,17
20011227,18,0,18
20011843,18,0,18
20011135,18,0,18
20011286,19,0,19
20011685,19,0,19
20012445,24,5,19
20012227,20,1,19
20011005,19,0,19
20012430,25,5,20
20011624,26,6,20
20012053,29,8,21
20012111,33,12,21
20011434,21,0,21
20011623,21,0,21
20011398,24,2,22
20013827,27,5,22
20012619,26,4,22
20012262,33,10,23
20012566,32,9,23
20011607,38,13,25
20011262,44,19,25
20011447,35,9,26
20011063,30,4,26
20011087,34,8,26
20011203,42,16,26
20011263,28,2,26
20012328,27,0,27
20011170,34,7,27
20011335,30,3,27
20012702,32,4,28
20011260,39,10,29
20012677,40,10,30
20012443,33,1,32
20011157,55,21,34
20011115,35,0,35
20011641,44,7,37
20010919,45,8,37
20011510,51,14,37
20011695,41,3,38
20010971,39,0,39
20011814,54,15,39
20012726,47,7,40
20011980,47,5,42
20011797,51,9,42
20011105,58,14,44
20011821,48,3,45
20012253,72,24,48
20011411,75,25,50
20012436,73,23,50
20011435,80,28,52
20011395,58,5,53
20010918,82,28,54
20008517,63,8,55
20012295,71,5,66
20012476,83,17,66
20011106,100,33,67
20010975,107,35,72
20012723,139,62,77
20011886,103,16,87
20011039,147,31,116
20011315,286,81,205
