bioguide_id,name,docs,n_ocr,n_quiver,delta
K000389,Rohit Khanna,11,3248,745,2503
H001086,Diana Harshbarger,6,2028,95,1933
M001157,Michael T. McCaul,10,1113,1337,-224
S001180,Kurt Schrader,12,186,55,131
L000564,Doug Lamborn,8,76,10,66
F000459,"Charles J. ""Chuck"" Fleischmann",8,51,12,39
H001074,Trey Hollingsworth,10,41,13,28
F000472,Scott Franklin,5,21,8,13
R000395,Harold Dallas Rogers,3,16,2,14
M001163,Doris O. Matsui,1,11,1,10
M001198,Roger W. Marshall,1,8,0,8
K000392,David Kustoff,3,5,0,5
W000812,Ann Wagner,4,5,0,5
R000616,Harley E. Rouda,1,3,0,3
C000266,Steve Chabot,1,2,0,2
H001058,Bill Huizenga,1,1,0,1
B001257,Gus M. Bilirakis,1,1,0,1
