bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,year,cluster,ticker_source
M001157,Michael T. McCaul,house,,TX10,,,,2020-11-30,implausible,,LLM FAMILY INVESTMENTS LP (11.9440% INTEREST),Stock,Purchase,,,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,45c209229b22a04999ac230926fe0feebd8360a0f34875fc2446e2f7eaae14f0,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-20,2020-11-30,plausible,,KING CNTY WASH SWR REV,,Purchase,"$250,001 - $500,000",375000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,373d30abdf962f635b1772901e64f469af7695c04ca7ed495dfa68619a40a57a,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-27,2020-11-30,plausible,,FULTON CNTY GA WTR & SEW REV,,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,13c2120ca56acb74509c1020f411fd483070102b56c61f7101822618db40784f,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-29,2020-11-30,plausible,,WILMINGTON DEL,,Purchase,"$100,001 - $250,000",175000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,93036dc67db29d897c95470100fd69e8cfa037bef7027abb7200d615b3cbc7b2,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-26,2020-11-30,plausible,GOOGL,ALPHABET INC,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,ea36c36cf61db93e3de37f94dd6361c0fb7b3b6d368b9753caf1154ed0f2a309,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-22,2020-11-30,plausible,,BAY AREA TOLL AUTH CALIF TOLL,,Purchase,"$100,001 - $250,000",175000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,1dbd936ab0b2e13b6840f3b90e9db2c5ce11ba4555edd2d6801d14e14e54d800,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-30,2020-11-30,plausible,COF,CAPITAL ONE,,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,4586bf0be3b8ddc7720b06e88fa1d6fd4bc88a0371c59f603c9bee018534f562,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-13,2020-11-30,plausible,SIRI,SIRIUS XM HLDGS INC,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,6b89d3be4b1cd33209bb27242c3a155a01a0e62bc1d1595fee6884e169c8e654,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-13,2020-11-30,plausible,SIRI,SIRIUS XM HLDGS INC,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,6b89d3be4b1cd33209bb27242c3a155a01a0e62bc1d1595fee6884e169c8e654,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-30,2020-11-30,plausible,,NORTH EAST INDPT SCH DIST TEX,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,af95429e288dc5a6e20a70a1f406a6947ce8f6a93ad0a487eceb501ebc3ef5bf,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-27,2020-11-30,plausible,FB,FACEBOOK INC,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,25788493179287b44ebfa6fbf8f1546b8ba496b87b9987b51d7cbcb97ccbe335,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-26,2020-11-30,plausible,FB,FACEBOOK INC,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,fa3550a9b38043dc96bd04d054d240dcae0539502cc8e6a02bd3122b363f53e9,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-05,2020-11-30,plausible,MU,MICRON TECHNOLOGY INC,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,b1623c153aec3114b5a6d036998085c904269fd2bae5dc214b0fcef40ec58c1b,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-01,2020-11-30,plausible,,HENNEPIN CNTY MINN,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,b94e8d990d2f1895559ca913e53ceaa3ed296979deb15f59c5d0facb5b479e87,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-13,2020-11-30,plausible,NVT,nVent Electric,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,3b7971d3dcb1d809d9ba7f7d641c4d24cf08762a8f77d100acdc2e59e45868dc,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-09,2020-11-30,plausible,FLS,Flowserve Corp,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,fa20c14d4fb48bf4688d99674886636adda1de121619e8e799cf32f1cd03efd3,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,plausible,HSIC,"Henry Schein, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,9dee87ca8c62208a9026488338f1fa6b1df95d0b460472b5c75a511258639e79,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-05,2020-11-30,plausible,HLI,Houlihan Lokey Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,11fb001f8270ee8e8afcf8cb935018ef6901814ae5a1da13ceb9e9758a51d090,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-05,2020-11-30,plausible,FCN,FTI CONSULTING INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,24fc4b2c7871e2506f07480601380b5e4d9ab7d0d4bd1a3d15ff5583945adcd2,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,plausible,HII,Huntington Ingalls Industries Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,0229cfbe6d05bd6c148c9a3280ebdd46285e72fdebeb8b0a5655539ce79df40b,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-16,2020-11-30,plausible,PRI,PRIMERICA INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,2a7b55c3d92bb28b6f1325c405ac9569e8d2849445df90003fcf2ca03ed3a2bd,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,plausible,NVT,nVent Electric,,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,79d00acecf2b9cf2f1eca3b3da6616102d16a533e54465ecf4fd5d0e001fc8a0,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-09,2020-11-30,plausible,PRI,PRIMERICA INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,e9180e22eb3780e4103f2cf9e14068994d0dd57c5e7032fa6b5ea623f6c87092,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-08,2020-11-30,plausible,PEP,PEPSICO INC,Stock,Sale,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,c41c14467bb5c35d68076a5cc242765f105fb04cfc366432e95c0355dc130d03,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-08,2020-11-30,plausible,,NESTLE S A,,Sale,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,70d9fc4a8762245cb203304a42936681c0a27c6afaf91c15f891b1b5c7ade442,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-01,2020-11-30,plausible,,RHODE ISLAND HSG & MTG FIN COR,,Sale,"$1,001 - $15,000",8000.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,7b7bbd294b413bd8f82caaabf4994771c423a1771b95ac6dbb6c6ff9cd89d11b,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-09,2020-11-30,plausible,MSM,MSC Industrial Direct Co Inc,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,2a816fc8f4f51798aebf996da4d78a916c23f10373267f06783ec02f2aa5a6c9,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-19,2020-11-30,plausible,,MASSACHUSETTS ST HSG FIN AGY H,,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,d85947cf3116189cdcb16b27dff27a7230e8d4a907784b53d8d958ca3f57d5cc,house-pdf-ocr,2020,A_tape_droit,none
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,plausible,PAG,"Penske Automotive Group, Inc.",Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,afd7590465f3b5b741f1be49e0955799af1c44887343e5ea07cf88fc516cdf22,house-pdf-ocr,2020,A_tape_droit,llm
M001157,Michael T. McCaul,house,,TX10,,,2020-10-26,2020-11-30,plausible,EPAM,EPAM SYS INC,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,ee582ac53e72f06a4139157f737ca0c50bcedcee31b2664ab8ad5721e3637f2e,house-pdf-ocr,2020,A_tape_droit,elec_dict
M001157,Michael T. McCaul,house,,TX10,,,2020-10-15,2020-11-30,plausible,AOS,A O SMITH CORP,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,8217747,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217747.pdf,c3437c22f2d9c4358fdcf22712649ce6ad6c2e051cfe8033ceaf5afacf4c7260,house-pdf-ocr,2020,A_tape_droit,elec_dict
