ticker_errone,motif_description,ticker_corrige,note
IRA,net app,NTAP,"« (IRA) » = le compte, pas le titre"
IRA,netapp,NTAP,
IRA,innate immunotherapeutics,,société australienne non cotée aux US — pas de symbole fiable
IRA,primecap odyssey,POAGX,fonds commun
IRA,spdr msci acwi ex-us,CWI,
ADR,shell plc,SHEL,"« ADR » = la forme du titre, pas le symbole"
ADR,novartis,NVS,
REIT,host hotels,HST,"« (REIT) » = la forme, pas le symbole"
CMN,cantel medical,CMD,« (CMN) » = common ; symbole réel CMD
INC,nasdaq inc note,,"titre de créance (note), hors actions"
A,facebook,FB,suffixe de classe pris pour le ticker
A,lennar corp-a,LEN,
A,charter communications,CHTR,
A,cbre group,CBRE,
A,constellation brands,STZ,
A,liberty broadband,LBRDA,
A,liberty interactive,QVCA,
A,morgan stanley ser-a,,action préférentielle — hors périmètre actions ordinaires
A,tableau software,DATA,
A,energy northwest,,obligation municipale
B,royal dutch shell,RDS-B,classe B (ADR)
B,shell plc-spon adr-b,RDS-B,
B,charles schwab corp 6% ser-b,,préférentielle
B,discover financial svs 6.5%-b,,préférentielle
B,regions financial co 6.375%-b,,préférentielle
B,capital one financial 6%-b,,préférentielle
