ticker,asset_class,sector_gics,etf_proxy,source,note
A,stock,Health Care,XLV,yfinance,
AA,stock,Materials,XLB,yfinance,
AABA,stock,Communication Services,XLC,llm,
AAGIY,stock,Financials,XLF,yfinance,
AAIGF,stock,Financials,XLF,yfinance,
AAIN,unknown,,,none,
AAL,stock,Industrials,XLI,yfinance,
AAN,stock,Consumer Discretionary,XLY,llm,
AAON,stock,Industrials,XLI,yfinance,
AAP,stock,Consumer Discretionary,XLY,yfinance,
AAPL,stock,Information Technology,XLK,yfinance,
AAT,stock,Real Estate,XLRE,yfinance,
AATC,stock,Information Technology,XLK,yfinance,
AAVMY,stock,Financials,XLF,yfinance,
AAXJ,unknown,,,none,
AB,stock,Financials,XLF,yfinance,
ABB,stock,Industrials,XLI,llm,
ABBNY,stock,Industrials,XLI,yfinance,
ABBV,stock,Health Care,XLV,yfinance,
ABC,stock,Health Care,XLV,llm,
ABCB,stock,Financials,XLF,yfinance,
ABCO,stock,Industrials,XLI,llm,
ABDC,stock,Financials,XLF,llm,
ABEV,stock,Consumer Staples,XLP,yfinance,
ABG,stock,Consumer Discretionary,XLY,yfinance,
ABM,stock,Industrials,XLI,yfinance,
ABMD,stock,Health Care,XLV,llm,
ABNB,stock,Consumer Discretionary,XLY,yfinance,
ABNFX,unknown,,,none,
ABQCX,unknown,,,none,
ABT,stock,Health Care,XLV,yfinance,
ABVT,stock,Health Care,XLV,llm,
ABVX,stock,Health Care,XLV,yfinance,
ABX,stock,Financials,XLF,yfinance,
ABYIX,unknown,,,none,
ACA,stock,Industrials,XLI,yfinance,
ACAD,stock,Health Care,XLV,yfinance,
ACAS,stock,Financials,XLF,llm,
ACB,stock,Health Care,XLV,yfinance,
ACC,stock,Real Estate,XLRE,llm,
ACE,stock,Financials,XLF,llm,
ACEIX,unknown,,,none,
ACGL,stock,Financials,XLF,yfinance,
ACGPF,stock,Financials,XLF,llm,
ACHC,stock,Health Care,XLV,yfinance,
ACI,stock,Consumer Staples,XLP,yfinance,
ACIW,stock,Information Technology,XLK,yfinance,
ACM,stock,Industrials,XLI,yfinance,
ACMP,stock,Energy,XLE,llm,
ACN,stock,Information Technology,XLK,yfinance,
ACPC,stock,Financials,XLF,llm,
ACQR,stock,Financials,XLF,llm,
ACRE,stock,Real Estate,XLRE,yfinance,
ACSAY,stock,Industrials,XLI,yfinance,
ACSDX,unknown,,,none,
ACST,stock,Health Care,XLV,llm,
ACT,stock,Financials,XLF,yfinance,
ACXM,stock,Information Technology,XLK,llm,
ADBE,stock,Information Technology,XLK,yfinance,
ADC,stock,Real Estate,XLRE,yfinance,
ADCT,stock,Health Care,XLV,yfinance,
ADDYY,stock,Consumer Discretionary,XLY,yfinance,
ADEA,stock,Information Technology,XLK,yfinance,
ADI,stock,Information Technology,XLK,yfinance,
ADM,stock,Consumer Staples,XLP,yfinance,
ADNT,stock,Consumer Discretionary,XLY,yfinance,
ADP,stock,Information Technology,XLK,yfinance,
ADRE,unknown,,,none,
ADRNY,stock,Consumer Staples,XLP,yfinance,
ADS,stock,Information Technology,XLK,llm,
ADSK,stock,Information Technology,XLK,yfinance,
ADSW,stock,Industrials,XLI,llm,
ADT,stock,Industrials,XLI,yfinance,
ADT-F,unknown,,,none,
ADTN,stock,Information Technology,XLK,yfinance,
ADUS,stock,Health Care,XLV,yfinance,
ADVS,stock,Information Technology,XLK,llm,
ADYEY,stock,Information Technology,XLK,yfinance,
AE,stock,Energy,XLE,llm,
AEE,stock,Utilities,XLU,yfinance,
AEF,stock,Financials,XLF,yfinance,
AEG,stock,Financials,XLF,yfinance,
AEIS,stock,Industrials,XLI,yfinance,
AEL,stock,Financials,XLF,llm,
AEM,stock,Materials,XLB,yfinance,
AEO,stock,Consumer Discretionary,XLY,yfinance,
AEP,stock,Utilities,XLU,yfinance,
AEPPZ,stock,Utilities,XLU,llm,
AER,stock,Industrials,XLI,yfinance,
AES,stock,Utilities,XLU,yfinance,
AESC,stock,Industrials,XLI,llm,
AESE,stock,Consumer Discretionary,XLY,llm,
AESI,stock,Energy,XLE,yfinance,
AET,stock,Health Care,XLV,llm,
AETUF,stock,Energy,XLE,yfinance,
AEUA,unknown,,,none,
AEXAY,stock,Information Technology,XLK,yfinance,
AEZS,stock,Health Care,XLV,llm,
AFA,unknown,,,none,
AFAM,stock,Health Care,XLV,llm,
AFG,stock,Financials,XLF,yfinance,
AFGB,stock,Financials,XLF,llm,
AFL,stock,Financials,XLF,yfinance,
AFRM,stock,Financials,XLF,yfinance,
AFSI,stock,Financials,XLF,llm,
AFT,stock,Financials,XLF,llm,
AFTEX,unknown,,,none,
AGAE,stock,Information Technology,XLK,yfinance,
AGCO,stock,Industrials,XLI,yfinance,
AGESY,stock,Financials,XLF,yfinance,
AGG,etf_broad,,AGG,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
AGI,stock,Materials,XLB,yfinance,
AGIO,stock,Health Care,XLV,yfinance,
AGN,stock,Health Care,XLV,llm,
AGNC,stock,Real Estate,XLRE,yfinance,
AGO,stock,Financials,XLF,yfinance,
AGR,stock,Utilities,XLU,llm,
AGS,stock,Consumer Discretionary,XLY,llm,
AGU,stock,Materials,XLB,llm,
AGX,stock,Industrials,XLI,yfinance,
AGZ,unknown,,,none,
AHCHY,stock,Materials,XLB,yfinance,
AHCO,stock,Health Care,XLV,yfinance,
AHEXY,stock,Industrials,XLI,yfinance,
AHGP,stock,Energy,XLE,llm,
AHKSY,stock,Industrials,XLI,yfinance,
AHL,stock,Financials,XLF,llm,
AHL-C,stock,Financials,XLF,llm,
AHLS,unknown,,,none,
AHONY,stock,Industrials,XLI,llm,
AHT,stock,Real Estate,XLRE,yfinance,
AI,stock,Information Technology,XLK,yfinance,
AIG,stock,Financials,XLF,yfinance,
AILP,stock,Energy,XLE,llm,
