ticker,etf_actuel,etf_avant_bascule,date_bascule,regle,source
(REGLE-IMMOBILIER),XLRE,XLF,2016-09-16,tout titre aujourd'hui XLRE etait dans XLF avant la bascule d'indice (formulaire 497 du 02/09/2016),nb16 §18 / FICHE_M3 étape 11
(REGLE-COMMUNICATION),XLC,XLK ou XLY selon l'industrie,2018-09-21,"tout titre aujourd'hui XLC vient de XLK (tech/telecoms) ou XLY (medias/conso) — industrie yfinance, sinon attribution nominative ci-dessous",nb16 §18 / SAI 485BPOS du 15/06/2018
LVLT,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
CHL,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
FTR,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
CNSL,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
BT,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
NTT,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
ZAYO,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
ORAN,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
WIN,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
TLSYY,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
JCS,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
DCM,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
IQNT,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
VODPD,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
YNDX,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
TWTR,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LNKD,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
ATVI,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
YHOO,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
IACI,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
JCOM,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
ZNGA,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
RNWK,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
ISDR,XLC,XLK,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
VIAC,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
SNI,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
DISH,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
TWX,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
CMCSK,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
MSG,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
TGNA,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
GCI,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
VIAB,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LTRPA,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LMCK,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LMCA,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
MDCA,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
WPPGY,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
IPG,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LSXMA,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LSXMK,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
TIME,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
DTV,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
LGF-A,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
SJR,XLC,XLY,2018-09-21,"attribution nominative (societe disparue, industrie introuvable)",nb16 §18.1 MANUEL_CS
