year,doc_id,n_txns,status,columns
2019,7ddbb448-44d1-47b5-8f47-fa2eab111d60,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2019,b4f5da30-40c3-4b8c-a01b-91c5ec512773,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2019,cf3ffbbc-56ba-44e0-a4b9-5bd37287ba4f,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2019,16a9d865-f3b4-48a6-8220-5eaeeb8c47c5,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2019,3d907991-077d-4816-81d5-9644415cff66,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2018,5dad514c-3858-42b4-a0a6-42fac20f2238,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2018,42c3e250-98cf-4607-b102-1d53e2d68114,5,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2018,13374d99-cbb7-4f1c-a630-2125b6c108ab,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2018,ddf06dcd-abf8-4537-a9c6-96e1fc3f2408,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2018,a8a92287-4029-427b-8566-9bd710d3fff1,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2017,4dc9426a-51a2-4f90-94ac-1adf3ea7fb2e,9,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2017,72854f36-aae4-445b-b63a-4fba86861178,6,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2017,4d20e452-45cf-472f-b5c2-d60bf9808e6a,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2017,b9d4231c-0316-4175-8aa8-42cfd432c61c,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2017,4e8b01eb-32f4-444e-8c47-fb164a5a5560,5,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2016,de5e79a5-a564-4b76-81ad-33a96f251b33,9,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2016,f66b6c26-4eda-49c4-8215-aad78ab1a4aa,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2016,887f19e5-8a16-4f96-b317-ce70265f2e46,5,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2016,3d61dcac-c059-494f-9d46-cb7f2a1b0b85,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2016,0f3a5882-6a25-446b-8c3d-b71aeb1d63ed,7,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2015,970e43cc-5b08-42e2-9ce6-1886d729ead2,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2015,f24dd495-dcee-45a7-9138-a29d7c72f4f8,3,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2015,832176d5-2cb0-4878-973d-b69b59a15499,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2015,ddf4c5b0-daa0-4397-af5e-3b56397114cb,41,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2015,d51c1413-b6a5-47b0-94db-9b834316afdc,7,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2014,41ff1805-0b90-40c7-8337-cc3211eede2c,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2014,a2365248-26eb-4f8b-ab94-7d477dd82f3f,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2014,afa826b7-2b0a-400a-8023-c94dcae64f6b,4,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2014,3b18c706-2218-4b34-99ae-26abe41fe899,1,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
2014,c57b3fd9-3bbd-4f31-8904-9a517aaf43d9,2,ok,# | Transaction Date | Owner | Ticker | Asset Name | Asset Type | Type | Amount | Comment
