year,n_ptr_electronique,n_ptr_papier,n_senateurs,n_senateurs_papier,deposants_papier
2014,93,40,26,10,JACK REED; JOHN HOEVEN; MARIA CANTWELL; MARK R WARNER; PAT ROBERTS; RICHARD BLUMENTHAL; RICHARD M BURR; SHELDON WHITEHOUSE; SUSAN M COLLINS; THOMAS R CARPER
2015,165,28,28,5,DIANNE FEINSTEIN; JAMES M INHOFE; MARK R WARNER; RICHARD BLUMENTHAL; RICHARD M BURR
2016,169,36,30,5,DIANNE FEINSTEIN; JOHN BOOZMAN; MARK R WARNER; RICHARD BLUMENTHAL; RICHARD M BURR
2017,182,37,34,5,DIANNE FEINSTEIN; JOHN BOOZMAN; MARK R WARNER; RICHARD BLUMENTHAL; RICHARD M BURR
2018,185,50,33,5,DIANNE FEINSTEIN; JAMES M INHOFE; JOHN BOOZMAN; RICHARD BLUMENTHAL; RICHARD M BURR
2019,178,52,35,4,DIANNE FEINSTEIN; JOHN BOOZMAN; RICHARD BLUMENTHAL; RICHARD M BURR
2020,146,33,33,4,DIANNE FEINSTEIN; JOHN BOOZMAN; RICHARD BLUMENTHAL; RICHARD M BURR
2021,123,22,35,4,DIANNE FEINSTEIN; JOHN BOOZMAN; RICHARD BLUMENTHAL; RICHARD M BURR
2022,100,19,27,3,DIANNE FEINSTEIN; JOHN BOOZMAN; RICHARD BLUMENTHAL
2023,100,15,31,2,JOHN BOOZMAN; RICHARD BLUMENTHAL
2024,115,14,25,2,JOHN FETTERMAN; RICHARD BLUMENTHAL
2025,146,21,31,1,RICHARD BLUMENTHAL
2026,78,6,23,1,RICHARD BLUMENTHAL
