uuid,year,senator,filed,raison,txns_retrouvees_ailleurs,note
14b3fd91-0c0b-4af8-ba20-14290c38208c,2019,Hoeven,03/22/2019,dedup_amendement,1,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
1cf38adc-6469-45fe-a46b-bd48146af165,2016,Whitehouse,08/11/2016,dedup_amendement,9,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
22e90ec7-94da-45e7-8e4c-220586b552ac,2015,Carper,04/01/2015,dedup_amendement,4,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
26ae70ce-c44b-4186-b6f3-89b7b9a00b0a,2015,Collins,07/20/2015,dedup_amendement,7,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
47c0963d-3778-4581-83ad-79a29b4fe6d3,2016,Whitehouse,01/20/2016,dedup_amendement,16,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
58c402ff-7995-4e0a-809d-b08544832300,2023,Sullivan,09/18/2023,dedup_amendement,33,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
6db47987-9fdc-4d82-96c0-4a75041bc3d0,2015,Roberts,12/09/2015,dedup_amendement,1,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
79a6c9ae-2a6a-4194-86d8-ab66885bdb3b,2020,Carper,01/08/2020,dedup_amendement,8,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
a35d7400-466b-453d-8a7e-3941b74e0966,2015,Collins,05/13/2015,dedup_amendement,8,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
b15e36e8-2647-4eaa-844b-f4df3cab8855,2015,Whitehouse,08/13/2015,dedup_amendement,18,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
c204f874-20cb-41b7-b22e-9a65d2e88a97,2015,Collins,05/13/2015,dedup_amendement,31,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
c9366540-4880-467e-b952-95aeabaa10b2,2015,Whitehouse,08/13/2015,dedup_amendement,2,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
d16a03dd-c7ee-4bf8-b760-bccb5d5677c2,2015,Whitehouse,06/03/2015,dedup_amendement,12,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
db2a4c73-e714-4ad0-9548-b1b83f1d0773,2025,Boozman,06/14/2025,dedup_amendement,10,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
f060fb4d-88a3-4ed0-9ce7-0f99aacde1d0,2015,Collins,05/13/2015,dedup_amendement,9,doublon/amendement : toutes les transactions existent dans FINAL sous un autre uuid
03b9dc2b-2e00-44ed-8b2f-cfc729313f92,2020,RICHARD BLUMENTHAL,2020-02-04,exemple_seul,0,scan papier : l'OCR n'a lu que la ligne-exemple pré-imprimée IBM (filtrée par EXAMPLE_RE) — aucune transaction réelle
EA7371D7-EA0C-447E-8CC7-E5BEF9AF21DE,2014,RICHARD M BURR,2014-05-06,exemple_seul,0,scan papier : l'OCR n'a lu que la ligne-exemple pré-imprimée IBM (filtrée par EXAMPLE_RE) — aucune transaction réelle
f939da92-db9a-4c99-aff1-e96f1935d077,2016,JOHN BOOZMAN,2016-10-28,exemple_seul,0,scan papier : l'OCR n'a lu que la ligne-exemple pré-imprimée IBM (filtrée par EXAMPLE_RE) — aucune transaction réelle
07653b65-14e6-42c1-9002-eb9a33ab450b,2016,MARK R WARNER,2016-08-15,exemple_seul,0,scan papier : l'OCR n'a lu que la ligne-exemple pré-imprimée IBM (filtrée par EXAMPLE_RE) — aucune transaction réelle
39c78342-f5e4-47eb-83fd-2e101e8c1724,2018,RICHARD M BURR,2018-10-16,exemple_seul,0,scan papier : l'OCR n'a lu que la ligne-exemple pré-imprimée IBM (filtrée par EXAMPLE_RE) — aucune transaction réelle
cc424d65-f559-40ae-9caf-645f7a1fbfc0,2018,JAMES M INHOFE,2018-12-21,nothing_to_report,0,dépôt sans transaction (courrier « nothing to report »)
1597ee5f-a104-4740-905e-753b67800a43,2019,RICHARD M BURR,2019-04-10,nothing_to_report,0,dépôt sans transaction (courrier « nothing to report »)
,2026,,post 2026-06-25,fraicheur_post_gel,0,"PTR électronique déposé après le gel de collecte (2026-06-25) — hors cutoff, non téléchargé"
,2026,,post 2026-06-25,fraicheur_post_gel,0,"PTR électronique déposé après le gel de collecte (2026-06-25) — hors cutoff, non téléchargé"
,2026,,post 2026-06-25,fraicheur_post_gel,0,"PTR électronique déposé après le gel de collecte (2026-06-25) — hors cutoff, non téléchargé"
