bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,occurrence_index
W000805,MARK R WARNER,senate,Democrat,VA,"SSBK04; SSBK08; SSBK13; SSFI10; SSFI11; SSFI13; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on Rules and Administration; Senate Committee on the Budget; Senate Select Committee on Intelligence",True,2014-11-21,2014-12-12,,Sachs Capital- Empire B LLC,Other,Purchase,"$250,001 - $500,000",375000.5,False,Self,1FA31695-2481-47BC-A8B8-2B39D4D0B97E,https://efdsearch.senate.gov/search/view/paper/1FA31695-2481-47BC-A8B8-2B39D4D0B97E/,371520a0fdbf5e935beb2e656cd0474462f942a2c470d04af3bcafb674608c08,senate-efd-ocr,explicit,0
W000805,MARK R WARNER,senate,Democrat,VA,"SSBK04; SSBK08; SSBK13; SSFI10; SSFI11; SSFI13; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on Rules and Administration; Senate Committee on the Budget; Senate Select Committee on Intelligence",True,2014-02-27,2014-12-12,,Empire Petroleum Partners LLC,Other,Sale,"$500,001 - $1,000,000",750000.5,False,Self,1FA31695-2481-47BC-A8B8-2B39D4D0B97E,https://efdsearch.senate.gov/search/view/paper/1FA31695-2481-47BC-A8B8-2B39D4D0B97E/,db97a6105f8cda27fec06c1f3280d1259370cb7cc74e245fde109cc8a3297051,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,Schlumberger Limited (stock) NYSE,Stock,Purchase,"$15,001 - $50,000",32500.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,ccf6f4f4c578af090209ad14e86dfcf4f06a1dd6b2fd4ed4f449f2ea1485fcbb,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,"National Oilwell Varco, Inc. (stock) NYSE",Stock,Purchase,"$1,001 - $15,000",8000.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,140fbee57a3cbeffa7be7c1237555459cf4f69f9c3aef4cc59feb0187366e2ac,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,McDonalds Corporation (stock) NYSE,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,a08e14bb7e0e7456ecaf369119e2e035cb5cd76dddfa934ab5ef92152fb43404,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,McDonalds Corporation (stock) NYSE,Stock,Purchase,"$1,001 - $15,000",8000.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,a08e14bb7e0e7456ecaf369119e2e035cb5cd76dddfa934ab5ef92152fb43404,senate-efd-ocr,explicit,1
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,"National Oilwell Varco, Inc. (stock) NYSE",Stock,Purchase,"$1,001 - $15,000",8000.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,140fbee57a3cbeffa7be7c1237555459cf4f69f9c3aef4cc59feb0187366e2ac,senate-efd-ocr,explicit,1
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,Schlumberger Limited (stock) NYSE,Stock,Sale,"$15,001 - $50,000",32500.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,03d137c583a592d25995f5c9a1fda328c01706971af7274b7eae0c7a83788c5a,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,Devon Energy Corporation (stock) NYSE,Stock,Sale,"$15,001 - $50,000",32500.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,fdedde88d09cbe0e4df6ff1972159b86eb47f73ed880c77f72efab1e142ac7c4,senate-efd-ocr,explicit,0
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,Devon Energy Corporation (stock) NYSE,Stock,Sale,"$15,001 - $50,000",32500.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,fdedde88d09cbe0e4df6ff1972159b86eb47f73ed880c77f72efab1e142ac7c4,senate-efd-ocr,explicit,1
B001135,RICHARD M BURR,senate,Republican,NC,,False,2014-11-13,2014-11-17,,MCDONALDS CORPORATION,Stock,Purchase,"$100,001 - $250,000",175000.5,False,Self,F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99,https://efdsearch.senate.gov/search/view/paper/F65A4325-6FC7-4C5E-8F3D-3F7BDEED6E99/,03dd849f47895f41f0f2d697e0cbaa66a5bb7973469dd116e1111d275a73b6e9,senate-efd-ocr,explicit,0
