bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
C001035,Susan M Collins,240,237,3,0,0,nous_plus
W000802,Sheldon Whitehouse,128,121,7,1,0,nous_plus
C000174,Thomas R Carper,96,10,86,86,0,nous_plus
R000307,Pat Roberts,43,40,3,0,0,nous_plus
R000122,John F Reed,39,19,20,16,0,nous_plus
H001061,John Hoeven,27,23,4,4,0,nous_plus
T000461,Patrick J Toomey,24,23,1,1,0,nous_plus
B001288,Cory A Booker,13,12,1,0,0,nous_plus
C000141,Benjamin L Cardin,11,3,8,8,0,nous_plus
W000779,Ron Wyden,10,0,10,10,0,quiver_sans_donnee
K000383,"Angus S King, Jr.",8,5,3,3,0,nous_plus
C000127,Maria Cantwell,4,1,3,0,0,nous_plus
S001141,"Jefferson B Sessions, III",4,0,4,4,0,quiver_sans_donnee
C001098,Rafael E Cruz,2,2,0,0,0,concordant
B000575,Roy Blunt,1,1,0,0,0,concordant
C001088,Christopher A Coons,1,0,1,1,0,quiver_sans_donnee
C000567,Thad Cochran,0,104,-104,0,0,quiver_seul
C001071,Robert P Corker Jr,0,810,-810,0,0,quiver_seul
C001075,William M. Cassidy,0,1,-1,0,0,quiver_seul
D000622,Ms. Tammy Duckworth,0,16,-16,0,0,quiver_seul
F000444,Jeffry Flake,0,7,-7,0,0,quiver_seul
P000595,Gary C. Peters,0,13,-13,0,0,quiver_seul
